version,arm,config,temperature,gibbs_corrector,seeds,n,strict_valid,repaired_valid,strict_failure,odd_ring,bad_parentheses,both_flags,syntax_flag,syntax_strict_failure,flagged_strict_valid,recovered,largest_component,released_unique,released_quality,strict_unique,strict_quality,released_low_qed_only,released_high_sa_only,released_both_quality_fail,strict_low_qed_only,strict_high_sa_only,strict_both_quality_fail,raw_safe_error
5,E,e_t050_p100,0.5,False,1200/1201,128,61,125,67,46,12,4,54,54,0,64,44,125,58,61,29,57,5,5,27,4,1,0
5,E,e_t070_p100,0.7,False,1200/1201,128,52,126,76,55,12,8,59,59,0,74,60,125,58,52,27,56,3,8,20,1,4,0
5,E,e_t085_p100,0.85,False,1200/1201,128,41,121,87,65,25,14,76,76,0,80,63,117,51,41,17,55,3,8,19,2,3,0
5,E,e_t100_p100,1.0,False,1200/1201,128,23,120,105,84,34,24,94,94,0,97,66,119,46,23,12,59,3,11,9,1,1,0
5,R,r_t050_p100,0.5,False,1200/1201,128,81,127,47,29,13,3,39,39,0,46,47,127,62,81,38,63,2,0,42,0,1,0
5,R,r_t070_p100,0.7,False,1200/1201,128,59,125,69,49,17,9,57,57,0,66,62,125,57,59,25,59,5,4,30,3,1,0
5,R,r_t085_p100,0.85,False,1200/1201,128,51,124,77,46,24,9,61,61,0,73,57,123,46,51,27,67,4,6,20,1,3,0
5,R,r_t100_p100,1.0,False,1200/1201,128,48,120,80,61,26,18,69,69,0,72,54,119,39,48,18,61,10,9,18,6,6,0
5,S,s_t050_p100,0.5,False,1200/1201,128,77,125,51,24,18,3,39,39,0,48,31,124,53,77,30,69,1,1,46,1,0,0
5,S,s_t070_p100,0.7,False,1200/1201,128,55,125,73,37,28,12,53,53,0,70,59,125,54,55,27,67,2,2,28,0,0,0
5,S,s_t085_p100,0.85,False,1200/1201,128,51,123,77,47,26,12,61,61,0,72,53,123,65,51,31,51,3,4,17,1,2,0
5,S,s_t100_p100,1.0,False,1200/1201,128,32,119,96,74,31,19,86,86,0,87,61,117,41,32,15,61,6,9,12,2,3,0
6,E,e_t050_gibbs,0.5,True,1300/1301,128,71,126,57,43,16,9,50,50,0,55,43,124,66,71,38,53,2,3,30,0,3,0
6,E,e_t050_predictor,0.5,False,1300/1301,128,69,124,59,41,14,4,51,51,0,55,43,123,60,69,40,54,5,4,25,2,2,0
6,R,r_t050_gibbs,0.5,True,1300/1301,128,79,125,49,29,17,6,40,40,0,46,40,125,61,79,41,58,3,3,35,2,1,0
6,R,r_t050_predictor,0.5,False,1300/1301,128,84,128,44,25,10,1,34,34,0,44,38,126,69,84,47,53,2,2,33,2,2,0
6,S,s_t050_gibbs,0.5,True,1300/1301,128,71,126,57,31,18,6,43,43,0,55,43,123,73,71,47,48,2,0,22,2,0,0
6,S,s_t050_predictor,0.5,False,1300/1301,128,79,126,49,29,17,3,43,43,0,47,40,125,70,79,43,52,1,2,32,1,3,0
