sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CC(C3(=O)C(C)(C)C.N13CCC2C1.C12C(O)=NCCN,CC(C3(=O)C(C)(C)C.N13CCC2C1.C12C(O)=NCCN,,,decode_returned_none,,,False,,False,NCCN=C(O)CC1CCNC1,NCCN=C(O)CC1CCNC1,,0.4084506139856419,3.717214315585114,True,False,False,True,False
1,CC5=O.c15ccc3c1.O73.c16cc2ccccc2cc14.c14ccc(F)c(C)c1,CC5=O.c15ccc3c1.O73.c16cc2ccccc2cc14.c14ccc(F)c(C)c1,,,decode_returned_none,,,False,,False,CC=O.Cc1cc(-c2ccc3ccccc3c2)ccc1F.O,Cc1cc(-c2ccc3ccccc3c2)ccc1F,,0.5601919294429083,1.5787269644534536,True,False,False,True,True
2,CC5.N52.C2(C)C5.C43.N4CCC3(C)C1.c13ccnc(Cl)c1,CC5.N52.C2(C)C5.C43.N4CCC3(C)C1.c13ccnc(Cl)c1,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
3,CCC=8.C1=7CCS(=O)(=O)N64.C6CC1=1.C45CC1.c15ccccc1.C=CN,CCC=8.C1=7CCS(=O)(=O)N64.C6CC1=1.C45CC1.c15ccccc1.C=CN,,,decode_returned_none,,,False,,False,C=C1CCC(c2ccccc2)NS(=O)(=O)CC1.C=CCC.C=CN,C=C1CCC(c2ccccc2)NS(=O)(=O)CC1,,0.7789463569392432,3.4601783066060676,True,True,True,True,True
4,CCC2.N42.c14cncc3n1.C33(C)CC(=O)[C@H]=O)C(=N)O,CCC2.N42.c14cncc3n1.C33(C)CC(=O)[C@H]=O)C(=N)O,,,decode_returned_none,,,False,,False,CCCNc1cnccn1,CCCNc1cnccn1,,0.6819127689570923,2.126742045720606,True,True,True,True,False
5,CO7.C7(=O)C2C5=O.N54.C43C.c13ccc6c(F)c1.c13ccccc1Cl.N6(C)C,CO7.C7(=O)C2C5=O.N54.C43C.c13ccc6c(F)c1.c13ccccc1Cl.N6(C)C,,,decode_returned_none,,,False,,False,COC(=O)CC(=O)NC(C)c1ccc(N(C)C)c(F)c1.Clc1ccccc1,COC(=O)CC(=O)NC(C)c1ccc(N(C)C)c(F)c1,,0.6585341100089414,2.6540603757447574,True,True,True,True,True
6,CC3.c13ccc8o1.N48.N57CC7.c17cccc9c1.C4(=O)C6=O.[C@H]16CCNCN1.C9(F)(F)F,CC3.c13ccc8o1.N48.N57CC7.c17cccc9c1.C4(=O)C6=O.[C@H]16CCNCN1.C9(F)(F)F,,,decode_returned_none,,,False,,False,C1CN1.CCc1ccc(NC(=O)C(=O)[C@H]2CCNCN2)o1.FC(F)(F)c1ccccc1,CCc1ccc(NC(=O)C(=O)[C@H]2CCNCN2)o1,,0.6684793889983287,3.7964750579972453,True,True,True,True,True
7,CC[C@@H](C)N=C(O)CCC(O)=Nc1cc3cc([N+](=O)[O-])c1Cl.c14cccc(O)n1.O3C,CC[C@@H](C)N=C(O)CCC(O)=Nc1cc3cc([N+](=O)[O-])c1Cl.c14cccc(O)n1.O3C,,,decode_returned_none,,,False,,False,CC[C@@H](C)N=C(O)CCC(O)=Nc1cc(OC)cc([N+](=O)[O-])c1Cl.Oc1ccccn1,CC[C@@H](C)N=C(O)CCC(O)=Nc1cc(OC)cc([N+](=O)[O-])c1Cl,,0.3095525554138232,3.7395664037555303,True,False,False,True,True
8,CC4.C14CC3CN1C.C3C(O)=Ncc2c2ccc2[nH]1.C2(C)O,CC4.C14CC3CN1C.C3C(O)=Ncc2c2ccc2[nH]1.C2(C)O,,,decode_returned_none,,,False,,False,CCC1CCCN1C.CCO,CCC1CCCN1C,,0.4977195443462932,2.626709303332179,True,False,False,True,True
9,CC3.S35.C5(C)C2)C4=O.N12CCN4CC1.C2CC(F)C,CC3.S35.C5(C)C2)C4=O.N12CCN4CC1.C2CC(F)C,,,decode_returned_none,,,False,,False,CC(F)CCN1CCNCC1.CCS,CC(F)CCN1CCNCC1,,0.6514980828031517,2.9561862856284993,True,True,True,True,True
10,CCC5.c15nc(N)c(N)c6c([NH3+])n1.N67CCC2CCC2CC1.c17ccc([N+](O)[O-])cc1C,CCC5.c15nc(N)c(N)c6c([NH3+])n1.N67CCC2CCC2CC1.c17ccc([N+](O)[O-])cc1C,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
11,CN1CCc2nnc3n2C1.C3(O)=Nc1cccccc14.O4C.Cl1,CN1CCc2nnc3n2C1.C3(O)=Nc1cccccc14.O4C.Cl1,,,decode_returned_none,,,False,,False,CN1CCc2nncn2C1.CO.Cl,CN1CCc2nncn2C1,,0.4943312788074214,3.2745356796728613,True,False,False,True,True
12,CC6.C6(C)C.N724.C2CN=C(O)C5=O.N53.C3C.C14(C)CC1,CC6.C6(C)C.N724.C2CN=C(O)C5=O.N53.C3C.C14(C)CC1,,,decode_returned_none,,,False,,False,CCC(C)C.CCNC(=O)C(O)=NCCNC1(C)CC1,CCNC(=O)C(O)=NCCNC1(C)CC1,,0.34733513705896907,3.2808523495731476,True,False,False,True,True
13,CC6.N63.C3C7.C17CCN4CC1.C45.c15cccc(C)c1,CC6.N63.C3C7.C17CCN4CC1.C45.c15cccc(C)c1,,CCNCCC1CCN(Cc2cccc(C)c2)CC1,,0.7901949570871539,1.9052243281399033,True,True,True,CCNCCC1CCN(Cc2cccc(C)c2)CC1,CCNCCC1CCN(Cc2cccc(C)c2)CC1,,0.7901949570871539,1.9052243281399033,True,True,True,False,False
14,C[C@@H]6CC(O)=NC55.C5(C)C.N16CCC2(CC1)CN3CC=O2.C34.c14ccco1,C[C@@H]6CC(O)=NC55.C5(C)C.N16CCC2(CC1)CN3CC=O2.C34.c14ccco1,,,decode_returned_none,,,False,,False,CCC.Cc1ccco1,Cc1ccco1,,0.4628605847396023,2.743033715706975,True,False,False,True,True
15,Cc1nc(C)cc(=NCCC)n15.[C@@H]15CCN4C[C@H]1C.c13nc2cccc(Cl)c2o1,Cc1nc(C)cc(=NCCC)n15.[C@@H]15CCN4C[C@H]1C.c13nc2cccc(Cl)c2o1,,,decode_returned_none,,,False,,False,CCCN=c1cc(C)nc(C)n1[C@@H]1CCNC[C@H]1C.Clc1cccc2ncoc12,CCCN=c1cc(C)nc(C)n1[C@@H]1CCNC[C@H]1C,,0.9048309876019478,3.8956206082597253,True,True,True,True,True
16,Cc1nc3c(O)c(Cl)c1C.C3N=C(O)N5C.C5C7.N74.C14CCOC(C)C1,Cc1nc3c(O)c(Cl)c1C.C3N=C(O)N5C.C5C7.N74.C14CCOC(C)C1,,Cc1nc(CN=C(O)N(C)CCNC2CCOC(C)C2)c(O)c(Cl)c1C,,0.5155377622080094,4.185888821567375,True,False,False,Cc1nc(CN=C(O)N(C)CCNC2CCOC(C)C2)c(O)c(Cl)c1C,Cc1nc(CN=C(O)N(C)CCNC2CCOC(C)C2)c(O)c(Cl)c1C,,0.5155377622080094,4.185888821567375,True,False,False,False,False
17,C[C@@]62CC(C)CCCC5=C.c12[nH+]c4co1.C14CC1.N53.C3(C)CF.N6(N)C(F)F,C[C@@]62CC(C)CCCC5=C.c12[nH+]c4co1.C14CC1.N53.C3(C)CF.N6(N)C(F)F,,C=C(CCCC(C)C[C@@](C)(c1[nH+]c(C2CC2)co1)N(N)C(F)F)NC(C)CF,,0.29361441545480127,5.489595224962919,True,False,False,C=C(CCCC(C)C[C@@](C)(c1[nH+]c(C2CC2)co1)N(N)C(F)F)NC(C)CF,C=C(CCCC(C)C[C@@](C)(c1[nH+]c(C2CC2)co1)N(N)C(F)F)NC(C)CF,,0.29361441545480127,5.489595224962919,True,False,False,False,False
18,CC4(C)C.O4C(O)=NC3.c13ccc5cc1.c13ccc(Cl)cc1C=N5CC(=O)O,CC4(C)C.O4C(O)=NC3.c13ccc5cc1.c13ccc(Cl)cc1C=N5CC(=O)O,,,decode_returned_none,,,False,,False,CC(C)(C)OC(O)=NCc1ccccc1,CC(C)(C)OC(O)=NCc1ccccc1,,0.5981089860600617,2.194494094413674,True,False,False,True,False
19,CN84.C4CC.C8C6.c16cccc7c1N=C(O)N5.c15cccc2cncn12.O7C,CN84.C4CC.C8C6.c16cccc7c1N=C(O)N5.c15cccc2cncn12.O7C,,CCCN(C)CCc1cccc(OC)c1N=C(O)Nc1cccc2cncn12,,0.45743302144194786,3.189352160047278,True,False,False,CCCN(C)CCc1cccc(OC)c1N=C(O)Nc1cccc2cncn12,CCCN(C)CCc1cccc(OC)c1N=C(O)Nc1cccc2cncn12,,0.45743302144194786,3.189352160047278,True,False,False,False,False
20,C[C@@H]1CC(N=C(O)C=4CCN1.C=4C1CCCN15.[C@@H]5(C)C7.N73.c13cc(Cl)cc(Cl)c1,C[C@@H]1CC(N=C(O)C=4CCN1.C=4C1CCCN15.[C@@H]5(C)C7.N73.c13cc(Cl)cc(Cl)c1,,,decode_returned_none,,,False,,False,C=CC1CCCN1[C@H](C)CNc1cc(Cl)cc(Cl)c1,C=CC1CCCN1[C@H](C)CNc1cc(Cl)cc(Cl)c1,,0.8083703131779746,3.454693757751741,True,True,True,True,False
21,CO6.C66(C)CCCN=C(O)C1CCN3CC1.C15CCN5CC1.c15ccccc1,CO6.C66(C)CCCN=C(O)C1CCN3CC1.C15CCN5CC1.c15ccccc1,,,decode_returned_none,,,False,,False,C1CN2CCC12.CO.c1ccccc1,C1CN2CCC12,,0.41110340736421674,1.9035495528110484,True,False,False,True,True
22,CN75.C76=O.[C@H]16CCC[C@@H]4C1O.[C@H]14CCCNCC1.C15CC1,CN75.C76=O.[C@H]16CCC[C@@H]4C1O.[C@H]14CCCNCC1.C15CC1,,CN(C(=O)[C@H]1CCC[C@@H]([C@H]2CCCNCC2)C1O)C1CC1,,0.8339800177393927,3.7926529354319767,True,True,True,CN(C(=O)[C@H]1CCC[C@@H]([C@H]2CCCNCC2)C1O)C1CC1,CN(C(=O)[C@H]1CCC[C@@H]([C@H]2CCCNCC2)C1O)C1CC1,,0.8339800177393927,3.7926529354319767,True,True,True,False,False
23,CC6.O65.c15cnc2c3cc(O)c4cnc(Cl)cc4ccc(Cl)(3)cc2c1C,CC6.O65.c15cnc2c3cc(O)c4cnc(Cl)cc4ccc(Cl)(3)cc2c1C,,,decode_returned_none,,,False,,False,CCO,CCO,,0.40680796565539457,1.9802570386349831,True,False,False,True,False
24,CC6C.N56C.C5(=O)CC4.c14c7oc2c(F)cc(F)cc12.[C@H]17CCCO1,CC6C.N56C.C5(=O)CC4.c14c7oc2c(F)cc(F)cc12.[C@H]17CCCO1,,CC(C)N(C)C(=O)CCc1c([C@H]2CCCO2)oc2c(F)cc(F)cc12,,0.8036518263341733,3.3988004609421534,True,True,True,CC(C)N(C)C(=O)CCc1c([C@H]2CCCO2)oc2c(F)cc(F)cc12,CC(C)N(C)C(=O)CCc1c([C@H]2CCCO2)oc2c(F)cc(F)cc12,,0.8036518263341733,3.3988004609421534,True,True,True,False,False
25,N=C1C3O.N33.C13CC2CC2C1.C4N=C(O)C1CCCCC1,N=C1C3O.N33.C13CC2CC2C1.C4N=C(O)C1CCCCC1,,,decode_returned_none,,,False,,False,CCCCCC(CC1CC1CC1C(=N)C1O)C(O)=NC,CCCCCC(CC1CC1CC1C(=N)C1O)C(O)=NC,,0.3444386723582964,4.775535475409817,True,False,False,True,False
26,O=C1C[C@@H]4N178.C4CCCC9=O.O76.C67.c17ccccc1.C19CCCO1.C85.c15ccccc1,O=C1C[C@@H]4N178.C4CCCC9=O.O76.C67.c17ccccc1.C19CCCO1.C85.c15ccccc1,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
27,CO4C.c14c5cccc1C#N.C25.N12CCC[C@@H]13.C3(=O)[O-],CO4C.c14c5cccc1C#N.C25.N12CCC[C@@H]13.C3(=O)[O-],,,decode_returned_none,,,False,,False,N#Cc1cccc(CN2CCC[C@@H]2C(=O)[O-])c1,N#Cc1cccc(CN2CCC[C@@H]2C(=O)[O-])c1,,0.745904736782098,2.9617427296829923,True,True,True,True,False
28,CC34.N362.C6C5.N52.C12CC1.C74.c14cnn(C)c1,CC34.N362.C6C5.N52.C12CC1.C74.c14cnn(C)c1,,,decode_returned_none,,,False,,False,C1CC1.CC(C)N1CCN1.Cn1cccn1,CC(C)N1CCN1,,0.5066377183440781,3.235815894216387,True,False,False,True,True
29,NCC43.O42.c12cccc(C#N)c1=Cl.c13cc(Cl)ccc1Cl,NCC43.O42.c12cccc(C#N)c1=Cl.c13cc(Cl)ccc1Cl,,,decode_returned_none,,,False,,False,NCC(O)c1cc(Cl)ccc1Cl,NCC(O)c1cc(Cl)ccc1Cl,,0.776568202909608,2.5556782861733502,True,True,True,True,False
30,CC(C)C6.N62N=C(O)N35.[C@H]3C(=O)O.c15ccccc14CCC(C)(C)C.C4O,CC(C)C6.N62N=C(O)N35.[C@H]3C(=O)O.c15ccccc14CCC(C)(C)C.C4O,,,decode_returned_none,,,False,,False,CC(C)CNN=C(O)N[CH]C(=O)O.CO,CC(C)CNN=C(O)N[CH]C(=O)O,,0.27437057067033516,3.7995578495563374,True,False,False,True,True
31,CC4.N14CCCC1.C=Cc1cc5no1.c15cc2ccccc2c1Cl,CC4.N14CCCC1.C=Cc1cc5no1.c15cc2ccccc2c1Cl,,,decode_returned_none,,,False,,False,C=Cc1ccno1.CCN1CCCC1,C=Cc1ccno1,,0.5253275567063168,3.45223204806254,True,False,False,True,True
