sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,C#CC5.O53.c13ccccc14.c14nc(C2=CCNCC2)cs1,C#CC5.O53.c13ccccc14.c14nc(C2=CCNCC2)cs1,,C#CCOc1ccccc1-c1nc(C2=CCNCC2)cs1,,0.8798543541094364,2.79179821100289,True,True,True,C#CCOc1ccccc1-c1nc(C2=CCNCC2)cs1,C#CCOc1ccccc1-c1nc(C2=CCNCC2)cs1,,0.8798543541094364,2.79179821100289,True,True,True,False,False
1,C=C(C)C3.c13ccc5cc1.C5(=O)NN=C(O)N4.c14ccc2cc1.C6(F)(F)F,C=C(C)C3.c13ccc5cc1.C5(=O)NN=C(O)N4.c14ccc2cc1.C6(F)(F)F,,,decode_returned_none,,,False,,False,C=C(C)Cc1ccc(C(=O)NN=C(O)Nc2ccccc2)cc1.FC(F)F,C=C(C)Cc1ccc(C(=O)NN=C(O)Nc2ccccc2)cc1,,0.3425191985344984,2.2454498321454306,True,False,False,True,True
2,CO5.c15ccccc1C=3.C1=3C=CCC=C(C4N1.c14ccccc1,CO5.c15ccccc1C=3.C1=3C=CCC=C(C4N1.c14ccccc1,,,decode_returned_none,,,False,,False,C=Cc1ccccc1OC.c1ccccc1,C=Cc1ccccc1OC,,0.6028361255721729,1.7403968392029867,True,True,True,True,True
3,NCC5.[C@@H]15CCN6C1.c16ccc4cn1.N84.C83=O.c19ccc7[nH]c1=N.C7(F)(F)F,NCC5.[C@@H]15CCN6C1.c16ccc4cn1.N84.C83=O.c19ccc7[nH]c1=N.C7(F)(F)F,,,decode_returned_none,,,False,,False,N=c1cccc(C(F)(F)F)[nH]1.NCC[C@@H]1CCN(c2ccc(NC=O)cn2)C1,NCC[C@@H]1CCN(c2ccc(NC=O)cn2)C1,,0.7400620998828447,2.95902083015395,True,True,True,True,True
4,O=Cc1cccc5c1.O65.c16ccc2c(c1)c1ccccc1[S+]2c1ccccc1.c17c2ccccc2c2s1c1ccccc12,O=Cc1cccc5c1.O65.c16ccc2c(c1)c1ccccc1[S+]2c1ccccc1.c17c2ccccc2c2s1c1ccccc12,,,decode_returned_none,,,False,,False,O=Cc1cccc(Oc2ccc3c(c2)c2ccccc2[s+]3-c2ccccc2)c1,O=Cc1cccc(Oc2ccc3c(c2)c2ccccc2[s+]3-c2ccccc2)c1,,0.24043742694037995,3.2133028305959233,True,False,False,True,False
5,O=C(I)C4.N47.c17ccc3cc1.O63.C65.c15cscn1,O=C(I)C4.N47.c17ccc3cc1.O63.C65.c15cscn1,,O=C(I)CNc1ccc(OCc2cscn2)cc1,,0.6238414870904171,2.5232343609031584,True,True,True,O=C(I)CNc1ccc(OCc2cscn2)cc1,O=C(I)CNc1ccc(OCc2cscn2)cc1,,0.6238414870904171,2.5232343609031584,True,True,True,False,False
6,CO5.C54=O.c14nn3n6c1=O.c13c(C)cc(C)cc1C.C76.n17cncn1,CO5.C54=O.c14nn3n6c1=O.c13c(C)cc(C)cc1C.C76.n17cncn1,,COC(=O)c1nn(-c2c(C)cc(C)cc2C)n(Cn2cncn2)c1=O,,0.6520130770421753,3.1650177913605892,True,True,True,COC(=O)c1nn(-c2c(C)cc(C)cc2C)n(Cn2cncn2)c1=O,COC(=O)c1nn(-c2c(C)cc(C)cc2C)n(Cn2cncn2)c1=O,,0.6520130770421753,3.1650177913605892,True,True,True,False,False
7,CC(C)C4.O64.C65=O.N15CC2(CCOCCC3CCNCC3)C2)C1,CC(C)C4.O64.C65=O.N15CC2(CCOCCC3CCNCC3)C2)C1,,,decode_returned_none,,,False,,False,CC(C)COC=O,CC(C)COC=O,,0.49286858766087543,2.783808201908693,True,False,False,True,False
8,CN47.C4C5.c17ccc(N=C(O)CCc2ccc6cc2c1.O6C(F)(F)F.n15ccnn1,CN47.C4C5.c17ccc(N=C(O)CCc2ccc6cc2c1.O6C(F)(F)F.n15ccnn1,,,decode_returned_none,,,False,,False,CNCCn1ccnn1.OC(F)(F)F,CNCCn1ccnn1,,0.5932519634612883,2.735722090065794,True,False,False,True,True
9,CC1CC7N15.c15ccnc6n1.N16CCCC13.C43=O.c14nc7[nH]1.c17ccc(F)cc1,CC1CC7N15.c15ccnc6n1.N16CCCC13.C43=O.c14nc7[nH]1.c17ccc(F)cc1,,,decode_returned_none,,,False,,False,CC1CC(c2ccc(F)cc2)N1c1ccnc(N2CCCC2C=O)n1,CC1CC(c2ccc(F)cc2)N1c1ccnc(N2CCCC2C=O)n1,,0.8005626328476085,3.782913147246129,True,True,True,True,False
10,Cc1ccc5cc1.C45.N14CCN6CC1.C6C(O)=Nc1cc(C)cc([N+](=O)[O-])c1C,Cc1ccc5cc1.C45.N14CCN6CC1.C6C(O)=Nc1cc(C)cc([N+](=O)[O-])c1C,,Cc1ccc(CN2CCN(CC(O)=Nc3cc(C)cc([N+](=O)[O-])c3C)CC2)cc1,,0.3462600001508055,2.500712784769089,True,False,False,Cc1ccc(CN2CCN(CC(O)=Nc3cc(C)cc([N+](=O)[O-])c3C)CC2)cc1,Cc1ccc(CN2CCN(CC(O)=Nc3cc(C)cc([N+](=O)[O-])c3C)CC2)cc1,,0.3462600001508055,2.500712784769089,True,False,False,False,False
11,CC4C8=O.N18CCCCC16.c16nc2ccccc2nc1O.N45.C5C7.O79.c19ccccc1,CC4C8=O.N18CCCCC16.c16nc2ccccc2nc1O.N45.C5C7.O79.c19ccccc1,,CC(NCCOc1ccccc1)C(=O)N1CCCCC1c1nc2ccccc2nc1O,,0.569520764106496,3.1945377485988526,True,False,False,CC(NCCOc1ccccc1)C(=O)N1CCCCC1c1nc2ccccc2nc1O,CC(NCCOc1ccccc1)C(=O)N1CCCCC1c1nc2ccccc2nc1O,,0.569520764106496,3.1945377485988526,True,False,False,False,False
12,Cc1ccc4cc1F.n14c6n[nH+]c1O.N16CCN5CC1.C5C7=O.N7(C)C,Cc1ccc4cc1F.n14c6n[nH+]c1O.N16CCN5CC1.C5C7=O.N7(C)C,,Cc1ccc(-n2c(N3CCN(CC(=O)N(C)C)CC3)n[nH+]c2O)cc1F,,0.8304844755512506,3.1291333356175075,True,True,True,Cc1ccc(-n2c(N3CCN(CC(=O)N(C)C)CC3)n[nH+]c2O)cc1F,Cc1ccc(-n2c(N3CCN(CC(=O)N(C)C)CC3)n[nH+]c2O)cc1F,,0.8304844755512506,3.1291333356175075,True,True,True,False,False
13,Cc1cc3ccc14.n13nnnc15.C4(C)=O.c15ccc(Cl)c(C)c1C,Cc1cc3ccc14.n13nnnc15.C4(C)=O.c15ccc(Cl)c(C)c1C,,CC(=O)c1ccc(-n2nnnc2-c2ccc(Cl)c(C)c2C)cc1C,,0.6730347415002893,2.401014622171836,True,True,True,CC(=O)c1ccc(-n2nnnc2-c2ccc(Cl)c(C)c2C)cc1C,CC(=O)c1ccc(-n2nnnc2-c2ccc(Cl)c(C)c2C)cc1C,,0.6730347415002893,2.401014622171836,True,True,True,False,False
14,CCN=C3O.c13ccccc14.N24.C2(=O)N=c1c(C)[nH][nH]1,CCN=C3O.c13ccccc14.N24.C2(=O)N=c1c(C)[nH][nH]1,,,decode_returned_none,,,False,,False,CCN=C(O)c1ccccc1N,CCN=C(O)c1ccccc1N,,0.39593260496887933,2.402155547421824,True,False,False,True,False
15,CO7.c17ccccc15.N25C.C23=O.N13CCCC[C@H]16.c16nncn14.c14ccccc1,CO7.c17ccccc15.N25C.C23=O.N13CCCC[C@H]16.c16nncn14.c14ccccc1,,COc1ccccc1N(C)C(=O)N1CCCC[C@H]1c1nncn1-c1ccccc1,,0.6728178353935773,2.939154805627396,True,True,True,COc1ccccc1N(C)C(=O)N1CCCC[C@H]1c1nncn1-c1ccccc1,COc1ccccc1N(C)C(=O)N1CCCC[C@H]1c1nncn1-c1ccccc1,,0.6728178353935773,2.939154805627396,True,True,True,False,False
16,CC2.n12cc4c5n1.C4(F)(F)C(F)F.C65=O.N63.c13ccc([N+](=O)[O-])cc1,CC2.n12cc4c5n1.C4(F)(F)C(F)F.C65=O.N63.c13ccc([N+](=O)[O-])cc1,,CCn1cc(C(F)(F)C(F)F)c(C(=O)Nc2ccc([N+](=O)[O-])cc2)n1,,0.4855066740134236,2.7204709835934047,True,False,False,CCn1cc(C(F)(F)C(F)F)c(C(=O)Nc2ccc([N+](=O)[O-])cc2)n1,CCn1cc(C(F)(F)C(F)F)c(C(=O)Nc2ccc([N+](=O)[O-])cc2)n1,,0.4855066740134236,2.7204709835934047,True,False,False,False,False
17,CO7.c17ccc5cc18.c15nn(C)c2c(=O)n9c6c12.c16cccnc1.C19CCCC1,CO7.c17ccc5cc18.c15nn(C)c2c(=O)n9c6c12.c16cccnc1.C19CCCC1,,,decode_returned_none,,,False,,False,C1CCCC1.COc1ccccc1.c1ccncc1,COc1ccccc1,,0.5316253154127668,1.0,True,False,False,True,True
18,CC5=O.c15ccc7cc1.S7(=O)(=O)c1cccc4c1.N48.c18cccc6c1.C6(F)(F)F,CC5=O.c15ccc7cc1.S7(=O)(=O)c1cccc4c1.N48.c18cccc6c1.C6(F)(F)F,,CC(=O)c1ccc(S(=O)(=O)c2cccc(Nc3cccc(C(F)(F)F)c3)c2)cc1,,0.5561377780163698,2.0669583830596885,True,False,False,CC(=O)c1ccc(S(=O)(=O)c2cccc(Nc3cccc(C(F)(F)F)c3)c2)cc1,CC(=O)c1ccc(S(=O)(=O)c2cccc(Nc3cccc(C(F)(F)F)c3)c2)cc1,,0.5561377780163698,2.0669583830596885,True,False,False,False,False
19,CC15CCNCC1.C65=O.N64.C4C(O)=NC1=Cc2ccccc2OC1,CC15CCNCC1.C65=O.N64.C4C(O)=NC1=Cc2ccccc2OC1,,CC1(C(=O)NCC(O)=NC2=Cc3ccccc3OC2)CCNCC1,,0.5817314851260444,3.309012737100387,True,False,False,CC1(C(=O)NCC(O)=NC2=Cc3ccccc3OC2)CCNCC1,CC1(C(=O)NCC(O)=NC2=Cc3ccccc3OC2)CCNCC1,,0.5817314851260444,3.309012737100387,True,False,False,False,False
20,CN36.C164CCCC1.S3(=O)(=O)c1cccs1.C45.c15ccccn1,CN36.C164CCCC1.S3(=O)(=O)c1cccs1.C45.c15ccccn1,,CN(C1(Cc2ccccn2)CCCC1)S(=O)(=O)c1cccs1,,0.841444151660583,2.723378302241702,True,True,True,CN(C1(Cc2ccccn2)CCCC1)S(=O)(=O)c1cccs1,CN(C1(Cc2ccccn2)CCCC1)S(=O)(=O)c1cccs1,,0.841444151660583,2.723378302241702,True,True,True,False,False
21,CO4.c14ccc6cc1C.C36.N35.C15CCCN7C1=O.C7(C)CO,CO4.c14ccc6cc1C.C36.N35.C15CCCN7C1=O.C7(C)CO,,COc1ccc(CNC2CCCN(C(C)CO)C2=O)cc1C,,0.8352510813462805,2.952233997391284,True,True,True,COc1ccc(CNC2CCCN(C(C)CO)C2=O)cc1C,COc1ccc(CNC2CCCN(C(C)CO)C2=O)cc1C,,0.8352510813462805,2.952233997391284,True,True,True,False,False
