sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,Cc1ccc4s1.C54.c15nc2ncnc6c(C)c2[nH]1.N6(C)C,Cc1ccc4s1.C54.c15nc2ncnc6c(C)c2[nH]1.N6(C)C,,,decode_returned_none,,,False,,False,CNC.Cc1ccc(C)s1,Cc1ccc(C)s1,,0.4830395759177518,2.1351053679005965,True,False,False,True,True
1,CC3(C)C.O34.C45C8=O.C15CCCC1.C186CCCC1.c16ccc7cc1.C7(F)F,CC3(C)C.O34.C45C8=O.C15CCCC1.C186CCCC1.c16ccc7cc1.C7(F)F,,CC(C)(C)OC(C(=O)C1(c2ccc(C(F)F)cc2)CCCC1)C1CCCC1,,0.5740363557205596,3.3503687250650724,True,False,False,CC(C)(C)OC(C(=O)C1(c2ccc(C(F)F)cc2)CCCC1)C1CCCC1,CC(C)(C)OC(C(=O)C1(c2ccc(C(F)F)cc2)CCCC1)C1CCCC1,,0.5740363557205596,3.3503687250650724,True,False,False,False,False
2,Cc1ccc6c2cccnc12.C16CN7C(C)C1.C75.C15CCCCC1,Cc1ccc6c2cccnc12.C16CN7C(C)C1.C75.C15CCCCC1,,Cc1ccc(C2CC(C)N(CC3CCCCC3)C2)c2cccnc12,,0.7618848102808435,3.2004253105249365,True,True,True,Cc1ccc(C2CC(C)N(CC3CCCCC3)C2)c2cccnc12,Cc1ccc(C2CC(C)N(CC3CCCCC3)C2)c2cccnc12,,0.7618848102808435,3.2004253105249365,True,True,True,False,False
3,CCC=2.C=2CCCCCCCCCC=3.C=3CC=4.C=4c1ccc5cc1.C5C(=O)CCCC(C)C,CCC=2.C=2CCCCCCCCCC=3.C=3CC=4.C=4c1ccc5cc1.C5C(=O)CCCC(C)C,,CCC=CCCCCCCCCCC=CCC=Cc1ccc(CC(=O)CCCC(C)C)cc1,,0.14255834898974168,2.727294000863706,True,False,False,CCC=CCCCCCCCCCC=CCC=Cc1ccc(CC(=O)CCCC(C)C)cc1,CCC=CCCCCCCCCCC=CCC=Cc1ccc(CC(=O)CCCC(C)C)cc1,,0.14255834898974168,2.727294000863706,True,False,False,False,False
4,CO5.c15ccc(C2=NN=C(C4CC2)c2ccccc12.c14ccc2c(c1)-c1ccccc1C2.O67.C6(C)(C)C,CO5.c15ccc(C2=NN=C(C4CC2)c2ccccc12.c14ccc2c(c1)-c1ccccc1C2.O67.C6(C)(C)C,,,decode_returned_none,,,False,,False,CC(C)(C)O.CO.c1ccc2c(c1)Cc1ccccc1-2,c1ccc2c(c1)Cc1ccccc1-2,,0.48057199184742166,1.5445545429082337,True,False,False,True,True
5,CC(=O)CCN=C(C3N2.c12ccccc1Cl.c13ccc(F)cc1,CC(=O)CCN=C(C3N2.c12ccccc1Cl.c13ccc(F)cc1,,,decode_returned_none,,,False,,False,Clc1ccccc1.Fc1ccccc1,Clc1ccccc1,,0.4833833263681997,1.0,True,False,False,True,True
6,CO7.C76=O.c16ccc2cc(C)n5c(=O)c2c1.c15ccc(Cl)c2ccccc12,CO7.C76=O.c16ccc2cc(C)n5c(=O)c2c1.c15ccc(Cl)c2ccccc12,,COC(=O)c1ccc2cc(C)n(-c3ccc(Cl)c4ccccc34)c(=O)c2c1,,0.46704201671003687,2.148353289773244,True,False,False,COC(=O)c1ccc2cc(C)n(-c3ccc(Cl)c4ccccc34)c(=O)c2c1,COC(=O)c1ccc2cc(C)n(-c3ccc(Cl)c4ccccc34)c(=O)c2c1,,0.46704201671003687,2.148353289773244,True,False,False,False,False
7,CCCCCC3.O43.C45=O.C6C6(C)C.C152CC1.C2(C)(C)C,CCCCCC3.O43.C45=O.C6C6(C)C.C152CC1.C2(C)(C)C,,,decode_returned_none,,,False,,False,CCCCCCOC(=O)C1(C(C)(C)C)CC1,CCCCCCOC(=O)C1(C(C)(C)C)CC1,,0.5063499658233692,2.4478825412823983,True,False,False,True,False
8,CC4.N24.C25=O.c15cc6c3c(Cl)c1.O6C(F)F.O3C(F)(F)F.c1ccccc1,CC4.N24.C25=O.c15cc6c3c(Cl)c1.O6C(F)F.O3C(F)(F)F.c1ccccc1,,CCNC(=O)c1cc(Cl)c(OC(F)(F)F)c(OC(F)F)c1.c1ccccc1,,0.6811957043879179,2.2768846551994546,True,True,True,CCNC(=O)c1cc(Cl)c(OC(F)(F)F)c(OC(F)F)c1.c1ccccc1,CCNC(=O)c1cc(Cl)c(OC(F)(F)F)c(OC(F)F)c1,,0.8377138168717962,2.451697326725876,True,True,True,False,True
9,Cc1ccc8cc1.O86.c16ccccc14.N14C(O)=CN5C1=O.C57.c17ccc(F)cc1,Cc1ccc8cc1.O86.c16ccccc14.N14C(O)=CN5C1=O.C57.c17ccc(F)cc1,,Cc1ccc(Oc2ccccc2-n2c(O)cn(Cc3ccc(F)cc3)c2=O)cc1,,0.5404431676630543,2.2501796573877684,True,False,False,Cc1ccc(Oc2ccccc2-n2c(O)cn(Cc3ccc(F)cc3)c2=O)cc1,Cc1ccc(Oc2ccccc2-n2c(O)cn(Cc3ccc(F)cc3)c2=O)cc1,,0.5404431676630543,2.2501796573877684,True,False,False,False,False
