record_type,contrast_id,method,config_id,seed,branch,measure,operation,control_value,treatment_value,value,mean,sample_sd,defined_seed_count,expected_seed_count,status
paired_seed,ct_512_minus_128,CT,,1700,released_comparable,validity,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,released_comparable,validity,512_minus_128,1.0,0.99,-0.010000000000000009,,,,,defined
paired_summary,ct_512_minus_128,CT,,,released_comparable,validity,512_minus_128,,,,-0.0050000000000000044,0.007071067811865481,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,released_comparable,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,released_comparable,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_summary,ct_512_minus_128,CT,,,released_comparable,uniqueness,512_minus_128,,,,0.0,0.0,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,released_comparable,quality,512_minus_128,0.4,0.43,0.02999999999999997,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,released_comparable,quality,512_minus_128,0.51,0.47,-0.040000000000000036,,,,,defined
paired_summary,ct_512_minus_128,CT,,,released_comparable,quality,512_minus_128,,,,-0.005000000000000032,0.04949747468305833,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,released_comparable,diversity,512_minus_128,0.8963168959113083,0.8899131549366854,-0.006403740974622818,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,released_comparable,diversity,512_minus_128,0.8872022994017346,0.8915287791291161,0.004326479727381538,,,,,defined
paired_summary,ct_512_minus_128,CT,,,released_comparable,diversity,512_minus_128,,,,-0.00103863062362064,0.007587411822015557,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,strict,validity,512_minus_128,0.65,0.75,0.09999999999999998,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,strict,validity,512_minus_128,0.79,0.72,-0.07000000000000006,,,,,defined
paired_summary,ct_512_minus_128,CT,,,strict,validity,512_minus_128,,,,0.014999999999999958,0.12020815280171311,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,strict,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,strict,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_summary,ct_512_minus_128,CT,,,strict,uniqueness,512_minus_128,,,,0.0,0.0,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,strict,quality,512_minus_128,0.27,0.3,0.02999999999999997,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,strict,quality,512_minus_128,0.44,0.35,-0.09000000000000002,,,,,defined
paired_summary,ct_512_minus_128,CT,,,strict,quality,512_minus_128,,,,-0.030000000000000027,0.08485281374238571,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,strict,diversity,512_minus_128,0.874247980588403,0.8727154343381784,-0.0015325462502245868,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,strict,diversity,512_minus_128,0.8765143733342192,0.8800031132650329,0.003488739930813667,,,,,defined
paired_summary,ct_512_minus_128,CT,,,strict,diversity,512_minus_128,,,,0.00097809684029454,0.0035505855088904512,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,runtime,generation_seconds,512_over_128,15.143039368034806,57.41494463797426,3.791507321784458,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,runtime,generation_seconds,512_over_128,13.747878049965948,52.1844365199795,3.7958175312814006,,,,,defined
paired_summary,ct_512_minus_128,CT,,,runtime,generation_seconds,512_over_128,,,,3.7936624265329293,0.003047778363622854,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,raw_lexical,odd_ring,512_minus_128,19,7,-12,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,raw_lexical,odd_ring,512_minus_128,8,11,3,,,,,defined
