sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO4.c14ccccc15.N65.C63=O.c13cc(Br)cc2nc7n12.c17ccccc1,CO4.c14ccccc15.N65.C63=O.c13cc(Br)cc2nc7n12.c17ccccc1,,,decode_returned_none,,,False,,False,COc1ccccc1NC=O.c1ccccc1,COc1ccccc1NC=O,,0.6603167590818223,1.7807402866694382,True,True,True,True,True
1,ClO7.c17ccccc1C(O)=[NH+][C@H]1C[C@@H](C)N6CN14.C6CO.C45.c15ccc2cccc3c2c1)OCO3,ClO7.c17ccccc1C(O)=[NH+][C@H]1C[C@@H](C)N6CN14.C6CO.C45.c15ccc2cccc3c2c1)OCO3,,,decode_returned_none,,,False,,False,C[C@@H]1C[C@H]([NH+]=C(O)c2ccccc2OCl)N(C)CN1CCO,C[C@@H]1C[C@H]([NH+]=C(O)c2ccccc2OCl)N(C)CN1CCO,,0.5203095771353887,4.5301802773408415,True,False,False,True,False
2,CN1CCC4CC1.N4C(O)=NC(C)C6.N56.C5(=O)C7C(C)=O.c17ccc2c(c1)CCN2C,CN1CCC4CC1.N4C(O)=NC(C)C6.N56.C5(=O)C7C(C)=O.c17ccc2c(c1)CCN2C,,CC(=O)C(C(=O)NCC(C)N=C(O)NC1CCN(C)CC1)c1ccc2c(c1)CCN2C,,0.34491429135215096,3.8339393943949176,True,False,False,CC(=O)C(C(=O)NCC(C)N=C(O)NC1CCN(C)CC1)c1ccc2c(c1)CCN2C,CC(=O)C(C(=O)NCC(C)N=C(O)NC1CCN(C)CC1)c1ccc2c(c1)CCN2C,,0.34491429135215096,3.8339393943949176,True,False,False,False,False
3,CO6.c16cccc4n1.C74=O.N17CCN5CC1.C5C(O)=Nc1ccccn1,CO6.c16cccc4n1.C74=O.N17CCN5CC1.C5C(O)=Nc1ccccn1,,COc1cccc(C(=O)N2CCN(CC(O)=Nc3ccccn3)CC2)n1,,0.6460349604900156,2.5876325663867377,True,True,True,COc1cccc(C(=O)N2CCN(CC(O)=Nc3ccccn3)CC2)n1,COc1cccc(C(=O)N2CCN(CC(O)=Nc3ccccn3)CC2)n1,,0.6460349604900156,2.5876325663867377,True,True,True,False,False
4,O=S1(=O)CCC[C@H]2CCC[C@H]2[C@@H]1N4CCO3.C4(=O)C[N+](=O)[O-],O=S1(=O)CCC[C@H]2CCC[C@H]2[C@@H]1N4CCO3.C4(=O)C[N+](=O)[O-],,,decode_returned_none,,,False,,False,O=C(C[N+](=O)[O-])N(CCO)[C@H]1[C@@H]2CCC[C@@H]2CCCS1(=O)=O,O=C(C[N+](=O)[O-])N(CCO)[C@H]1[C@@H]2CCC[C@@H]2CCCS1(=O)=O,,0.559854957174289,4.381052575948551,True,False,False,True,False
5,CC5.N45.C49=O.c19nnc6n1C.N16CCN7C(C)C1.c17ncccc1F,CC5.N45.C49=O.c19nnc6n1C.N16CCN7C(C)C1.c17ncccc1F,,CCNC(=O)c1nnc(N2CCN(c3ncccc3F)C(C)C2)n1C,,0.8819222551302445,3.290634307096001,True,True,True,CCNC(=O)c1nnc(N2CCN(c3ncccc3F)C(C)C2)n1C,CCNC(=O)c1nnc(N2CCN(c3ncccc3F)C(C)C2)n1C,,0.8819222551302445,3.290634307096001,True,True,True,False,False
6,CC3.O34.C47.C17C(C)NC6C1C.C6(C)C5.C125CCCCC1CCC2,CC3.O34.C47.C17C(C)NC6C1C.C6(C)C5.C125CCCCC1CCC2,,CCOCC1C(C)NC(C(C)CC23CCCCC2CCC3)C1C,,0.7412251749304859,4.820285908808833,True,False,False,CCOCC1C(C)NC(C(C)CC23CCCCC2CCC3)C1C,CCOCC1C(C)NC(C(C)CC23CCCCC2CCC3)C1C,,0.7412251749304859,4.820285908808833,True,False,False,False,False
7,CC(=Nc2ccc(S(N)(=O)=O)cc2N3N3.C13CCOC1.I,CC(=Nc2ccc(S(N)(=O)=O)cc2N3N3.C13CCOC1.I,,,decode_returned_none,,,False,,False,C1CCOC1.I,C1CCOC1,,0.410937601049349,2.0262776130575944,True,False,False,True,True
8,Cc1cccc(C)c14.N4C(O)=NCC3.S35.c15nc6nn1C.c16ccc(Cl)cc1,Cc1cccc(C)c14.N4C(O)=NCC3.S35.c15nc6nn1C.c16ccc(Cl)cc1,,Cc1cccc(C)c1NC(O)=NCCSc1nc(-c2ccc(Cl)cc2)nn1C,,0.2597631516030623,2.698538606006382,True,False,False,Cc1cccc(C)c1NC(O)=NCCSc1nc(-c2ccc(Cl)cc2)nn1C,Cc1cccc(C)c1NC(O)=NCCSc1nc(-c2ccc(Cl)cc2)nn1C,,0.2597631516030623,2.698538606006382,True,False,False,False,False
9,C=CCC6.n16c4c(C)cn1.N84.C8(=O)C7=O.N17CCC3CC1.C3CCO,C=CCC6.n16c4c(C)cn1.N84.C8(=O)C7=O.N17CCC3CC1.C3CCO,,C=CCCn1ncc(C)c1NC(=O)C(=O)N1CCC(CCCO)CC1,,0.5800559000059956,2.8170998076052136,True,False,False,C=CCCn1ncc(C)c1NC(=O)C(=O)N1CCC(CCCO)CC1,C=CCCn1ncc(C)c1NC(=O)C(=O)N1CCC(CCCO)CC1,,0.5800559000059956,2.8170998076052136,True,False,False,False,False
