sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CCC5.O56.C6O)C7.C174Oc2ccccc2O1.C4CCC8.c18ccccc1,CCC5.O56.C6O)C7.C174Oc2ccccc2O1.C4CCC8.c18ccccc1,,,decode_returned_none,,,False,,False,CCCO.c1ccc(CCCCC2Oc3ccccc3O2)cc1,c1ccc(CCCCC2Oc3ccccc3O2)cc1,,0.7445211393131181,1.986041656075125,True,True,True,True,True
1,Cc1ncc4cc16.c14noc5n1.c15cnn(C)c1.C6oC)C,Cc1ncc4cc16.c14noc5n1.c15cnn(C)c1.C6oC)C,,,decode_returned_none,,,False,,False,Cc1ccc(-c2noc(-c3cnn(C)c3)n2)cn1,Cc1ccc(-c2noc(-c3cnn(C)c3)n2)cn1,,0.6842845295599821,2.346373710015584,True,True,True,True,False
2,CO6.c16cccc4c1.O54.C5CCCN=C(O)C7C.n17cnc2sccc21,CO6.c16cccc4c1.O54.C5CCCN=C(O)C7C.n17cnc2sccc21,,COc1cccc(OCCCCN=C(O)C(C)n2cnc3sccc32)c1,,0.3409666912687855,3.223563329613789,True,False,False,COc1cccc(OCCCCN=C(O)C(C)n2cnc3sccc32)c1,COc1cccc(OCCCCN=C(O)C(C)n2cnc3sccc32)c1,,0.3409666912687855,3.223563329613789,True,False,False,False,False
3,CC8.c18nnc5cn1.C45.C43.N47.c17ccccc16.N96.S9(C)(=O)=O,CC8.c18nnc5cn1.C45.C43.N47.c17ccccc16.N96.S9(C)(=O)=O,,,decode_returned_none,,,False,,False,CCc1cnc(CC)nn1.CS(=O)(=O)Nc1ccccc1N,CS(=O)(=O)Nc1ccccc1N,,0.6656180002310864,1.7869761767924537,True,True,True,True,True
4,CC(C)C4C.N43.C33.c13ccc5n(C=O)c1C.C15CCS(=O)(=O)C1,CC(C)C4C.N43.C33.c13ccc5n(C=O)c1C.C15CCS(=O)(=O)C1,,,decode_returned_none,,,False,,False,CC(C)C(C)N.O=S1(=O)CCCC1,O=S1(=O)CCCC1,,0.4572038171993307,2.688871359803432,True,False,False,True,True
5,C[C@H]1C[C@H]14.C54=O.N573.[C@@H]13CC[C@H]7C1.C7(=O)N=c1[nH]sc6n1.c16cn[nH]n1,C[C@H]1C[C@H]14.C54=O.N573.[C@@H]13CC[C@H]7C1.C7(=O)N=c1[nH]sc6n1.c16cn[nH]n1,,,decode_returned_none,,,False,,False,C[C@H]1C[C@H]1C(=O)N1[C@@H]2CC[C@H]1C2.O=CN=c1nc(-c2cn[nH]n2)s[nH]1,C[C@H]1C[C@H]1C(=O)N1[C@@H]2CC[C@H]1C2,,0.5749244358113045,4.236813374645775,True,False,False,True,True
6,CC6.c16cc4ccc15.O4C.C15c2ccccc2COC12CCNCC2N/C=C/3.c13ccnc2c(C#N)[nH][nH]12,CC6.c16cc4ccc15.O4C.C15c2ccccc2COC12CCNCC2N/C=C/3.c13ccnc2c(C#N)[nH][nH]12,,,decode_returned_none,,,False,,False,C=CNC1CNCCC12OCc1ccccc1C2c1ccc(OC)cc1CC,C=CNC1CNCCC12OCc1ccccc1C2c1ccc(OC)cc1CC,,0.8315245360080875,4.543364620668602,True,False,False,True,False
7,C=CC4.O64.C65=O.C15CCN3CC1.c13ccc(C)cc1F,C=CC4.O64.C65=O.C15CCN3CC1.c13ccc(C)cc1F,,C=CCOC(=O)C1CCN(c2ccc(C)cc2F)CC1,,0.6254673181139618,2.087882828358472,True,True,True,C=CCOC(=O)C1CCN(c2ccc(C)cc2F)CC1,C=CCOC(=O)C1CCN(c2ccc(C)cc2F)CC1,,0.6254673181139618,2.087882828358472,True,True,True,False,False
8,CCC3C.n13c(C)ccc1S(=O)(=O)C54.c15ccco1.c14ccc(F)cc1Cl,CCC3C.n13c(C)ccc1S(=O)(=O)C54.c15ccco1.c14ccc(F)cc1Cl,,CCC(C)n1c(C)ccc1S(=O)(=O)C(c1ccco1)c1ccc(F)cc1Cl,,0.5230287031499861,3.683519632614102,True,False,False,CCC(C)n1c(C)ccc1S(=O)(=O)C(c1ccco1)c1ccc(F)cc1Cl,CCC(C)n1c(C)ccc1S(=O)(=O)C(c1ccco1)c1ccc(F)cc1Cl,,0.5230287031499861,3.683519632614102,True,False,False,False,False
9,OC(C5CO.N15c2ccc3cc2c2ccccc21.O3C(F)(F)F,OC(C5CO.N15c2ccc3cc2c2ccccc21.O3C(F)(F)F,,,decode_returned_none,,,False,,False,FC(F)(F)Oc1ccc2[nH]c3ccccc3c2c1,FC(F)(F)Oc1ccc2[nH]c3ccccc3c2c1,,0.687765598211629,1.9439946115122773,True,True,True,True,False
