row_type,direction,contrast_id,control_config,treatment_config,temperature,branch,metric,status,seed,control_status,treatment_status,requested_samples,control_quality_count,treatment_quality_count,control_value,treatment_value,difference,defined_seed_count,expected_seed_count,mean_difference,sample_sd
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,validity,completed,2000,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,validity,completed,2001,completed,completed,100,,,0.98,0.99,0.01,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,validity,completed,,,,,,,,,,2,2,0.005,0.007071067811865475
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,uniqueness,completed,2000,completed,completed,100,,,0.99,0.99,0.0,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,uniqueness,completed,2001,completed,completed,100,,,1.0,1.0,0.0,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,uniqueness,completed,,,,,,,,,,2,2,0.0,0.0
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,quality,completed,2000,completed,completed,100,38,54,0.38,0.54,0.16,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,quality,completed,2001,completed,completed,100,47,46,0.47,0.46,-0.01,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,quality,completed,,,,,,,,,,2,2,0.075,0.12020815280171307
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,diversity,completed,2000,completed,completed,100,,,0.8984339115669416,0.9048170070782449,0.0063830955113033,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,diversity,completed,2001,completed,completed,100,,,0.9032070407111672,0.9043166982241676,0.0011096575130004,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,released_comparable,diversity,completed,,,,,,,,,,2,2,0.00374637651215185,0.003728883768766794
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,validity,completed,2000,completed,completed,100,,,0.63,0.61,-0.02,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,validity,completed,2001,completed,completed,100,,,0.54,0.56,0.02,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,validity,completed,,,,,,,,,,2,2,0.0,0.0282842712474619
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,uniqueness,completed,2000,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,uniqueness,completed,2001,completed,completed,100,,,1.0,1.0,0.0,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,uniqueness,completed,,,,,,,,,,2,2,0.0,0.0
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,quality,completed,2000,completed,completed,100,26,38,0.26,0.38,0.12,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,quality,completed,2001,completed,completed,100,29,30,0.29,0.3,0.01,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,quality,completed,,,,,,,,,,2,2,0.065,0.07778174593052023
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,diversity,completed,2000,completed,completed,100,,,0.8811153860643346,0.8818204882154281,0.0007051021510935,,,,
seed,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,diversity,completed,2001,completed,completed,100,,,0.8897617583624587,0.8828595121550247,-0.006902246207434,,,,
summary,MASK_minus_empirical,primary,e_ce_t100,mask_ce_t100,1.0,strict,diversity,completed,,,,,,,,,,2,2,-0.00309857202817025,0.0053792076111631466
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,validity,completed,2000,completed,completed,100,,,0.99,1.0,0.01,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,validity,completed,2001,completed,completed,100,,,0.97,0.99,0.02,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,validity,completed,,,,,,,,,,2,2,0.015,0.007071067811865475
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,uniqueness,completed,2000,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,uniqueness,completed,2001,completed,completed,100,,,1.0,0.98989898989899,-0.01010101010101,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,uniqueness,completed,,,,,,,,,,2,2,-0.005050505050505,0.007142492739257985
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,quality,completed,2000,completed,completed,100,50,56,0.5,0.56,0.06,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,quality,completed,2001,completed,completed,100,47,52,0.47,0.52,0.05,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,quality,completed,,,,,,,,,,2,2,0.055,0.007071067811865475
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,diversity,completed,2000,completed,completed,100,,,0.8892830959555847,0.8833595382677643,-0.0059235576878204,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,diversity,completed,2001,completed,completed,100,,,0.8996865677491039,0.8893404532863304,-0.0103461144627735,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,released_comparable,diversity,completed,,,,,,,,,,2,2,-0.00813483607529695,0.0031272198857518452
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,validity,completed,2000,completed,completed,100,,,0.72,0.8,0.08,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,validity,completed,2001,completed,completed,100,,,0.71,0.73,0.02,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,validity,completed,,,,,,,,,,2,2,0.05,0.042426406871192854
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,uniqueness,completed,2000,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,uniqueness,completed,2001,completed,completed,100,,,1.0,1.0,0.0,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,uniqueness,completed,,,,,,,,,,2,2,0.0,0.0
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,quality,completed,2000,completed,completed,100,40,45,0.4,0.45,0.05,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,quality,completed,2001,completed,completed,100,35,39,0.35,0.39,0.04,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,quality,completed,,,,,,,,,,2,2,0.045,0.007071067811865475
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,diversity,completed,2000,completed,completed,100,,,0.8774240138083733,0.876253354968623,-0.0011706588397503,,,,
seed,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,diversity,completed,2001,completed,completed,100,,,0.888618348766624,0.8766835565785795,-0.0119347921880445,,,,
summary,MASK_minus_empirical,secondary,e_ce_t050,mask_ce_t050,0.5,strict,diversity,completed,,,,,,,,,,2,2,-0.0065527255138974,0.007611391684175086
