sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,Cc1ccccc13.c13noc4n1.C4C(C)(C)C5=O.N56.C16CCCC1,Cc1ccccc13.c13noc4n1.C4C(C)(C)C5=O.N56.C16CCCC1,,Cc1ccccc1-c1noc(CC(C)(C)C(=O)NC2CCCC2)n1,,0.909508336287046,2.403131899012644,True,True,True,Cc1ccccc1-c1noc(CC(C)(C)C(=O)NC2CCCC2)n1,Cc1ccccc1-c1noc(CC(C)(C)C(=O)NC2CCCC2)n1,,0.909508336287046,2.403131899012644,True,True,True,False,False
1,CN4C.C4C7.n17cnc5n1.S85.C86.c16ccc3cc1.C3(=O)O,CN4C.C4C7.n17cnc5n1.S85.C86.c16ccc3cc1.C3(=O)O,,CN(C)CCn1cnc(SCc2ccc(C(=O)O)cc2)n1,,0.7869705011958487,2.328649096312221,True,True,True,CN(C)CCn1cnc(SCc2ccc(C(=O)O)cc2)n1,CN(C)CCn1cnc(SCc2ccc(C(=O)O)cc2)n1,,0.7869705011958487,2.328649096312221,True,True,True,False,False
2,CC4.c14ccc(F)cc12.c13cc(Br)c(Br)cc1Cl.C23=O,CC4.c14ccc(F)cc12.c13cc(Br)c(Br)cc1Cl.C23=O,,CCc1ccc(F)cc1C(=O)c1cc(Br)c(Br)cc1Cl,,0.45323783297451675,2.3155670774427204,True,False,False,CCc1ccc(F)cc1C(=O)c1cc(Br)c(Br)cc1Cl,CCc1ccc(F)cc1C(=O)c1cc(Br)c(Br)cc1Cl,,0.45323783297451675,2.3155670774427204,True,False,False,False,False
3,C[C@@H]1CC(O)=NCCCC[C@@H]13.C3N=c1[nH]c2c(s1)CC[C@@H](O)C2,C[C@@H]1CC(O)=NCCCC[C@@H]13.C3N=c1[nH]c2c(s1)CC[C@@H](O)C2,,C[C@@H]1CC(O)=NCCCC[C@@H]1CN=c1[nH]c2c(s1)CC[C@@H](O)C2,,0.7752146586986697,5.231553181536105,True,False,False,C[C@@H]1CC(O)=NCCCC[C@@H]1CN=c1[nH]c2c(s1)CC[C@@H](O)C2,C[C@@H]1CC(O)=NCCCC[C@@H]1CN=c1[nH]c2c(s1)CC[C@@H](O)C2,,0.7752146586986697,5.231553181536105,True,False,False,False,False
4,Cc1cc(C(=N)O)cc2c1CCCC3CC2C(=O)O.C3(C)=O,Cc1cc(C(=N)O)cc2c1CCCC3CC2C(=O)O.C3(C)=O,,CC(=O)C1CCCc2c(C)cc(C(=N)O)cc2C(C(=O)O)C1,,0.590225059239688,3.61077338653784,True,False,False,CC(=O)C1CCCc2c(C)cc(C(=N)O)cc2C(C(=O)O)C1,CC(=O)C1CCCc2c(C)cc(C(=N)O)cc2C(C(=O)O)C1,,0.590225059239688,3.61077338653784,True,False,False,False,False
5,Cc1cccc3c1.C23C.N24.C4N=C(O)c1cc(Cl)ccc1C,Cc1cccc3c1.C23C.N24.C4N=C(O)c1cc(Cl)ccc1C,,Cc1cccc(C(C)NCN=C(O)c2cc(Cl)ccc2C)c1,,0.6266353790071539,2.9392307156218784,True,True,True,Cc1cccc(C(C)NCN=C(O)c2cc(Cl)ccc2C)c1,Cc1cccc(C(C)NCN=C(O)c2cc(Cl)ccc2C)c1,,0.6266353790071539,2.9392307156218784,True,True,True,False,False
6,CC%11.O%114.c14cc5ccc1%10.C75.O87.C86=O.c16cc(=O)n9[nH]1.C19CCCCC1.C1%10CCOCC1,CC%11.O%114.c14cc5ccc1%10.C75.O87.C86=O.c16cc(=O)n9[nH]1.C19CCCCC1.C1%10CCOCC1,,CCOc1cc(COC(=O)c2cc(=O)n(C3CCCCC3)[nH]2)ccc1C1CCOCC1,,0.6639013275808175,2.7776406266793217,True,True,True,CCOc1cc(COC(=O)c2cc(=O)n(C3CCCCC3)[nH]2)ccc1C1CCOCC1,CCOc1cc(COC(=O)c2cc(=O)n(C3CCCCC3)[nH]2)ccc1C1CCOCC1,,0.6639013275808175,2.7776406266793217,True,True,True,False,False
7,O=C62.c12ccncc1.N65.c15ccccc14.C74.O73.c13ccccc1,O=C62.c12ccncc1.N65.c15ccccc14.C74.O73.c13ccccc1,,O=C(Nc1ccccc1COc1ccccc1)c1ccncc1,,0.7771597078806083,1.6770237096254164,True,True,True,O=C(Nc1ccccc1COc1ccccc1)c1ccncc1,O=C(Nc1ccccc1COc1ccccc1)c1ccncc1,,0.7771597078806083,1.6770237096254164,True,True,True,False,False
8,CC(CCC5)C3=O.c15ccc(F)cc1.N13CCCN4CC1.C4(C)=O,CC(CCC5)C3=O.c15ccc(F)cc1.N13CCCN4CC1.C4(C)=O,,CC(=O)N1CCCN(C(=O)C(C)CCCc2ccc(F)cc2)CC1,,0.8306608441704618,2.474696839318103,True,True,True,CC(=O)N1CCCN(C(=O)C(C)CCCc2ccc(F)cc2)CC1,CC(=O)N1CCCN(C(=O)C(C)CCCc2ccc(F)cc2)CC1,,0.8306608441704618,2.474696839318103,True,True,True,False,False
9,CC6.N67.C75=O.c15ccc3cc1.C1=3Nc2ccccc2C(=O)N14.C4(F)(F)F,CC6.N67.C75=O.c15ccc3cc1.C1=3Nc2ccccc2C(=O)N14.C4(F)(F)F,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
10,CC(C)CCC4.N45.S5(=O)(=O)C2.N23C.C36.c16ccccc1,CC(C)CCC4.N45.S5(=O)(=O)C2.N23C.C36.c16ccccc1,,CC(C)CCCNS(=O)(=O)CN(C)Cc1ccccc1,,0.7123958811665122,2.3120682429438855,True,True,True,CC(C)CCCNS(=O)(=O)CN(C)Cc1ccccc1,CC(C)CCCNS(=O)(=O)CN(C)Cc1ccccc1,,0.7123958811665122,2.3120682429438855,True,True,True,False,False
11,Cc1ccc7o1.c17cc5no1.C85=O.N18CCC[C@H]16.c16ccccc1,Cc1ccc7o1.c17cc5no1.C85=O.N18CCC[C@H]16.c16ccccc1,,Cc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)o1,,0.7241452757517698,2.704762907876411,True,True,True,Cc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)o1,Cc1ccc(-c2cc(C(=O)N3CCC[C@H]3c3ccccc3)no2)o1,,0.7241452757517698,2.704762907876411,True,True,True,False,False
