sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO5.c15ccc4cc1.C4CC(O)=Nc1cccc3c1.S3C(F)(F)F,CO5.c15ccc4cc1.C4CC(O)=Nc1cccc3c1.S3C(F)(F)F,,COc1ccc(CCC(O)=Nc2cccc(SC(F)(F)F)c2)cc1,,0.42088382298879073,2.479920978502072,True,False,False,COc1ccc(CCC(O)=Nc2cccc(SC(F)(F)F)c2)cc1,COc1ccc(CCC(O)=Nc2cccc(SC(F)(F)F)c2)cc1,,0.42088382298879073,2.479920978502072,True,False,False,False,False
1,C=5.C=5c1ccc2nc4n(C)c2c1.c14ccc(C(O)=NC6cc1.c16c(C)nc(C)oc1=O,C=5.C=5c1ccc2nc4n(C)c2c1.c14ccc(C(O)=NC6cc1.c16c(C)nc(C)oc1=O,,,decode_returned_none,,,False,,False,C=Cc1ccc2ncn(C)c2c1.Cc1cc(=O)oc(C)n1,C=Cc1ccc2ncn(C)c2c1,,0.6218305332754797,2.41175332611372,True,True,True,True,True
2,O=C45.C15COC2(CCC3CCCCC32)C1.O43.c13ccccc1F,O=C45.C15COC2(CCC3CCCCC32)C1.O43.c13ccccc1F,,O=C(Oc1ccccc1F)C1COC2(CCC3CCCCC32)C1,,0.6080051233056354,4.2645726087947295,True,False,False,O=C(Oc1ccccc1F)C1COC2(CCC3CCCCC32)C1,O=C(Oc1ccccc1F)C1COC2(CCC3CCCCC32)C1,,0.6080051233056354,4.2645726087947295,True,False,False,False,False
3,CC4.C14CC(=O)CC12CCN3C2.S3(=O)(=O)c1ccccc1F,CC4.C14CC(=O)CC12CCN3C2.S3(=O)(=O)c1ccccc1F,,CCC1CC(=O)CC12CCN(S(=O)(=O)c1ccccc1F)C2,,0.858186293049861,3.902033159105093,True,True,True,CCC1CC(=O)CC12CCN(S(=O)(=O)c1ccccc1F)C2,CCC1CC(=O)CC12CCN(S(=O)(=O)c1ccccc1F)C2,,0.858186293049861,3.902033159105093,True,True,True,False,False
4,O=c1ncc3n14.c13ccc(F)c(F)c1.c14cccc(F)c1,O=c1ncc3n14.c13ccc(F)c(F)c1.c14cccc(F)c1,,,decode_returned_none,,,False,,False,Fc1ccccc1.Fc1ccccc1F,Fc1ccccc1F,,0.4832965029562796,1.1952146240212116,True,False,False,True,True
5,CCCCC24.c14nncn1C.N26.c16ccccc13.C3(O)C7.N75.C5C,CCCCC24.c14nncn1C.N26.c16ccccc13.C3(O)C7.N75.C5C,,CCCCC(Nc1ccccc1C(O)CNCC)c1nncn1C,,0.6240867843661246,3.3950651747783294,True,True,True,CCCCC(Nc1ccccc1C(O)CNCC)c1nncn1C,CCCCC(Nc1ccccc1C(O)CNCC)c1nncn1C,,0.6240867843661246,3.3950651747783294,True,True,True,False,False
6,CC9(C)C.c19ccc7cc1.C67.N16CC(O)C11=C(O)C8.O84.c14cc2ccccc2cc15.O5C,CC9(C)C.c19ccc7cc1.C67.N16CC(O)C11=C(O)C8.O84.c14cc2ccccc2cc15.O5C,,,decode_returned_none,,,False,,False,COc1cc2ccccc2cc1O.Cc1ccc(C(C)(C)C)cc1,Cc1ccc(C(C)(C)C)cc1,,0.5293048449815113,1.3609934397455046,True,False,False,True,True
7,CCN=c1[nH]c4c(C)cc13.c14ccccc1.C13CCN(C(O)=O)C1,CCN=c1[nH]c4c(C)cc13.c14ccccc1.C13CCN(C(O)=O)C1,,CCN=c1[nH]c(-c2ccccc2)c(C)cc1C1CCN(C(=O)O)C1,,0.9081260518573742,3.3177342911989696,True,True,True,CCN=c1[nH]c(-c2ccccc2)c(C)cc1C1CCN(C(=O)O)C1,CCN=c1[nH]c(-c2ccccc2)c(C)cc1C1CCN(C(=O)O)C1,,0.9081260518573742,3.3177342911989696,True,True,True,False,False
8,CCC4C3=O.N14CCN(C)CC1C.N32C.c12ccc([N+](=O)[O-])cc1Cl,CCC4C3=O.N14CCN(C)CC1C.N32C.c12ccc([N+](=O)[O-])cc1Cl,,CCC(C(=O)N(C)c1ccc([N+](=O)[O-])cc1Cl)N1CCN(C)CC1C,,0.589885569396193,3.5072347415634537,True,False,False,CCC(C(=O)N(C)c1ccc([N+](=O)[O-])cc1Cl)N1CCN(C)CC1C,CCC(C(=O)N(C)c1ccc([N+](=O)[O-])cc1Cl)N1CCN(C)CC1C,,0.589885569396193,3.5072347415634537,True,False,False,False,False
9,CN1CCN7CC1.c17[nH]c2cc3c(c2c15CN6CCCC3.c16ccccc1.c15ccccc1,CN1CCN7CC1.c17[nH]c2cc3c(c2c15CN6CCCC3.c16ccccc1.c15ccccc1,,,decode_returned_none,,,False,,False,CN1CCNCC1.c1ccccc1.c1ccccc1,CN1CCNCC1,,0.4421447248956267,2.333088971139464,True,False,False,True,True
