sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CCC5.O56.C6C(C)C(CC)c1noc4n1.C4C1COc2ccccc21,CCC5.O56.C6C(C)C(CC)c1noc4n1.C4C1COc2ccccc21,,CCCOCC(C)C(CC)c1noc(CC2COc3ccccc32)n1,,0.6332218121015274,3.857645839553821,True,True,True,CCCOCC(C)C(CC)c1noc(CC2COc3ccccc32)n1,CCCOCC(C)C(CC)c1noc(CC2COc3ccccc32)n1,,0.6332218121015274,3.857645839553821,True,True,True,False,False
1,C6.c16cc5c(/C=N/C=N/C4=O)c1.n15cnc(N=C(O)c2cscn1.c14ccc(Cl)cc1,C6.c16cc5c(/C=N/C=N/C4=O)c1.n15cnc(N=C(O)c2cscn1.c14ccc(Cl)cc1,,,decode_returned_none,,,False,,False,C.Clc1ccccc1,Clc1ccccc1,,0.4833833263681997,1.0,True,False,False,True,True
2,Cc1cc3ccc15.C63.N16CCOCC1.c15cn4nc1N.C14CC1,Cc1cc3ccc15.C63.N16CCOCC1.c15cn4nc1N.C14CC1,,Cc1cc(CN2CCOCC2)ccc1-c1cn(C2CC2)nc1N,,0.9426523363003498,2.471858654092715,True,True,True,Cc1cc(CN2CCOCC2)ccc1-c1cn(C2CC2)nc1N,Cc1cc(CN2CCOCC2)ccc1-c1cn(C2CC2)nc1N,,0.9426523363003498,2.471858654092715,True,True,True,False,False
3,CCC3.N32.C27.c17ccc6nc1.N56C.C5C4.C4(C)(C)C,CCC3.N32.C27.c17ccc6nc1.N56C.C5C4.C4(C)(C)C,,CCCNCc1ccc(N(C)CCC(C)(C)C)nc1,,0.7636971057010257,2.3571489435245176,True,True,True,CCCNCc1ccc(N(C)CCC(C)(C)C)nc1,CCCNCc1ccc(N(C)CCC(C)(C)C)nc1,,0.7636971057010257,2.3571489435245176,True,True,True,False,False
4,CC4.O24.C25=O.c15ccccc13.N63.C6(C)C(C)CC,CC4.O24.C25=O.c15ccccc13.N63.C6(C)C(C)CC,,CCOC(=O)c1ccccc1NC(C)C(C)CC,,0.7809877415992492,2.6103478383353096,True,True,True,CCOC(=O)c1ccccc1NC(C)C(C)CC,CCOC(=O)c1ccccc1NC(C)C(C)CC,,0.7809877415992492,2.6103478383353096,True,True,True,False,False
5,CC5.N56.C64.[C@@H]14CC[C@H]3CC2.C2CN=C(O)c1ccccc1.C3(=O)O,CC5.N56.C64.[C@@H]14CC[C@H]3CC2.C2CN=C(O)c1ccccc1.C3(=O)O,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
6,CCC5C4.N5C(O)=NCC8.O87.C7C6.c16c[nH]c2ccccc2c1=O.c14cccc9c1.c19ccccc1,CCC5C4.N5C(O)=NCC8.O87.C7C6.c16c[nH]c2ccccc2c1=O.c14cccc9c1.c19ccccc1,,CCC(Cc1cccc(-c2ccccc2)c1)NC(O)=NCCOCCc1c[nH]c2ccccc2c1=O,,0.15391193398713285,3.1834975430200245,True,False,False,CCC(Cc1cccc(-c2ccccc2)c1)NC(O)=NCCOCCc1c[nH]c2ccccc2c1=O,CCC(Cc1cccc(-c2ccccc2)c1)NC(O)=NCCOCCc1c[nH]c2ccccc2c1=O,,0.15391193398713285,3.1834975430200245,True,False,False,False,False
7,CO4.C4C5.c15nnc7s1.c17ccc6s1.C63=O.c13ccccc1,CO4.C4C5.c15nnc7s1.c17ccc6s1.C63=O.c13ccccc1,,COCCc1nnc(-c2ccc(C(=O)c3ccccc3)s2)s1,,0.6469374182153889,2.3421139821867563,True,True,True,COCCc1nnc(-c2ccc(C(=O)c3ccccc3)s2)s1,COCCc1nnc(-c2ccc(C(=O)c3ccccc3)s2)s1,,0.6469374182153889,2.3421139821867563,True,True,True,False,False
8,C=C4CCCc2ccccc21.N43C.C3C(O)=NC1CCCS(=O)(=O)C1,C=C4CCCc2ccccc21.N43C.C3C(O)=NC1CCCS(=O)(=O)C1,,,decode_returned_none,,,False,,False,C=C1CCCc2ccccc2C(CCCS(C)(=O)=O)N=C(O)CN1C,C=C1CCCc2ccccc2C(CCCS(C)(=O)=O)N=C(O)CN1C,,0.889904677562812,4.115577110456831,True,False,False,True,False
9,COC(O)=Nc1cccc8c1.S78.C74=O.N46.C63.O35.c15cc(F)cc(F)c1,COC(O)=Nc1cccc8c1.S78.C74=O.N46.C63.O35.c15cc(F)cc(F)c1,,COC(O)=Nc1cccc(SC(=O)NCOc2cc(F)cc(F)c2)c1,,0.3609452752722708,3.135256730682137,True,False,False,COC(O)=Nc1cccc(SC(=O)NCOc2cc(F)cc(F)c2)c1,COC(O)=Nc1cccc(SC(=O)NCOc2cc(F)cc(F)c2)c1,,0.3609452752722708,3.135256730682137,True,False,False,False,False
