sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CC2.O24.C14CCC(C)(C)N13.c13cc(N=C(O)CC#N)[nH]n1,CC2.O24.C14CCC(C)(C)N13.c13cc(N=C(O)CC#N)[nH]n1,,CCOC1CCC(C)(C)N1c1cc(N=C(O)CC#N)[nH]n1,,0.6416977025640497,4.523027593208292,True,False,False,CCOC1CCC(C)(C)N1c1cc(N=C(O)CC#N)[nH]n1,CCOC1CCC(C)(C)N1c1cc(N=C(O)CC#N)[nH]n1,,0.6416977025640497,4.523027593208292,True,False,False,False,False
1,CN=C(N5N6.N37.C5(=O)C3=O.c17nc2c(s1)CCCCCC2.C6C4.c14ccc(Cl)cc1,CN=C(N5N6.N37.C5(=O)C3=O.c17nc2c(s1)CCCCCC2.C6C4.c14ccc(Cl)cc1,,,decode_returned_none,,,False,,False,CCc1ccc(Cl)cc1.O=CC(=O)Nc1nc2c(s1)CCCCCC2,O=CC(=O)Nc1nc2c(s1)CCCCCC2,,0.6324375906972555,2.4548153649804387,True,True,True,True,True
2,Cc1cc5ccc13.C45.N14CCOCC1=O.c13ccc(Cl)c(Cl)c1,Cc1cc5ccc13.C45.N14CCOCC1=O.c13ccc(Cl)c(Cl)c1,,Cc1cc(CN2CCOCC2=O)ccc1-c1ccc(Cl)c(Cl)c1,,0.8247896188878296,2.177561074748981,True,True,True,Cc1cc(CN2CCOCC2=O)ccc1-c1ccc(Cl)c(Cl)c1,Cc1cc(CN2CCOCC2=O)ccc1-c1ccc(Cl)c(Cl)c1,,0.8247896188878296,2.177561074748981,True,True,True,False,False
3,CCC3.N32.C27.c17cnc6n14.N56C.C5CC.C4(C)(C)C,CCC3.N32.C27.c17cnc6n14.N56C.C5CC.C4(C)(C)C,,CCCNCc1cnc(N(C)CCC)n1C(C)(C)C,,0.7702462908738736,2.9256245091353765,True,True,True,CCCNCc1cnc(N(C)CCC)n1C(C)(C)C,CCCNCc1cnc(N(C)CCC)n1C(C)(C)C,,0.7702462908738736,2.9256245091353765,True,True,True,False,False
4,CC3.O23.C26=O.c16ccc5cc1.O45.C4(C)C(=O)O,CC3.O23.C26=O.c16ccc5cc1.O45.C4(C)C(=O)O,,CCOC(=O)c1ccc(OC(C)C(=O)O)cc1,,0.7904352845871289,2.055305773161253,True,True,True,CCOC(=O)c1ccc(OC(C)C(=O)O)cc1,CCOC(=O)c1ccc(OC(C)C(=O)O)cc1,,0.7904352845871289,2.055305773161253,True,True,True,False,False
5,CCN6.C6(C5CN=C(O)C1CCCN1.O53.c13ccc7cc14.C7C.O4C,CCN6.C6(C5CN=C(O)C1CCCN1.O53.c13ccc7cc14.C7C.O4C,,,decode_returned_none,,,False,,False,CCN.CCc1ccc(O)c(OC)c1,CCc1ccc(O)c(OC)c1,,0.7015523595771087,1.5524987978356926,True,True,True,True,True
6,CCCC6.N16C(=O)N(C7C1=O.N17C(=O)N4c2ccccc2C1=O.c14ccccc15.c15ccccc1,CCCC6.N16C(=O)N(C7C1=O.N17C(=O)N4c2ccccc2C1=O.c14ccccc15.c15ccccc1,,,decode_returned_none,,,False,,False,CCCC.O=c1[nH]c(=O)n(-c2ccccc2-c2ccccc2)c2ccccc12,O=c1[nH]c(=O)n(-c2ccccc2-c2ccccc2)c2ccccc12,,0.6167224644958001,1.8838719248691387,True,True,True,True,True
7,CC4.O45.c15cccc2c1CCC[C@@H]6N2.c16cccc2cc(C)ccc12,CC4.O45.c15cccc2c1CCC[C@@H]6N2.c16cccc2cc(C)ccc12,,CCOc1cccc2c1CCC[C@@H](c1cccc3cc(C)ccc13)N2,,0.6318270433566515,2.732400250193999,True,True,True,CCOc1cccc2c1CCC[C@@H](c1cccc3cc(C)ccc13)N2,CCOc1cccc2c1CCC[C@@H](c1cccc3cc(C)ccc13)N2,,0.6318270433566515,2.732400250193999,True,True,True,False,False
8,C=C.C=4c3ccc5cccC3O5C3C=4c1cnc2n1CCS(=O)(=O)C2,C=C.C=4c3ccc5cccC3O5C3C=4c1cnc2n1CCS(=O)(=O)C2,,,decode_returned_none,,,False,,False,C=C,C=C,,0.34449676855385364,4.08999868818016,True,False,False,True,False
9,CCC(O)[C@H]NN=C(O)[C@@H]35.N432C4(=O)O.c12ccc(Cl)cc1.c15ccc(F)cc1,CCC(O)[C@H]NN=C(O)[C@@H]35.N432C4(=O)O.c12ccc(Cl)cc1.c15ccc(F)cc1,,,decode_returned_none,,,False,,False,CCC(O)[CH]NN=C(O)Cc1ccc(F)cc1.Clc1ccccc1,CCC(O)[CH]NN=C(O)Cc1ccc(F)cc1,,0.40243460448878404,3.4669748900757913,True,False,False,True,True
