sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CCCCC7.O74.c14ccccc1N=C(O)[C@@H]5N=C(O)C2.C65=O.N62.c13ccccc1.c15ccccc1,CCCCC7.O74.c14ccccc1N=C(O)[C@@H]5N=C(O)C2.C65=O.N62.c13ccccc1.c15ccccc1,,,decode_returned_none,,,False,,False,CCCCCOc1ccccc1N=C(O)[C@@H]1N=C(O)CNC1=O.c1ccccc1.c1ccccc1,CCCCCOc1ccccc1N=C(O)[C@@H]1N=C(O)CNC1=O,,0.407338632538547,3.5537164533606482,True,False,False,True,True
1,CC1(C)CC4CCCN15.C4O.C52=O.c12ccccc1.C3(=O)O,CC1(C)CC4CCCN15.C4O.C52=O.c12ccccc1.C3(=O)O,,,decode_returned_none,,,False,,False,CC1(C)CC(CO)CCCN1C(=O)c1ccccc1.O=CO,CC1(C)CC(CO)CCCN1C(=O)c1ccccc1,,0.8889049665093862,2.6929949752566475,True,True,True,True,True
2,CC4(C)CO.c14ccc2c(cc7cc2cc6nc2cccnc12.c16ccccc1.O75.c15cc(Cl)ccn1,CC4(C)CO.c14ccc2c(cc7cc2cc6nc2cccnc12.c16ccccc1.O75.c15cc(Cl)ccn1,,,decode_returned_none,,,False,,False,CC(C)CO.Oc1cc(Cl)ccn1.c1ccccc1,Oc1cc(Cl)ccn1,,0.5751643100951854,2.6278572813638696,True,False,False,True,True
3,CO7.c17cccc6c1.C6S(=O)(=O)c1ccc5oc2ccccc2c1.c15ccccc14.c14cccc(C)c1,CO7.c17cccc6c1.C6S(=O)(=O)c1ccc5oc2ccccc2c1.c15ccccc14.c14cccc(C)c1,,,decode_returned_none,,,False,,False,COc1ccccc1.Cc1cccc(-c2ccccc2)c1,Cc1cccc(-c2ccccc2)c1,,0.6092016568043108,1.1592551346242104,True,True,True,True,True
4,CC5.N524.C2C6.C16CCCCC1.C14CCCC13.C13CC1,CC5.N524.C2C6.C16CCCCC1.C14CCCC13.C13CC1,,CCN(CCC1CCCCC1)C1CCCC1C1CC1,,0.6614169149061275,3.2315994920174758,True,True,True,CCN(CCC1CCCCC1)C1CCCC1C1CC1,CCN(CCC1CCCCC1)C1CCCC1C1CC1,,0.6614169149061275,3.2315994920174758,True,True,True,False,False
5,OC(=NC1CCOCC15c15ccc2cc4ccc2c1.c14ccccc1,OC(=NC1CCOCC15c15ccc2cc4ccc2c1.c14ccccc1,,,decode_returned_none,,,False,,False,c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,False
6,CC7.O67.O45.C64=O.C15(C(O)=Nc2cccc2S(C)(=O)=O)Cc2ccccc21,CC7.O67.O45.C64=O.C15(C(O)=Nc2cccc2S(C)(=O)=O)Cc2ccccc21,,,decode_returned_none,,,False,,False,CCOC(=O)O,CCOC(=O)O,,0.48188683745544014,2.1829367021323147,True,False,False,True,False
7,CC(C)C6=O.N64.c14ccc(S(=O)c2ccc5nc2)cc1.N15CCCCCCC1,CC(C)C6=O.N64.c14ccc(S(=O)c2ccc5nc2)cc1.N15CCCCCCC1,,CC(C)C(=O)Nc1ccc([S+]([O-])c2ccc(N3CCCCCCC3)nc2)cc1,,0.7454490316481424,3.2738604232743294,True,True,True,CC(C)C(=O)Nc1ccc([S+]([O-])c2ccc(N3CCCCCCC3)nc2)cc1,CC(C)C(=O)Nc1ccc([S+]([O-])c2ccc(N3CCCCCCC3)nc2)cc1,,0.7454490316481424,3.2738604232743294,True,True,True,False,False
8,CCCCC3.c13cccc4c1.N14CC(S5(=O)=O)CC1.c15ccc(C)o1,CCCCC3.c13cccc4c1.N14CC(S5(=O)=O)CC1.c15ccc(C)o1,,CCCCCc1cccc(N2CCC(S(=O)(=O)c3ccc(C)o3)C2)c1,,0.6871143026291454,2.9700767339649072,True,True,True,CCCCCc1cccc(N2CCC(S(=O)(=O)c3ccc(C)o3)C2)c1,CCCCCc1cccc(N2CCC(S(=O)(=O)c3ccc(C)o3)C2)c1,,0.6871143026291454,2.9700767339649072,True,True,True,False,False
9,CC1=C#CC=CN3C(=O)CC1O.c13ccc4cc1.N14CCCCCC1,CC1=C#CC=CN3C(=O)CC1O.c13ccc4cc1.N14CCCCCC1,,,decode_returned_none,,,False,,False,c1ccc(N2CCCCCC2)cc1,c1ccc(N2CCCCCC2)cc1,,0.6337388273601857,1.3460646020798315,True,True,True,True,False
10,Cc1ccc5cc1.c15cc(C)ccc14.C4N=C(O)c1cc(N=C(O)c2ccccc2c1,Cc1ccc5cc1.c15cc(C)ccc14.C4N=C(O)c1cc(N=C(O)c2ccccc2c1,,,decode_returned_none,,,False,,False,Cc1ccc(-c2cccc(C)c2)cc1,Cc1ccc(-c2cccc(C)c2)cc1,,0.625641454815298,1.256043662615216,True,True,True,True,False
11,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(C)CO,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(C)CO,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(C)CO,,0.0758745857237985,2.7808955166797666,True,False,False,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(C)CO,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(C)CO,,0.0758745857237985,2.7808955166797666,True,False,False,False,False
12,OC3CC3=NC1CC14.c14c[nH]c2ccccc12.c13ccccc1F,OC3CC3=NC1CC14.c14c[nH]c2ccccc12.c13ccccc1F,,,decode_returned_none,,,False,,False,Fc1ccccc1.OC1CC1=NC1CC1c1c[nH]c2ccccc12,OC1CC1=NC1CC1c1c[nH]c2ccccc12,,0.8101398600107445,3.8798711538205612,True,True,True,True,True
13,O=C43.N468.c13ccc7cc1.C18CCCC1.N78.C6CCCCC5=O.c15ccc(Cl)cc1,O=C43.N468.c13ccc7cc1.C18CCCC1.N78.C6CCCCC5=O.c15ccc(Cl)cc1,,,decode_returned_none,,,False,,False,Nc1ccc(C(=O)N(CCCCCC(=O)c2ccc(Cl)cc2)C2CCCC2)cc1,Nc1ccc(C(=O)N(CCCCCC(=O)c2ccc(Cl)cc2)C2CCCC2)cc1,,0.3236901967859305,2.136449351549029,True,False,False,True,False
14,CC6.O64.c14ccc2c(c1)N=C1CC2NCCCC1CN25.c15ccccc1,CC6.O64.c14ccc2c(c1)N=C1CC2NCCCC1CN25.c15ccccc1,,,decode_returned_none,,,False,,False,CCOc1ccc2c(c1)N=C1CC2NCCCC1CNc1ccccc1,CCOc1ccc2c(c1)N=C1CC2NCCCC1CNc1ccccc1,,0.8212701551122616,4.149223613422605,True,False,False,True,False
15,Cc1ccc3cc1C.n13cc4=NC(O)=Nc2ccc(Cl)c2ccccc21.c14ccccc1,Cc1ccc3cc1C.n13cc4=NC(O)=Nc2ccc(Cl)c2ccccc21.c14ccccc1,,,decode_returned_none,,,False,,False,Cc1ccccc1C.c1ccccc1,Cc1ccccc1C,,0.47575768534032103,1.0337432953498862,True,False,False,True,True
16,CC1CN5C12CCN4CC2.C46.C5(=O)C1=CCCCC1.c16ccccc1.O56,CC1CN5C12CCN4CC2.C46.C5(=O)C1=CCCCC1.c16ccccc1.O56,,,decode_returned_none,,,False,,False,CC1CN(C(=O)C2=CCCCC2)C12CCN(Cc1ccccc1)CC2.O,CC1CN(C(=O)C2=CCCCC2)C12CCN(Cc1ccccc1)CC2,,0.8315362913430971,3.632853373800396,True,True,True,True,True
17,CC1CCCN3C1.C3CN=C(O)N1CCN4C1.C42=O.N2(C)C.Cl.Cl,CC1CCCN3C1.C3CN=C(O)N1CCN4C1.C42=O.N2(C)C.Cl.Cl,,CC1CCCN(CCN=C(O)N2CCN(C(=O)N(C)C)C2)C1.Cl.Cl,,0.59482524735565,3.6252699408434426,True,False,False,CC1CCCN(CCN=C(O)N2CCN(C(=O)N(C)C)C2)C1.Cl.Cl,CC1CCCN(CCN=C(O)N2CCN(C(=O)N(C)C)C2)C1,,0.6209611797110735,3.450244586996405,True,True,True,False,True
18,CC(C)C42.C12CCCC1.N43.c13ccc(N=C(C)O)cc1,CC(C)C42.C12CCCC1.N43.c13ccc(N=C(C)O)cc1,,CC(O)=Nc1ccc(NC(C(C)C)C2CCCC2)cc1,,0.5909042609869019,3.126007602574532,True,False,False,CC(O)=Nc1ccc(NC(C(C)C)C2CCCC2)cc1,CC(O)=Nc1ccc(NC(C(C)C)C2CCCC2)cc1,,0.5909042609869019,3.126007602574532,True,False,False,False,False
19,CCN=C(O)c1cc4nc5n1.C65.N16CCN7CC1.C7N=C(O)c1cccc(C)c1C,CCN=C(O)c1cc4nc5n1.C65.N16CCN7CC1.C7N=C(O)c1cccc(C)c1C,,,decode_returned_none,,,False,,False,CCN=C(O)c1ccnc(CN2CCN(CN=C(O)c3cccc(C)c3C)CC2)n1,CCN=C(O)c1ccnc(CN2CCN(CN=C(O)c3cccc(C)c3C)CC2)n1,,0.5376674875576705,3.161716747670317,True,False,False,True,False
20,CC7.O73.c13ccc5cc1.C5(=O)CN=C(O)C4.O46.c16ccccc1,CC7.O73.c13ccc5cc1.C5(=O)CN=C(O)C4.O46.c16ccccc1,,CCOc1ccc(C(=O)CN=C(O)COc2ccccc2)cc1,,0.46107817579467714,2.1789642484983105,True,False,False,CCOc1ccc(C(=O)CN=C(O)COc2ccccc2)cc1,CCOc1ccc(C(=O)CN=C(O)COc2ccccc2)cc1,,0.46107817579467714,2.1789642484983105,True,False,False,False,False
21,CC7=Nc1cccc5c1.C15CCN3CC1.C36=O.N64.c14ccccc18.O8C.O7C,CC7=Nc1cccc5c1.C15CCN3CC1.C36=O.N64.c14ccccc18.O8C.O7C,,COC(C)=Nc1cccc(C2CCN(C(=O)Nc3ccccc3OC)CC2)c1,,0.610950170464697,2.468505813893433,True,True,True,COC(C)=Nc1cccc(C2CCN(C(=O)Nc3ccccc3OC)CC2)c1,COC(C)=Nc1cccc(C2CCN(C(=O)Nc3ccccc3OC)CC2)c1,,0.610950170464697,2.468505813893433,True,True,True,False,False
22,CO4.c14ccc(Cl)c5c1C(=N)O.O53.c13ccc(C)cc1,CO4.c14ccc(Cl)c5c1C(=N)O.O53.c13ccc(C)cc1,,COc1ccc(Cl)c(Oc2ccc(C)cc2)c1C(=N)O,,0.650697088033972,2.246560830356474,True,True,True,COc1ccc(Cl)c(Oc2ccc(C)cc2)c1C(=N)O,COc1ccc(Cl)c(Oc2ccc(C)cc2)c1C(=N)O,,0.650697088033972,2.246560830356474,True,True,True,False,False
23,CO7.C72=O.C123CCCC1=O.C63.n16c5nnc18.N54C.C4C#C.C8=O.N8(C)C,CO7.C72=O.C123CCCC1=O.C63.n16c5nnc18.N54C.C4C#C.C8=O.N8(C)C,,,decode_returned_none,,,False,,False,C#CCN(C)c1nnc(C=O)n1CC1(C(=O)OC)CCCC1=O.CNC,C#CCN(C)c1nnc(C=O)n1CC1(C(=O)OC)CCCC1=O,,0.3169678941076051,4.202565920816269,True,False,False,True,True
24,CC4.N432.c12ccc(F)c(Br)c1.C35.c15ccc(Cl)s1,CC4.N432.c12ccc(F)c(Br)c1.C35.c15ccc(Cl)s1,,CCN(Cc1ccc(Cl)s1)c1ccc(F)c(Br)c1,,0.7216020268415052,2.3512274259919135,True,True,True,CCN(Cc1ccc(Cl)s1)c1ccc(F)c(Br)c1,CCN(Cc1ccc(Cl)s1)c1ccc(F)c(Br)c1,,0.7216020268415052,2.3512274259919135,True,True,True,False,False
25,CS(=O)c1ccc3cc1.C3(O)=NCC5.N15CCn2c4nnc2C1.C4(F)(F)F,CS(=O)c1ccc3cc1.C3(O)=NCC5.N15CCn2c4nnc2C1.C4(F)(F)F,,C[S+]([O-])c1ccc(C(O)=NCCN2CCn3c(nnc3C(F)(F)F)C2)cc1,,0.4692835400708574,3.8777151866035346,True,False,False,C[S+]([O-])c1ccc(C(O)=NCCN2CCn3c(nnc3C(F)(F)F)C2)cc1,C[S+]([O-])c1ccc(C(O)=NCCN2CCn3c(nnc3C(F)(F)F)C2)cc1,,0.4692835400708574,3.8777151866035346,True,False,False,False,False
