sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CC8C.C18CCC1N=C(O)C7.N17CCC4CC1.C54=O.N56.c16ccc(Cl)cc1,CC8C.C18CCC1N=C(O)C7.N17CCC4CC1.C54=O.N56.c16ccc(Cl)cc1,,CC(C)C1CCC1N=C(O)CN1CCC(C(=O)Nc2ccc(Cl)cc2)CC1,,0.5581999890918403,3.295004581733263,True,False,False,CC(C)C1CCC1N=C(O)CN1CCC(C(=O)Nc2ccc(Cl)cc2)CC1,CC(C)C1CCC1N=C(O)CN1CCC(C(=O)Nc2ccc(Cl)cc2)CC1,,0.5581999890918403,3.295004581733263,True,False,False,False,False
1,CO6.C6C7.O73.c13cc(O)c(O)cc1C.C4CCC(=O)CC5.c15ccco1,CO6.C6C7.O73.c13cc(O)c(O)cc1C.C4CCC(=O)CC5.c15ccco1,,,decode_returned_none,,,False,,False,CCCC(=O)CCc1ccco1.COCCOc1cc(O)c(O)cc1C,COCCOc1cc(O)c(O)cc1C,,0.5672764236410743,2.020685848850034,True,False,False,True,True
2,CO5.c15ccc3cc1O.[C@H]13COCCN14.C4C(O)=NC1CC1CC1,CO5.c15ccc3cc1O.[C@H]13COCCN14.C4C(O)=NC1CC1CC1,,,decode_returned_none,,,False,,False,CCC1CC1N=C(O)CN1CCOC[C@@H]1c1ccc(OC)c(O)c1,CCC1CC1N=C(O)CN1CCOC[C@@H]1c1ccc(OC)c(O)c1,,0.6175886502892275,4.025167678860409,True,False,False,True,False
3,Cc1c3nncc16.C3C.C52.O54.C4(C)(C)C.C6(F)(F)F,Cc1c3nncc16.C3C.C52.O54.C4(C)(C)C.C6(F)(F)F,,,decode_returned_none,,,False,,False,CCc1nncc(C(F)(F)F)c1C.COC(C)(C)C,CCc1nncc(C(F)(F)F)c1C,,0.6789112647028728,2.8552583020450246,True,True,True,True,True
4,O=C98.N973.c16ccccc1.C36.c18ccc4cc1.c15cnco1.c14nccc1.Brc1cccnc1Cl,O=C98.N973.c16ccccc1.C36.c18ccc4cc1.c15cnco1.c14nccc1.Brc1cccnc1Cl,,,decode_returned_none,,,False,,False,Clc1ncccc1Br.O=C(NCc1ccccc1)c1ccccc1.c1cocn1,O=C(NCc1ccccc1)c1ccccc1,,0.8303445311416687,1.1418574769849918,True,True,True,True,True
5,CO6.c16cc5ccc1F.C45.C74.N73.c13cc(NC#N)c2c1[nH]c1ccccc12,CO6.c16cc5ccc1F.C45.C74.N73.c13cc(NC#N)c2c1[nH]c1ccccc12,,,decode_returned_none,,,False,,False,COc1cc(CCN)ccc1F,COc1cc(CCN)ccc1F,,0.7405502114755662,1.7471191837854594,True,True,True,True,False
6,CO3.c13cc6n(C)n1.C56=O.N54.C47.c17ccccc1,CO3.c13cc6n(C)n1.C56=O.N54.C47.c17ccccc1,,COc1cc(C(=O)NCc2ccccc2)n(C)n1,,0.8844450334566087,1.9671068287068465,True,True,True,COc1cc(C(=O)NCc2ccccc2)n(C)n1,COc1cc(C(=O)NCc2ccccc2)n(C)n1,,0.8844450334566087,1.9671068287068465,True,True,True,False,False
7,CO8.c18cc5cc(Cl)c19.N15CCN6CC1.C15CC1.C67=O.C17CC1,CO8.c18cc5cc(Cl)c19.N15CCN6CC1.C15CC1.C67=O.C17CC1,,,decode_returned_none,,,False,,False,C1CC1.COc1cc(Cl)cc(N2CCN(C(=O)C3CC3)CC2)c1,COc1cc(Cl)cc(N2CCN(C(=O)C3CC3)CC2)c1,,0.858115243355614,1.9249803558309964,True,True,True,True,True
8,CC4.c14ccc2ccc7cc12.C57=O.N56C.C63.c13ccc(F)c(Cl)c1,CC4.c14ccc2ccc7cc12.C57=O.N56C.C63.c13ccc(F)c(Cl)c1,,,decode_returned_none,,,False,,False,CC.CN(C=O)Cc1ccc(F)c(Cl)c1,CN(C=O)Cc1ccc(F)c(Cl)c1,,0.6860162357405579,2.3382313983604757,True,True,True,True,True
9,O=CC1CCc2cc4ccc21.O64.C6C(O)=NN1CCC5C1.c15cccc(Cl)c1,O=CC1CCc2cc4ccc21.O64.C6C(O)=NN1CCC5C1.c15cccc(Cl)c1,,O=CC1CCc2cc(OCC(O)=NN3CCC(c4cccc(Cl)c4)C3)ccc21,,0.44717846055398175,3.805026717864246,True,False,False,O=CC1CCc2cc(OCC(O)=NN3CCC(c4cccc(Cl)c4)C3)ccc21,O=CC1CCc2cc(OCC(O)=NN3CCC(c4cccc(Cl)c4)C3)ccc21,,0.44717846055398175,3.805026717864246,True,False,False,False,False
