sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CN8C.C86C7.c16ccccc1.N17CCN5CC1.c15ccc9cc1.c19cccnc1=N,CN8C.C86C7.c16ccccc1.N17CCN5CC1.c15ccc9cc1.c19cccnc1=N,,,decode_returned_none,,,False,,False,CN(C)C(CN1CCN(c2ccccc2)CC1)c1ccccc1,CN(C)C(CN1CCN(c2ccccc2)CC1)c1ccccc1,,0.84009288937704,2.2839776314936504,True,True,True,True,False
1,CO6.C6C2.c12cc(C)c(O)c(O)cc14.N4C=C(O)CCC3.c13ccco1,CO6.C6C2.c12cc(C)c(O)c(O)cc14.N4C=C(O)CCC3.c13ccco1,,,decode_returned_none,,,False,,False,CCOC.NC=C(O)CCCc1ccco1,NC=C(O)CCCc1ccco1,,0.673711091421181,2.868236584032271,True,True,True,True,True
2,CO5.c15ccc2c3c1.N12CCCCC14.C4C(O)=NCCCC.C3N,CO5.c15ccc2c3c1.N12CCCCC14.C4C(O)=NCCCC.C3N,,CCCCN=C(O)CC1CCCCN1c1ccc(OC)cc1CN,,0.43256000783857756,3.113529992556436,True,False,False,CCCCN=C(O)CC1CCCCN1c1ccc(OC)cc1CN,CCCCN=C(O)CC1CCCCN1c1ccc(OC)cc1CN,,0.43256000783857756,3.113529992556436,True,False,False,False,False
3,CC1CCN3CC1.C3CN=C4O.c14ccc(Cl)cc15.C5(F)(F)F,CC1CCN3CC1.C3CN=C4O.c14ccc(Cl)cc15.C5(F)(F)F,,CC1CCN(CCN=C(O)c2ccc(Cl)cc2C(F)(F)F)CC1,,0.6465273763027544,2.5219793334133946,True,True,True,CC1CCN(CCN=C(O)c2ccc(Cl)cc2C(F)(F)F)CC1,CC1CCN(CCN=C(O)c2ccc(Cl)cc2C(F)(F)F)CC1,,0.6465273763027544,2.5219793334133946,True,True,True,False,False
4,O=C86.N873.c17cccc(F)c1F.c13ccc4cc1.N15CCCC1=O.C14CC1.c16ccc5cc1,O=C86.N873.c17cccc(F)c1F.c13ccc4cc1.N15CCCC1=O.C14CC1.c16ccc5cc1,,O=C1CCCN1c1ccc(C(=O)N(c2ccc(C3CC3)cc2)c2cccc(F)c2F)cc1,,0.5000880320683927,2.4254263239682103,True,False,False,O=C1CCCN1c1ccc(C(=O)N(c2ccc(C3CC3)cc2)c2cccc(F)c2F)cc1,O=C1CCCN1c1ccc(C(=O)N(c2ccc(C3CC3)cc2)c2cccc(F)c2F)cc1,,0.5000880320683927,2.4254263239682103,True,False,False,False,False
5,CC5=O)C1=Nc2ccccc2C(CC(O)=NC4C.O53.C34.Cl4C1Nc1ccccc1Cl,CC5=O)C1=Nc2ccccc2C(CC(O)=NC4C.O53.C34.Cl4C1Nc1ccccc1Cl,,,decode_returned_none,,,False,,False,CO,CO,,0.38528440447384316,2.701044842026315,True,False,False,True,False
6,CO7.c17cc6n(C)n1.C56=O.N54.C43.c13ccccc1,CO7.c17cc6n(C)n1.C56=O.N54.C43.c13ccccc1,,COc1cc(C(=O)NCc2ccccc2)n(C)n1,,0.8844450334566087,1.9671068287068465,True,True,True,COc1cc(C(=O)NCc2ccccc2)n(C)n1,COc1cc(C(=O)NCc2ccccc2)n(C)n1,,0.8844450334566087,1.9671068287068465,True,True,True,False,False
7,CCC7.C=5c1ccc5cc1Cl.N17CCN6CC1.C64.C14CCC(O)C(C)O1,CCC7.C=5c1ccc5cc1Cl.N17CCN6CC1.C64.C14CCC(O)C(C)O1,,,decode_returned_none,,,False,,False,CCCN1CCN(CC2CCC(O)C(C)O2)CC1,CCCN1CCN(CC2CCC(O)C(C)O2)CC1,,0.8120208195912832,3.2741690791428484,True,True,True,True,False
8,CC3.c13cc7cc(C)cc1O.C57=O.N56C.C64.c14c(C)cccc1C=O,CC3.c13cc7cc(C)cc1O.C57=O.N56C.C64.c14c(C)cccc1C=O,,,decode_returned_none,,,False,,False,CC.Cc1cccc(C=O)c1CN(C)C=O,Cc1cccc(C=O)c1CN(C)C=O,,0.6743910962166051,2.788666415651651,True,True,True,True,True
9,Cc1cc7nc2nn8cc2n1.O47.C46.C16CCCC1.C85.c15cccc(Cl)c1,Cc1cc7nc2nn8cc2n1.O47.C46.C16CCCC1.C85.c15cccc(Cl)c1,,,decode_returned_none,,,False,,False,Cc1cccc(Cl)c1.OCC1CCCC1,Cc1cccc(Cl)c1,,0.5015016660067645,1.3168153233219115,True,False,False,True,True
10,CC(=C(O)C(C)C2C3(C)C.c12ccccc1.c13ccccc1,CC(=C(O)C(C)C2C3(C)C.c12ccccc1.c13ccccc1,,,decode_returned_none,,,False,,False,c1ccccc1.c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
11,CC(=O)N1CC2(CCN=C(O)C(C)CC2)OC4(C)C21.O43.C3C(=O)O,CC(=O)N1CC2(CCN=C(O)C(C)CC2)OC4(C)C21.O43.C3C(=O)O,,,decode_returned_none,,,False,,False,CC(=O)N1CC2(CCN=C(O)C(C)CC2)OC(C)(OCC(=O)O)C1,CC(=O)N1CC2(CCN=C(O)C(C)CC2)OC(C)(OCC(=O)O)C1,,0.7975394593213154,5.003477164677088,True,False,False,True,False
12,CC4(C)C.C9(=O)C(N)C3.O94.C6CC7.O76.c13n[nH]c5n1.C58.c18ccccc1,CC4(C)C.C9(=O)C(N)C3.O94.C6CC7.O76.c13n[nH]c5n1.C58.c18ccccc1,,C1COC1.CC(C)(C)OC(=O)C(N)Cc1n[nH]c(Cc2ccccc2)n1,,0.7908120124280853,2.9587332197236798,True,True,True,C1COC1.CC(C)(C)OC(=O)C(N)Cc1n[nH]c(Cc2ccccc2)n1,CC(C)(C)OC(=O)C(N)Cc1n[nH]c(Cc2ccccc2)n1,,0.8183006890304835,2.9072846878791303,True,True,True,False,True
13,Cc1onc(C)c14.C24CC(=O)O.c12ccc(F)c3c1.C3(F)(F)F,Cc1onc(C)c14.C24CC(=O)O.c12ccc(F)c3c1.C3(F)(F)F,,Cc1noc(C)c1C(CC(=O)O)c1ccc(F)c(C(F)(F)F)c1,,0.8584484765621255,3.0365966900470394,True,True,True,Cc1noc(C)c1C(CC(=O)O)c1ccc(F)c(C(F)(F)F)c1,Cc1noc(C)c1C(CC(=O)O)c1ccc(F)c(C(F)(F)F)c1,,0.8584484765621255,3.0365966900470394,True,True,True,False,False
