attempt_id,config_id,arm_id,seed,status,requested_samples,raw_row_count,released_comparable_validity,released_comparable_uniqueness,released_comparable_quality,released_comparable_diversity,strict_validity,strict_uniqueness,strict_quality,strict_diversity,generation_seconds,checkpoint_sha256,source_revision,gpu_uuid,raw_sha256,failure_reason
v5-e-t050-p100,e_t050_p100,E,1200,completed,64,64,0.96875,1.0,0.5,0.8960409719198358,0.46875,1.0,0.265625,0.8799714981499185,9.71068238792941,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,575549aadb838cc83426a13fe3bc3233922f0f4b8ca79a618a6ba630e6e9f414,
v5-e-t050-p100,e_t050_p100,E,1201,completed,64,64,0.984375,1.0,0.40625,0.8882505035911082,0.484375,1.0,0.1875,0.876963381362132,9.172096010996029,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,8894501102bb1dc32ae64feec0d3e932dd7a24a364ae4ca6dc74d76db8e7febb,
v5-e-t070-p100,e_t070_p100,E,1200,completed,64,64,0.984375,0.9841269841269841,0.53125,0.8973647870368203,0.484375,1.0,0.28125,0.8825764696304754,9.548422217951156,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,a0832e0b5489c32d25e9732b24e9160b32c48c485b39406f45d3a54c0ecc7cf8,
v5-e-t070-p100,e_t070_p100,E,1201,completed,64,64,0.984375,1.0,0.375,0.9013377806931873,0.328125,1.0,0.140625,0.8609847761578796,9.091602398024406,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,ab42728b2bea5adc25950a81f569a3df5c94b8f6a1ebdc8f585edd4631df541d,
v5-e-t085-p100,e_t085_p100,E,1200,completed,64,64,0.953125,0.9836065573770492,0.375,0.90758298714631,0.296875,1.0,0.109375,0.8904608015162127,9.581148210039828,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,06f0d2cfcf3215f70541d7c88c00cec89579b47d0975a8e99efdf35566240a8d,
v5-e-t085-p100,e_t085_p100,E,1201,completed,64,64,0.9375,0.95,0.421875,0.8999217572660136,0.34375,1.0,0.15625,0.8762032448140922,9.243114696000703,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,327e7b74d31709973085a72743b62661abe2663f0969ea8ae44237ee6b1d88de,
v5-e-t100-p100,e_t100_p100,E,1200,completed,64,64,0.90625,0.9827586206896551,0.3125,0.9282331567425302,0.15625,1.0,0.0625,0.8885858211048446,9.457338659034576,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,c5441a763ac9843d4a0865bbb0f33db9e47a9a1c55d2195de1bc29d1bbde9e51,
v5-e-t100-p100,e_t100_p100,E,1201,completed,64,64,0.96875,1.0,0.40625,0.911940783270527,0.203125,1.0,0.125,0.879184522478012,9.697757827001624,dce870e8d63453f73c428b9115f33556f67a21d45788d3112c2777ea82623005,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,dd15322742447031c8d04ef61c37f6e0a98f46f32c57ff4e50a258b32ef20693,
v5-s-t050-p100,s_t050_p100,S,1200,completed,64,64,0.984375,1.0,0.515625,0.8997252110016363,0.59375,1.0,0.296875,0.8806069123398119,9.421526758000255,100f467b94766f2c87cc734398c8590bd14a1c8e0722ce31dbca7b446d986e72,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,67750d50a016eae3431aa95d3ec47a4976e1c6295323bc69777bcefa49d4caf9,
v5-s-t050-p100,s_t050_p100,S,1201,completed,64,64,0.96875,0.9838709677419355,0.3125,0.8936466114518559,0.609375,1.0,0.171875,0.875519270230089,9.149294058035593,100f467b94766f2c87cc734398c8590bd14a1c8e0722ce31dbca7b446d986e72,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,1de893cf2f402a2021f8eb08dd6e9eca5a55e3627ada5dc54b990c1e7fe04af2,
v5-s-t070-p100,s_t070_p100,S,1200,completed,64,64,0.984375,1.0,0.5625,0.8937274049811277,0.421875,1.0,0.21875,0.8611344590244233,9.405708445992786,100f467b94766f2c87cc734398c8590bd14a1c8e0722ce31dbca7b446d986e72,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-134e9a1b-cf80-5c0e-b0c4-048fff8e6d3c,ca74886bf6be3cee9a7a51f43724141fb63bd9ffd26b6ebc5a99c658d6cb8290,
v5-s-t070-p100,s_t070_p100,S,1201,completed,64,64,0.96875,1.0,0.28125,0.9027730506029366,0.4375,1.0,0.203125,0.8671042931918475,9.05473707796773,100f467b94766f2c87cc734398c8590bd14a1c8e0722ce31dbca7b446d986e72,12e13ddf9b1323bbfb60fe289b5dd363ca0c3c05,GPU-2cd1aa5b-616e-e6d3-b54d-49241cc8f959,fc3769c7bcf5071f1b8984559bb86f1abac89b8c07b47828c0770b8d2081b298,
