sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CCN=C(O)C3.c13ccccc14.c14ccccc15.O5C(F)(F)F,CCN=C(O)C3.c13ccccc14.c14ccccc15.O5C(F)(F)F,,CCN=C(O)Cc1ccccc1-c1ccccc1OC(F)(F)F,,0.6358783663786315,2.478814772973834,True,True,True,CCN=C(O)Cc1ccccc1-c1ccccc1OC(F)(F)F,CCN=C(O)Cc1ccccc1-c1ccccc1OC(F)(F)F,,0.6358783663786315,2.478814772973834,True,True,True,False,False
1,O=C86.c16ccc5cc1.N84.N15CCOCC1.C4C7.n19nc2ccc9cc21.c17cccs1,O=C86.c16ccc5cc1.N84.N15CCOCC1.C4C7.n19nc2ccc9cc21.c17cccs1,,,decode_returned_none,,,False,,False,O=C(NCCc1cccs1)c1ccc(N2CCOCC2)cc1,O=C(NCCc1cccs1)c1ccc(N2CCOCC2)cc1,,0.9215936961476088,1.8984847773051001,True,True,True,True,False
2,CC3(C)C.C13CN4CCO1.c14ccc5c2ccccc12.O5C(F)(F)F,CC3(C)C.C13CN4CCO1.c14ccc5c2ccccc12.O5C(F)(F)F,,CC(C)(C)C1CN(c2ccc(OC(F)(F)F)c3ccccc23)CCO1,,0.7591778486326365,2.9322031365274395,True,True,True,CC(C)(C)C1CN(c2ccc(OC(F)(F)F)c3ccccc23)CCO1,CC(C)(C)C1CN(c2ccc(OC(F)(F)F)c3ccccc23)CCO1,,0.7591778486326365,2.9322031365274395,True,True,True,False,False
3,CCCN=C(O)CN=C(O)C6(C)C.C53=O.N16CCN5CC1.N34.c14ccccc1,CCCN=C(O)CN=C(O)C6(C)C.C53=O.N16CCN5CC1.N34.c14ccccc1,,CCCN=C(O)CN=C(O)C(C)(C)N1CCN(C(=O)Nc2ccccc2)CC1,,0.49290515074721675,2.9838720417040836,True,False,False,CCCN=C(O)CN=C(O)C(C)(C)N1CCN(C(=O)Nc2ccccc2)CC1,CCCN=C(O)CN=C(O)C(C)(C)N1CCN(C(=O)Nc2ccccc2)CC1,,0.49290515074721675,2.9838720417040836,True,False,False,False,False
4,CC1CCCCC1N=C(O)N3C(O)=NCCC2.C3C(C)(C)C.n12ccnc1,CC1CCCCC1N=C(O)N3C(O)=NCCC2.C3C(C)(C)C.n12ccnc1,,CC1CCCCC1N=C(O)N(CC(C)(C)C)C(O)=NCCCn1ccnc1,,0.4451281743153321,4.196186776065246,True,False,False,CC1CCCCC1N=C(O)N(CC(C)(C)C)C(O)=NCCCn1ccnc1,CC1CCCCC1N=C(O)N(CC(C)(C)C)C(O)=NCCCn1ccnc1,,0.4451281743153321,4.196186776065246,True,False,False,False,False
5,CC6.N64C.C4C(=O)O.c17cccc3c1.c13ccc5cc1Br.O5C,CC6.N64C.C4C(=O)O.c17cccc3c1.c13ccc5cc1Br.O5C,,,decode_returned_none,,,False,,False,CCN(C)CC(=O)O.COc1ccc(-c2ccccc2)c(Br)c1,COc1ccc(-c2ccccc2)c(Br)c1,,0.7912788869848125,1.5374662136160815,True,True,True,True,True
6,Cc1ccc3cc1.C3(C)(C)C(O)=Nc1ccccc14.C4(C)(C)C,Cc1ccc3cc1.C3(C)(C)C(O)=Nc1ccccc14.C4(C)(C)C,,Cc1ccc(C(C)(C)C(O)=Nc2ccccc2C(C)(C)C)cc1,,0.5588474627966488,2.501524140219491,True,False,False,Cc1ccc(C(C)(C)C(O)=Nc2ccccc2C(C)(C)C)cc1,Cc1ccc(C(C)(C)C(O)=Nc2ccccc2C(C)(C)C)cc1,,0.5588474627966488,2.501524140219491,True,False,False,False,False
7,CO3.c13cc(Cl)ccc14.c14cnc5c(Cl)c1.O65.C6CCC(F)(F)F,CO3.c13cc(Cl)ccc14.c14cnc5c(Cl)c1.O65.C6CCC(F)(F)F,,COc1cc(Cl)ccc1-c1cnc(OCCCC(F)(F)F)c(Cl)c1,,0.595176031639318,2.3581817550389683,True,False,False,COc1cc(Cl)ccc1-c1cnc(OCCCC(F)(F)F)c(Cl)c1,COc1cc(Cl)ccc1-c1cnc(OCCCC(F)(F)F)c(Cl)c1,,0.595176031639318,2.3581817550389683,True,False,False,False,False
8,CS(=O)(=O)c1ccc3c(Cl)c1.C3(=O)N=CCN4O.c14ccc(Cl)cc1,CS(=O)(=O)c1ccc3c(Cl)c1.C3(=O)N=CCN4O.c14ccc(Cl)cc1,,CS(=O)(=O)c1ccc(C(=O)N=CCN(O)c2ccc(Cl)cc2)c(Cl)c1,,0.6122211467990842,2.846963227126869,True,True,True,CS(=O)(=O)c1ccc(C(=O)N=CCN(O)c2ccc(Cl)cc2)c(Cl)c1,CS(=O)(=O)c1ccc(C(=O)N=CCN(O)c2ccc(Cl)cc2)c(Cl)c1,,0.6122211467990842,2.846963227126869,True,True,True,False,False
9,CO7.c17ccc(F)c9c1.C9C4.N14CCCC5C1.N85.C86.c16ccc(Cl)s1.c16ccccc1F,CO7.c17ccc(F)c9c1.C9C4.N14CCCC5C1.N85.C86.c16ccc(Cl)s1.c16ccccc1F,,,decode_returned_none,,,False,,False,COc1ccc(F)c(CCN2CCCC(NCc3ccc(Cl)s3)C2)c1.Fc1ccccc1,COc1ccc(F)c(CCN2CCCC(NCc3ccc(Cl)s3)C2)c1,,0.7701791572148441,2.7442100763267696,True,True,True,True,True
10,CC6C.N762.c12ccccc1N=C(O)C3.c13ccccc1Br.C74=O.c14cccs1,CC6C.N762.c12ccccc1N=C(O)C3.c13ccccc1Br.C74=O.c14cccs1,,CC(C)N(C(=O)c1cccs1)c1ccccc1N=C(O)Cc1ccccc1Br,,0.3442292698975444,2.744574438528291,True,False,False,CC(C)N(C(=O)c1cccs1)c1ccccc1N=C(O)Cc1ccccc1Br,CC(C)N(C(=O)c1cccs1)c1ccccc1N=C(O)Cc1ccccc1Br,,0.3442292698975444,2.744574438528291,True,False,False,False,False
11,CO3.C35.c15ccccc1C(O)=NC14CCC1.c14ccccc1,CO3.C35.c15ccccc1C(O)=NC14CCC1.c14ccccc1,,COCc1ccccc1C(O)=NC1(c2ccccc2)CCC1,,0.662674544292636,2.5957409396043403,True,True,True,COCc1ccccc1C(O)=NC1(c2ccccc2)CCC1,COCc1ccccc1C(O)=NC1(c2ccccc2)CCC1,,0.662674544292636,2.5957409396043403,True,True,True,False,False
12,CC1(C)CC2CC(C)N1.N42.C43=O.c13c(Cl)cccc1Cl,CC1(C)CC2CC(C)N1.N42.C43=O.c13c(Cl)cccc1Cl,,CC1CC(NC(=O)c2c(Cl)cccc2Cl)CC(C)(C)N1,,0.8746317191631076,3.3115862506443037,True,True,True,CC1CC(NC(=O)c2c(Cl)cccc2Cl)CC(C)(C)N1,CC1CC(NC(=O)c2c(Cl)cccc2Cl)CC(C)(C)N1,,0.8746317191631076,3.3115862506443037,True,True,True,False,False
