sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CCCC4.c14onc(O)c13.C23=O.N12CCC(C)C(C)C1,CCCC4.c14onc(O)c13.C23=O.N12CCC(C)C(C)C1,,CCCCc1onc(O)c1C(=O)N1CCC(C)C(C)C1,,0.9205907720975818,3.556494315912369,True,True,True,CCCCc1onc(O)c1C(=O)N1CCC(C)C(C)C1,CCCCc1onc(O)c1C(=O)N1CCC(C)C(C)C1,,0.9205907720975818,3.556494315912369,True,True,True,False,False
1,CO6.c16cc8cc1c1O.C58=O.N54.c14nnc7s1.c17ccco1,CO6.c16cc8cc1c1O.C58=O.N54.c14nnc7s1.c17ccco1,,,decode_returned_none,,,False,,False,CO.O=CNc1nnc(-c2ccco2)s1,O=CNc1nnc(-c2ccco2)s1,,0.7507444121521006,2.675339750008826,True,True,True,True,True
2,N#Cc1cccc4c1.N64.C6(=O)C1=CCC5CC1.c15ccoc1,N#Cc1cccc4c1.N64.C6(=O)C1=CCC5CC1.c15ccoc1,,N#Cc1cccc(NC(=O)C2=CCC(c3ccoc3)CC2)c1,,0.9299425060222992,3.105368495413808,True,True,True,N#Cc1cccc(NC(=O)C2=CCC(c3ccoc3)CC2)c1,N#Cc1cccc(NC(=O)C2=CCC(c3ccoc3)CC2)c1,,0.9299425060222992,3.105368495413808,True,True,True,False,False
3,CN=C(O)N5C.c13cccc4c1.N14CCN(C)CC1.C523.C12CC1,CN=C(O)N5C.c13cccc4c1.N14CCN(C)CC1.C523.C12CC1,,CN=C(O)N(C)C(c1cccc(N2CCN(C)CC2)c1)C1CC1,,0.6839200609620261,3.276926978508576,True,True,True,CN=C(O)N(C)C(c1cccc(N2CCN(C)CC2)c1)C1CC1,CN=C(O)N(C)C(c1cccc(N2CCN(C)CC2)c1)C1CC1,,0.6839200609620261,3.276926978508576,True,True,True,False,False
4,Cc1cc(=N)[nH]c7n1.N17CCCN5CC1.c15ncc6c2ccccc21.C6(F)(F)F,Cc1cc(=N)[nH]c7n1.N17CCCN5CC1.c15ncc6c2ccccc21.C6(F)(F)F,,Cc1cc(=N)[nH]c(N2CCCN(c3ncc(C(F)(F)F)c4ccccc34)CC2)n1,,0.6885374404154536,2.9249904374686917,True,True,True,Cc1cc(=N)[nH]c(N2CCCN(c3ncc(C(F)(F)F)c4ccccc34)CC2)n1,Cc1cc(=N)[nH]c(N2CCCN(c3ncc(C(F)(F)F)c4ccccc34)CC2)n1,,0.6885374404154536,2.9249904374686917,True,True,True,False,False
5,CN32.C3C4=O.N14CCN(C)CCCC(C)CCC1.C2C(C)(C)C,CN32.C3C4=O.N14CCN(C)CCCC(C)CCC1.C2C(C)(C)C,,CC1CCCN(C)CCN(C(=O)CN(C)CC(C)(C)C)CCC1,,0.7980793590106656,3.1474409520333957,True,True,True,CC1CCCN(C)CCN(C(=O)CN(C)CC(C)(C)C)CCC1,CC1CCCN(C)CCN(C(=O)CN(C)CC(C)(C)C)CCC1,,0.7980793590106656,3.1474409520333957,True,True,True,False,False
6,CCCCCCCCC1CC(=O)O.C1CCCCCCCCCCCCCCCCCN=C(O)C(C)(C)C,CCCCCCCCC1CC(=O)O.C1CCCCCCCCCCCCCCCCCN=C(O)C(C)(C)C,,CCCCCCCCC(CCCCCCCCCCCCCCCCCCN=C(O)C(C)(C)C)CC(=O)O,,0.05919087004486769,3.1607698152309096,True,False,False,CCCCCCCCC(CCCCCCCCCCCCCCCCCCN=C(O)C(C)(C)C)CC(=O)O,CCCCCCCCC(CCCCCCCCCCCCCCCCCCN=C(O)C(C)(C)C)CC(=O)O,,0.05919087004486769,3.1607698152309096,True,False,False,False,False
7,Cc1cc5c22c4sc2c1.C3N=C(O)c1ccccc1.C4(C)C.c13ccccc1,Cc1cc5c22c4sc2c1.C3N=C(O)c1ccccc1.C4(C)C.c13ccccc1,,,decode_returned_none,,,False,,False,CCC.OC(=NCc1ccccc1)c1ccccc1,OC(=NCc1ccccc1)c1ccccc1,,0.6133939048958322,1.7646987208475124,True,True,True,True,True
8,CC4.O45.C56.C166CCN3CC1.[C@@H]3(C)C7O.c17ccccc1F,CC4.O45.C56.C166CCN3CC1.[C@@H]3(C)C7O.c17ccccc1F,,,decode_returned_none,,,False,,False,CCC(O)c1ccccc1F.CCOC,CCC(O)c1ccccc1F,,0.6923686815486835,2.2213187918319726,True,True,True,True,True
9,O=C1CC4N=C1O.c14cccc(Cl)c1.C35.c15cccc3c1,O=C1CC4N=C1O.c14cccc(Cl)c1.C35.c15cccc3c1,,O=C1CC(c2cccc(Cl)c2)N=C1O.c1cc2cc(c1)C2,,0.7405919742017865,3.997932574679144,True,True,True,O=C1CC(c2cccc(Cl)c2)N=C1O.c1cc2cc(c1)C2,O=C1CC(c2cccc(Cl)c2)N=C1O,,0.7717830630952688,3.1899540708126803,True,True,True,False,True
10,CC1(C)CC3CC1N=C(O)N5.C5C4.C3.C2(F)(F)F.C14CCCCC1,CC1(C)CC3CC1N=C(O)N5.C5C4.C3.C2(F)(F)F.C14CCCCC1,,,decode_returned_none,,,False,,False,CC1CC(N=C(O)NCCC2CCCCC2)C(C)(C)C1.FC(F)F,CC1CC(N=C(O)NCCC2CCCCC2)C(C)(C)C1,,0.5959285878181675,3.858157862365915,True,False,False,True,True
11,CCC6C.N63.C3C7.c17ccc4cc1.N14CCN5CC1.c15ccc(Cl)c(C)c1,CCC6C.N63.C3C7.c17ccc4cc1.N14CCN5CC1.c15ccc(Cl)c(C)c1,,CCC(C)NCCc1ccc(N2CCN(c3ccc(Cl)c(C)c3)CC2)cc1,,0.730340932835196,2.4809628988912458,True,True,True,CCC(C)NCCc1ccc(N2CCN(c3ccc(Cl)c(C)c3)CC2)cc1,CCC(C)NCCc1ccc(N2CCN(c3ccc(Cl)c(C)c3)CC2)cc1,,0.730340932835196,2.4809628988912458,True,True,True,False,False
12,CN4C.C432.N12CCN5CC1.C5C(O)=[NH+]CC(C)(C)C.c13ccnn1C,CN4C.C432.N12CCN5CC1.C5C(O)=[NH+]CC(C)(C)C.c13ccnn1C,,CN(C)C(c1ccnn1C)N1CCN(CC(O)=[NH+]CC(C)(C)C)CC1,,0.5434225595607032,4.19487693153039,True,False,False,CN(C)C(c1ccnn1C)N1CCN(CC(O)=[NH+]CC(C)(C)C)CC1,CN(C)C(c1ccnn1C)N1CCN(CC(O)=[NH+]CC(C)(C)C)CC1,,0.5434225595607032,4.19487693153039,True,False,False,False,False
