sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO5.c15ccc4c6c1.O4C.C6(=O)CC3.[C@H]13CCCC[C@@H]1O,CO5.c15ccc4c6c1.O4C.C6(=O)CC3.[C@H]13CCCC[C@@H]1O,,COc1ccc(OC)c(C(=O)CC[C@H]2CCCC[C@@H]2O)c1,,0.8179395523986831,2.807903297762394,True,True,True,COc1ccc(OC)c(C(=O)CC[C@H]2CCCC[C@@H]2O)c1,COc1ccc(OC)c(C(=O)CC[C@H]2CCCC[C@@H]2O)c1,,0.8179395523986831,2.807903297762394,True,True,True,False,False
1,Cc1cc4n(C)n1.C54.C5(C)C(O)=NCC6.O63.c13ccccc1,Cc1cc4n(C)n1.C54.C5(C)C(O)=NCC6.O63.c13ccccc1,,Cc1cc(CC(C)C(O)=NCCOc2ccccc2)n(C)n1,,0.4857555727369985,3.0852976439870083,True,False,False,Cc1cc(CC(C)C(O)=NCCOc2ccccc2)n(C)n1,Cc1cc(CC(C)C(O)=NCCOc2ccccc2)n(C)n1,,0.4857555727369985,3.0852976439870083,True,False,False,False,False
2,CCCCCCC(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCC(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CCCCCC,,0.07500867524986007,2.231065751205813,True,False,False,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CCCCCC,,0.07500867524986007,2.231065751205813,True,False,False,False,False
3,Cc1cccc(N=C(N3c1cccc1Cl.c13ccc5cc1.N15CCN(C)CC1,Cc1cccc(N=C(N3c1cccc1Cl.c13ccc5cc1.N15CCN(C)CC1,,,decode_returned_none,,,False,,False,CN1CCN(c2ccccc2)CC1,CN1CCN(c2ccccc2)CC1,,0.6385626154918538,1.4319296285513374,True,True,True,True,False
4,OC(=NCCC5.c15cccc(F)c1.O43.c13ccc4cc1.c16cc(Cl)cc(Br)c1,OC(=NCCC5.c15cccc(F)c1.O43.c13ccc4cc1.c16cc(Cl)cc(Br)c1,,,decode_returned_none,,,False,,False,Clc1cccc(Br)c1.Fc1ccccc1.c1cc2ccc1o2,Clc1cccc(Br)c1,,0.5910745276514103,1.5213859526925404,True,False,False,True,True
5,CCN=C(N5c1ccccc1C.c15ccc3cc1.C3C4.c14ccccc1,CCN=C(N5c1ccccc1C.c15ccc3cc1.C3C4.c14ccccc1,,,decode_returned_none,,,False,,False,c1ccc(CCc2ccccc2)cc1,c1ccc(CCc2ccccc2)cc1,,0.6814602021498524,1.014182862295245,True,True,True,True,False
6,CCN=C(N6)N5.C64=O.c14ccc3cc1.N13CCOCC1.c15ccc(C)cc1,CCN=C(N6)N5.C64=O.c14ccc3cc1.N13CCOCC1.c15ccc(C)cc1,,CCN=C(NC(=O)c1ccc(N2CCOCC2)cc1)Nc1ccc(C)cc1,,0.6447467794019976,2.1668230032581395,True,True,True,CCN=C(NC(=O)c1ccc(N2CCOCC2)cc1)Nc1ccc(C)cc1,CCN=C(NC(=O)c1ccc(N2CCOCC2)cc1)Nc1ccc(C)cc1,,0.6447467794019976,2.1668230032581395,True,True,True,False,False
7,CC7.N17CCCCC14.C54.n15nc6c2ccccc3c1-c1ccccc1-2.O6C,CC7.N17CCCCC14.C54.n15nc6c2ccccc3c1-c1ccccc1-2.O6C,,,decode_returned_none,,,False,,False,CCN1CCCCC1C.CO,CCN1CCCCC1C,,0.5195874662924141,2.3576547704526085,True,False,False,True,True
8,Cc1nc2cc4ccc2c6n1.c14noc5n1.C15CCCC1.C6(C)C,Cc1nc2cc4ccc2c6n1.c14noc5n1.C15CCCC1.C6(C)C,,Cc1nc(C(C)C)c2ccc(-c3noc(C4CCCC4)n3)cc2n1,,0.6947073666335741,2.515806717033497,True,True,True,Cc1nc(C(C)C)c2ccc(-c3noc(C4CCCC4)n3)cc2n1,Cc1nc(C(C)C)c2ccc(-c3noc(C4CCCC4)n3)cc2n1,,0.6947073666335741,2.515806717033497,True,True,True,False,False
9,CC(O)=Nc1cc2c(cn1)OCO2.C34.c14ccc(Cl)cc1Cl,CC(O)=Nc1cc2c(cn1)OCO2.C34.c14ccc(Cl)cc1Cl,,,decode_returned_none,,,False,,False,CC(O)=Nc1cc2c(cn1)OCO2.Cc1ccc(Cl)cc1Cl,CC(O)=Nc1cc2c(cn1)OCO2,,0.5239492964091309,3.0928742614433373,True,False,False,True,True
