sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO4.c14ccccc1C(=N3C1=CCOCC1.c13cccc(Cl)c1,CO4.c14ccccc1C(=N3C1=CCOCC1.c13cccc(Cl)c1,,,decode_returned_none,,,False,,False,CO.Clc1ccccc1,Clc1ccccc1,,0.4833833263681997,1.0,True,False,False,True,True
1,CC4C.O42.C12CCN3CC1.C3(=O)CCCCCN=C(O)C1CCCCC1,CC4C.O42.C12CCN3CC1.C3(=O)CCCCCN=C(O)C1CCCCC1,,CC(C)OC1CCN(C(=O)CCCCCN=C(O)C2CCCCC2)CC1,,0.371164178031344,2.701514936449108,True,False,False,CC(C)OC1CCN(C(=O)CCCCCN=C(O)C2CCCCC2)CC1,CC(C)OC1CCN(C(=O)CCCCCN=C(O)C2CCCCC2)CC1,,0.371164178031344,2.701514936449108,True,False,False,False,False
2,CC(C)CN=C(O)C2.N12CCC[C@H]14.c14nnnn13.C3C(C)C,CC(C)CN=C(O)C2.N12CCC[C@H]14.c14nnnn13.C3C(C)C,,CC(C)CN=C(O)CN1CCC[C@H]1c1nnnn1CC(C)C,,0.616012601328184,3.59078758825744,True,True,True,CC(C)CN=C(O)CN1CCC[C@H]1c1nnnn1CC(C)C,CC(C)CN=C(O)CN1CCC[C@H]1c1nnnn1CC(C)C,,0.616012601328184,3.59078758825744,True,True,True,False,False
3,O=C3CCC4=O.N14CCN5CC1.c15ccccc1.c13c[nH]c2ccccc12,O=C3CCC4=O.N14CCN5CC1.c15ccccc1.c13c[nH]c2ccccc12,,O=C(CCC(=O)N1CCN(c2ccccc2)CC1)c1c[nH]c2ccccc12,,0.7080544430513671,1.9907830212343214,True,True,True,O=C(CCC(=O)N1CCN(c2ccccc2)CC1)c1c[nH]c2ccccc12,O=C(CCC(=O)N1CCN(c2ccccc2)CC1)c1c[nH]c2ccccc12,,0.7080544430513671,1.9907830212343214,True,True,True,False,False
4,CC6.c16ccc7cc1.c17c(8)[nH]c2ccccc12.C8(=O)[C@H]5C.N15CCCCCC1,CC6.c16ccc7cc1.c17c(8)[nH]c2ccccc12.C8(=O)[C@H]5C.N15CCCCCC1,,,decode_returned_none,,,False,,False,CCc1ccccc1.C[C@H](C=O)N1CCCCCC1,C[C@H](C=O)N1CCCCCC1,,0.562457656154193,2.9113694121793667,True,False,False,True,True
5,CN1CCN(C(O)=NCCCCC4CC1.c14ccccc13.c13ccccc1,CN1CCN(C(O)=NCCCCC4CC1.c14ccccc13.c13ccccc1,,,decode_returned_none,,,False,,False,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,,0.5905018880213778,1.0,True,False,False,True,False
6,N#Cc1ccc8c3c1.C8O.C63.N67.C7C4.N45.c15cccc(F)c1.C3O,N#Cc1ccc8c3c1.C8O.C63.N67.C7C4.N45.c15cccc(F)c1.C3O,,,decode_returned_none,,,False,,False,CO.N#Cc1ccc(CO)c(CNCCNc2cccc(F)c2)c1,N#Cc1ccc(CO)c(CNCCNc2cccc(F)c2)c1,,0.6867503884341886,2.241270609934009,True,True,True,True,True
7,CO5.c15cccc(S4(=O)=O)c1Cl.C4C3C(=O)O.c13c[nH]c2ccccc12,CO5.c15cccc(S4(=O)=O)c1Cl.C4C3C(=O)O.c13c[nH]c2ccccc12,,COc1cccc(S(=O)(=O)CC(C(=O)O)c2c[nH]c3ccccc23)c1Cl,,0.6679576545810482,2.96397679115225,True,True,True,COc1cccc(S(=O)(=O)CC(C(=O)O)c2c[nH]c3ccccc23)c1Cl,COc1cccc(S(=O)(=O)CC(C(=O)O)c2c[nH]c3ccccc23)c1Cl,,0.6679576545810482,2.96397679115225,True,True,True,False,False
8,CC4.O4C(S)=NC5.c15cn3c2ccccc12.c13cccc(Cl)c1,CC4.O4C(S)=NC5.c15cn3c2ccccc12.c13cccc(Cl)c1,,CCOC(S)=NCc1cn(-c2cccc(Cl)c2)c2ccccc12,,0.3972843566672973,2.6890460666801275,True,False,False,CCOC(S)=NCc1cn(-c2cccc(Cl)c2)c2ccccc12,CCOC(S)=NCc1cn(-c2cccc(Cl)c2)c2ccccc12,,0.3972843566672973,2.6890460666801275,True,False,False,False,False
9,CC53.c13ccc2c(c1)CCC2=O.O54.c14ccc(O)cc1,CC53.c13ccc2c(c1)CCC2=O.O54.c14ccc(O)cc1,,CC(Oc1ccc(O)cc1)c1ccc2c(c1)CCC2=O,,0.9236184495165317,2.572082024205532,True,True,True,CC(Oc1ccc(O)cc1)c1ccc2c(c1)CCC2=O,CC(Oc1ccc(O)cc1)c1ccc2c(c1)CCC2=O,,0.9236184495165317,2.572082024205532,True,True,True,False,False
10,Cc1cccc5c1.C65.N16CCN4CC1.c14ccccc1C#N.O87.C8C#N,Cc1cccc5c1.C65.N16CCN4CC1.c14ccccc1C#N.O87.C8C#N,,,decode_returned_none,,,False,,False,Cc1cccc(CN2CCN(c3ccccc3C#N)CC2)c1.N#CCO,Cc1cccc(CN2CCN(c3ccccc3C#N)CC2)c1,,0.8697722402223987,1.8422872994944512,True,True,True,True,True
11,CC3(C)C(c1ccccc1)c1ccccc1.c13cccc2c1cccccc1.114cccc1,CC3(C)C(c1ccccc1)c1ccccc1.c13cccc2c1cccccc1.114cccc1,,,decode_returned_none,,,False,,False,CC(C)C(c1ccccc1)c1ccccc1,CC(C)C(c1ccccc1)c1ccccc1,,0.7006031313281512,1.6147631910673965,True,True,True,True,False
12,CC7=O.N75.C15CCCCN16.C64=O.c14ccc3cc1.c13ccccc1F,CC7=O.N75.C15CCCCN16.C64=O.c14ccc3cc1.c13ccccc1F,,CC(=O)NC1CCCCN1C(=O)c1ccc(-c2ccccc2F)cc1,,0.9283284511568617,2.544566874809977,True,True,True,CC(=O)NC1CCCCN1C(=O)c1ccc(-c2ccccc2F)cc1,CC(=O)NC1CCCCN1C(=O)c1ccc(-c2ccccc2F)cc1,,0.9283284511568617,2.544566874809977,True,True,True,False,False
