sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CC=4C.C4C3.c13ccccc16.N26.C2CC5=O.N15CCCCC1,CC=4C.C4C3.c13ccccc16.N26.C2CC5=O.N15CCCCC1,,CC(C)=CCc1ccccc1NCCC(=O)N1CCCCC1,,0.8050930065867499,2.1809211593845603,True,True,True,CC(C)=CCc1ccccc1NCCC(=O)N1CCCCC1,CC(C)=CCc1ccccc1NCCC(=O)N1CCCCC1,,0.8050930065867499,2.1809211593845603,True,True,True,False,False
1,O=C35.C76=O.N74.c14ccccc1.C15C(=O)OCCN16.c13ccccc1.N12CCCC1,O=C35.C76=O.N74.c14ccccc1.C15C(=O)OCCN16.c13ccccc1.N12CCCC1,,,decode_returned_none,,,False,,False,C1CCNC1.O=C1OCCN(C(=O)Nc2ccccc2)C1C(=O)c1ccccc1,O=C1OCCN(C(=O)Nc2ccccc2)C1C(=O)c1ccccc1,,0.5340015234788561,2.6078810254110483,True,False,False,True,True
2,CC5.O52.c12ccccc13.c13ccc4cc1.n14cncn1.CC(=O)O,CC5.O52.c12ccccc13.c13ccc4cc1.n14cncn1.CC(=O)O,,CC(=O)O.CCOc1ccccc1-c1ccc(-n2cncn2)cc1,,0.7950171765617312,1.9716472701209042,True,True,True,CC(=O)O.CCOc1ccccc1-c1ccc(-n2cncn2)cc1,CCOc1ccccc1-c1ccc(-n2cncn2)cc1,,0.7260695138675639,1.8522792895244233,True,True,True,False,True
3,Cc1cccc(Cl)c([N+](=O)[O-])c15.N53C(=N)N4.c13ccccc1.c14ccccc1,Cc1cccc(Cl)c([N+](=O)[O-])c15.N53C(=N)N4.c13ccccc1.c14ccccc1,,,decode_returned_none,,,False,,False,N=C(Nc1ccccc1)Nc1ccccc1,N=C(Nc1ccccc1)Nc1ccccc1,,0.5275993403910493,1.8368695882779562,True,False,False,True,False
4,N#Cc1ccc8cc1.O86.c16cc5cc7c1Cl.C15CCCC1.N17CCCC1,N#Cc1ccc8cc1.O86.c16cc5cc7c1Cl.C15CCCC1.N17CCCC1,,N#Cc1ccc(Oc2cc(C3CCCC3)cc(N3CCCC3)c2Cl)cc1,,0.6400363819150318,2.347329287034512,True,True,True,N#Cc1ccc(Oc2cc(C3CCCC3)cc(N3CCCC3)c2Cl)cc1,N#Cc1ccc(Oc2cc(C3CCCC3)cc(N3CCCC3)c2Cl)cc1,,0.6400363819150318,2.347329287034512,True,True,True,False,False
5,CC6CC4=O.c12ccc(F)cc1.N45C.O62.C53.c13ccccc1,CC6CC4=O.c12ccc(F)cc1.N45C.O62.C53.c13ccccc1,,CC(CC(=O)N(C)Cc1ccccc1)Oc1ccc(F)cc1,,0.8149637018864709,2.3075859814559916,True,True,True,CC(CC(=O)N(C)Cc1ccccc1)Oc1ccc(F)cc1,CC(CC(=O)N(C)Cc1ccccc1)Oc1ccc(F)cc1,,0.8149637018864709,2.3075859814559916,True,True,True,False,False
6,O=C3Cc1cc2cccc1.c1ccccc1.c12ccccc1.c13ccccc1,O=C3Cc1cc2cccc1.c1ccccc1.c12ccccc1.c13ccccc1,,,decode_returned_none,,,False,,False,c1ccccc1.c1ccccc1.c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
7,CC(O)=NCC3.C13CN5CCO1.c15ncccc14.c14ccc(C)cc1C.Cl,CC(O)=NCC3.C13CN5CCO1.c15ncccc14.c14ccc(C)cc1C.Cl,,CC(O)=NCCC1CN(c2ncccc2-c2ccc(C)cc2C)CCO1.Cl,,0.60935069020221,3.2751748789112254,True,True,True,CC(O)=NCCC1CN(c2ncccc2-c2ccc(C)cc2C)CCO1.Cl,CC(O)=NCCC1CN(c2ncccc2-c2ccc(C)cc2C)CCO1,,0.6533651451264079,3.191021749572208,True,True,True,False,True
8,CO5.C15CCCC4C1.N14CCCC(N=C(O)C3(C)C1.c13ccc(F)cc1,CO5.C15CCCC4C1.N14CCCC(N=C(O)C3(C)C1.c13ccc(F)cc1,,,decode_returned_none,,,False,,False,COC1CCCCC1.Fc1ccccc1,COC1CCCCC1,,0.5060735203854043,1.810516357070771,True,False,False,True,True
9,CCCC6(N)C5=O.N67.c17cccc4c1C.N15CCN8CC1.c18ncccn1.O4Cc1cccc(C)c1,CCCC6(N)C5=O.N67.c17cccc4c1C.N15CCN8CC1.c18ncccn1.O4Cc1cccc(C)c1,,CCCC(N)(Nc1cccc(OCc2cccc(C)c2)c1C)C(=O)N1CCN(c2ncccn2)CC1,,0.44123183361459395,3.2348633170518166,True,False,False,CCCC(N)(Nc1cccc(OCc2cccc(C)c2)c1C)C(=O)N1CCN(c2ncccn2)CC1,CCCC(N)(Nc1cccc(OCc2cccc(C)c2)c1C)C(=O)N1CCN(c2ncccn2)CC1,,0.44123183361459395,3.2348633170518166,True,False,False,False,False
