sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CC6.N16CC3C1N=C(O)C1CC1.c13ccc(C(=N)O)s1,CC6.N16CC3C1N=C(O)C1CC1.c13ccc(C(=N)O)s1,,CCN1CC(c2ccc(C(=N)O)s2)C1N=C(O)C1CC1,,0.5766140631304445,4.389008162066215,True,False,False,CCN1CC(c2ccc(C(=N)O)s2)C1N=C(O)C1CC1,CCN1CC(c2ccc(C(=N)O)s2)C1N=C(O)C1CC1,,0.5766140631304445,4.389008162066215,True,False,False,False,False
1,CC6C.N16CCC5CC1.N53.C3(=O)CCC4.c14cccc(C=O)c1,CC6C.N16CCC5CC1.N53.C3(=O)CCC4.c14cccc(C=O)c1,,CC(C)N1CCC(NC(=O)CCCc2cccc(C=O)c2)CC1,,0.7870297729071217,2.1478237966424736,True,True,True,CC(C)N1CCC(NC(=O)CCCc2cccc(C=O)c2)CC1,CC(C)N1CCC(NC(=O)CCCc2cccc(C=O)c2)CC1,,0.7870297729071217,2.1478237966424736,True,True,True,False,False
2,CC(O)=NC1CCc2c4cccc2C1O3.n14cnnn1.C3CC(C)C,CC(O)=NC1CCc2c4cccc2C1O3.n14cnnn1.C3CC(C)C,,CC(O)=NC1CCc2c(cccc2-n2cnnn2)C1OCCC(C)C,,0.6434154253243142,3.9519441544125335,True,True,True,CC(O)=NC1CCc2c(cccc2-n2cnnn2)C1OCCC(C)C,CC(O)=NC1CCc2c(cccc2-n2cnnn2)C1OCCC(C)C,,0.6434154253243142,3.9519441544125335,True,True,True,False,False
3,CC(C)C[C@H]4N=C(O)CC3.O35.c15ccccc1.c14c[nH]c2ccccc12,CC(C)C[C@H]4N=C(O)CC3.O35.c15ccccc1.c14c[nH]c2ccccc12,,CC(C)C[C@@H](N=C(O)CCOc1ccccc1)c1c[nH]c2ccccc12,,0.40541711554010607,3.031646406536866,True,False,False,CC(C)C[C@@H](N=C(O)CCOc1ccccc1)c1c[nH]c2ccccc12,CC(C)C[C@@H](N=C(O)CCOc1ccccc1)c1c[nH]c2ccccc12,,0.40541711554010607,3.031646406536866,True,False,False,False,False
4,CC(=N\c1c(cccc1Cl)CC3N=C(O)C1CCN2CC1.c13ccccc1.C2C(C)C,CC(=N\c1c(cccc1Cl)CC3N=C(O)C1CCN2CC1.c13ccccc1.C2C(C)C,,,decode_returned_none,,,False,,False,CC(C)C.c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
5,CN1CCC(C(O)=NC5CCC4CC1.c14ccccc1F.c15ccccc1,CN1CCC(C(O)=NC5CCC4CC1.c14ccccc1F.c15ccccc1,,,decode_returned_none,,,False,,False,Fc1ccccc1.c1ccccc1,Fc1ccccc1,,0.46184033029146143,1.0,True,False,False,True,True
6,N#Cc1ccc8c6c1.C98.C68.N97.C7C4.N45.c15ccc2c(c1)OCO2,N#Cc1ccc8c6c1.C98.C68.N97.C7C4.N45.c15ccc2c(c1)OCO2,,,decode_returned_none,,,False,,False,Cc1cc(C#N)ccc1CNCCNc1ccc2c(c1)OCO2,Cc1cc(C#N)ccc1CNCCNc1ccc2c(c1)OCO2,,0.8032812559868296,2.241602000298748,True,True,True,True,False
7,Cc1ccc5c6c1.C46=O.N14CCOCC1.C85=O.N87.c17ccc(Cl)cc1,Cc1ccc5c6c1.C46=O.N14CCOCC1.C85=O.N87.c17ccc(Cl)cc1,,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)c(C(=O)N2CCOCC2)c1,,0.9146789874388652,1.8659604452773983,True,True,True,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)c(C(=O)N2CCOCC2)c1,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)c(C(=O)N2CCOCC2)c1,,0.9146789874388652,1.8659604452773983,True,True,True,False,False
8,CC4(C#N)C3.O35.c15ccc(Cl)cc1.c14nc2ccccc2n1C,CC4(C#N)C3.O35.c15ccc(Cl)cc1.c14nc2ccccc2n1C,,Cn1c(C(C)(C#N)COc2ccc(Cl)cc2)nc2ccccc21,,0.7256921993860741,2.8759813054316528,True,True,True,Cn1c(C(C)(C#N)COc2ccc(Cl)cc2)nc2ccccc21,Cn1c(C(C)(C#N)COc2ccc(Cl)cc2)nc2ccccc21,,0.7256921993860741,2.8759813054316528,True,True,True,False,False
9,CC65.c13ccc2c(c1)OCO2.N63.C13CCCCC14.C4O,CC65.c13ccc2c(c1)OCO2.N63.C13CCCCC14.C4O,,,decode_returned_none,,,False,,False,CCNc1ccc2c(c1)OCO2.OCC1CCCCC1,CCNc1ccc2c(c1)OCO2,,0.7249655211242803,1.8746984844847603,True,True,True,True,True
10,CO5.C15CCC3CC1.C3(C)N=C(O)c1occc14.C64.O6N=C(C)N,CO5.C15CCC3CC1.C3(C)N=C(O)c1occc14.C64.O6N=C(C)N,,COC1CCC(C(C)N=C(O)c2occc2CON=C(C)N)CC1,,0.45218479394044564,3.8146511447141993,True,False,False,COC1CCC(C(C)N=C(O)c2occc2CON=C(C)N)CC1,COC1CCC(C(C)N=C(O)c2occc2CON=C(C)N)CC1,,0.45218479394044564,3.8146511447141993,True,False,False,False,False
11,CCCCCCCCCCCc1ccc2ccccc2c1.c14cccc(c1cccc5c1.n15cccc1,CCCCCCCCCCCc1ccc2ccccc2c1.c14cccc(c1cccc5c1.n15cccc1,,,decode_returned_none,,,False,,False,CCCCCCCCCCCc1ccc2ccccc2c1.c1cc[nH]c1,CCCCCCCCCCCc1ccc2ccccc2c1,,0.41508152384193264,1.6586848114991675,True,False,False,True,True
12,CC(C)C5=O.C15CCCCN16.C64=O.c14ccc3cc1.c13cnccc1Cl,CC(C)C5=O.C15CCCCN16.C64=O.c14ccc3cc1.c13cnccc1Cl,,CC(C)C(=O)C1CCCCN1C(=O)c1ccc(-c2cnccc2Cl)cc1,,0.7884109174092242,2.7176545835653165,True,True,True,CC(C)C(=O)C1CCCCN1C(=O)c1ccc(-c2cnccc2Cl)cc1,CC(C)C(=O)C1CCCCN1C(=O)c1ccc(-c2cnccc2Cl)cc1,,0.7884109174092242,2.7176545835653165,True,True,True,False,False
13,CCCCCC(C)CC(C(=N)N3)CN=C(O)N2.C3(C)=O.c12ccccc1,CCCCCC(C)CC(C(=N)N3)CN=C(O)N2.C3(C)=O.c12ccccc1,,CCCCCC(C)CC(CN=C(O)Nc1ccccc1)C(=N)NC(C)=O,,0.28356723384348187,3.647337765229347,True,False,False,CCCCCC(C)CC(CN=C(O)Nc1ccccc1)C(=N)NC(C)=O,CCCCCC(C)CC(CN=C(O)Nc1ccccc1)C(=N)NC(C)=O,,0.28356723384348187,3.647337765229347,True,False,False,False,False
14,CC2.N12CCC5CC1(C)CN=C(O)C4.c14cccc(Cl)c1.C35=O.O3C,CC2.N12CCC5CC1(C)CN=C(O)C4.c14cccc(Cl)c1.C35=O.O3C,,CCN1CCC(C(=O)OC)CC1(C)CN=C(O)Cc1cccc(Cl)c1,,0.47519629637682154,3.7773442109389848,True,False,False,CCN1CCC(C(=O)OC)CC1(C)CN=C(O)Cc1cccc(Cl)c1,CCN1CCC(C(=O)OC)CC1(C)CN=C(O)Cc1cccc(Cl)c1,,0.47519629637682154,3.7773442109389848,True,False,False,False,False
15,CC8.O86.c16ccc4cc1.c14ccc7cc1.C7CCC5=O.c15ccccc1Cl,CC8.O86.c16ccc4cc1.c14ccc7cc1.C7CCC5=O.c15ccccc1Cl,,CCOc1ccc(-c2ccc(CCCC(=O)c3ccccc3Cl)cc2)cc1,,0.41195071477051803,1.7755289204179014,True,False,False,CCOc1ccc(-c2ccc(CCCC(=O)c3ccccc3Cl)cc2)cc1,CCOc1ccc(-c2ccc(CCCC(=O)c3ccccc3Cl)cc2)cc1,,0.41195071477051803,1.7755289204179014,True,False,False,False,False
16,CC5.c15nnc4o1.c13ccc(C)cc1C.C4C(O)=NC3.c16cccs1,CC5.c15nnc4o1.c13ccc(C)cc1C.C4C(O)=NC3.c16cccs1,,,decode_returned_none,,,False,,False,CCc1nnc(CC(O)=NCc2ccc(C)cc2C)o1.c1ccsc1,CCc1nnc(CC(O)=NCc2ccc(C)cc2C)o1,,0.6712404142164642,2.796321289896932,True,True,True,True,True
