sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO2.c12ccc6cc1.C36.O3C.O45.[C@H]57C.c17ccco1,CO2.c12ccc6cc1.C36.O3C.O45.[C@H]57C.c17ccco1,,,decode_returned_none,,,False,,False,COCc1ccc(OC)cc1.C[C@@H](O)c1ccco1,C[C@@H](O)c1ccco1,,0.5941801492443691,2.7949086040314803,True,False,False,True,True
1,O=[N+]([O-])c1ccccc15.N53.c13ccc4nc1.N14CCCCC1,O=[N+]([O-])c1ccccc15.N53.c13ccc4nc1.N14CCCCC1,,O=[N+]([O-])c1ccccc1Nc1ccc(N2CCCCC2)nc1,,0.6876651822363593,2.008257251417527,True,True,True,O=[N+]([O-])c1ccccc1Nc1ccc(N2CCCCC2)nc1,O=[N+]([O-])c1ccccc1Nc1ccc(N2CCCCC2)nc1,,0.6876651822363593,2.008257251417527,True,True,True,False,False
2,Cc1ccc6cc1.C46=O.N145C(=O)N7C1=O.c17cn[nH]n1.c15cccc2c1C(C)CO2,Cc1ccc6cc1.C46=O.N145C(=O)N7C1=O.c17cn[nH]n1.c15cccc2c1C(C)CO2,,,decode_returned_none,,,False,,False,CC1COc2ccccc21.Cc1ccc(C=O)cc1.c1cn[nH]n1,Cc1ccc(C=O)cc1,,0.5163635148900696,1.5219812379947868,True,False,False,True,True
3,CO4.C4(=O)CN=C(O)C3.N13CCCCC12.N12C([O-])=CCC1=O.C5(C)(C)C,CO4.C4(=O)CN=C(O)C3.N13CCCCC12.N12C([O-])=CCC1=O.C5(C)(C)C,,,decode_returned_none,,,False,,False,CC(C)C.COC(=O)CN=C(O)CN1CCCCC1N1C(=O)CC=C1[O-],COC(=O)CN=C(O)CN1CCCCC1N1C(=O)CC=C1[O-],,0.4113025641507067,4.215973212469294,True,False,False,True,True
4,CC1NCCN15.c15cccc6c1.C64.c14cccc3c1.C3(=O)O.C7(F)(F)F,CC1NCCN15.c15cccc6c1.C64.c14cccc3c1.C3(=O)O.C7(F)(F)F,,,decode_returned_none,,,False,,False,CC1NCCN1c1cccc(Cc2cccc(C(=O)O)c2)c1.FC(F)F,CC1NCCN1c1cccc(Cc2cccc(C(=O)O)c2)c1,,0.9106667980643701,2.7839055489852367,True,True,True,True,True
5,CC[C@@H]5C.N543.[C@H]4(C)C(O)=Nc1c[nH]c(=Nc2ccccc2)c1C#N.C4C,CC[C@@H]5C.N543.[C@H]4(C)C(O)=Nc1c[nH]c(=Nc2ccccc2)c1C#N.C4C,,,decode_returned_none,,,False,,False,CCN[C@@H](C)CC,CCN[C@@H](C)CC,,0.5662217040685688,2.401580503597284,True,False,False,True,False
6,CC1CCN3C1.C3(C)(C)C4.O46.C67.c15nncn1C.C17COCCO1,CC1CCN3C1.C3(C)(C)C4.O46.C67.c15nncn1C.C17COCCO1,,,decode_returned_none,,,False,,False,CC1CCN(C(C)(C)COCC2COCCO2)C1.Cn1cnnc1,CC1CCN(C(C)(C)COCC2COCCO2)C1,,0.7473465407335761,3.597344403115067,True,True,True,True,True
7,C[C@@H](C2N=C(O)c1cccnc13.c12ccccc1.c13ccccc1,C[C@@H](C2N=C(O)c1cccnc13.c12ccccc1.c13ccccc1,,,decode_returned_none,,,False,,False,c1ccccc1.c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
8,O=C65.N68.C83=O.c13cccccc1.N74.C74=O.C14(C#N)CCC1.c15ccc2c(c1)CCN2,O=C65.N68.C83=O.c13cccccc1.N74.C74=O.C14(C#N)CCC1.c15ccc2c(c1)CCN2,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
9,Cc1csc2nc(N=C(O)N5sc12.c15ccc2c(c1)CCN2C,Cc1csc2nc(N=C(O)N5sc12.c15ccc2c(c1)CCN2C,,,decode_returned_none,,,False,,False,CN1CCc2ccccc21,CN1CCc2ccccc21,,0.520149185590204,1.6942980138903678,True,False,False,True,False
