sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CN24.C23.[C@@H]13CC[C@@H](F)C1.C4CC6.N65.c15ccccc1,CN24.C23.[C@@H]13CC[C@@H](F)C1.C4CC6.N65.c15ccccc1,,CN(CCCNc1ccccc1)C[C@@H]1CC[C@@H](F)C1,,0.7575460355925444,3.0025362752342604,True,True,True,CN(CCCNc1ccccc1)C[C@@H]1CC[C@@H](F)C1,CN(CCCNc1ccccc1)C[C@@H]1CC[C@@H](F)C1,,0.7575460355925444,3.0025362752342604,True,True,True,False,False
1,CCC5.N56.C6C2.c12ccc3cc1.O43.C4C7.N7(C)C,CCC5.N56.C6C2.c12ccc3cc1.O43.C4C7.N7(C)C,,CCCNCCc1ccc(OCCN(C)C)cc1,,0.679836916124057,1.7903050187520968,True,True,True,CCCNCCc1ccc(OCCN(C)C)cc1,CCCNCCc1ccc(OCCN(C)C)cc1,,0.679836916124057,1.7903050187520968,True,True,True,False,False
2,CC6.O68.c18ccc2c(c1)OC(=O)N7C2=O.c17ccc5cc1.c15ccc(=O)oc1=O,CC6.O68.c18ccc2c(c1)OC(=O)N7C2=O.c17ccc5cc1.c15ccc(=O)oc1=O,,,decode_returned_none,,,False,,False,CCOc1ccc2c(=O)n(-c3ccccc3)c(=O)oc2c1,CCOc1ccc2c(=O)n(-c3ccccc3)c(=O)oc2c1,,0.73990121134421,1.9690797742783221,True,True,True,True,False
3,CC7.O37.C3(=O)C62.c12ccc(F)cc1.N64.C14CCC5CC1.C5(C)(C)O,CC7.O37.C3(=O)C62.c12ccc(F)cc1.N64.C14CCC5CC1.C5(C)(C)O,,CCOC(=O)C(NC1CCC(C(C)(C)O)CC1)c1ccc(F)cc1,,0.7817549387895159,2.82532328749679,True,True,True,CCOC(=O)C(NC1CCC(C(C)(C)O)CC1)c1ccc(F)cc1,CCOC(=O)C(NC1CCC(C(C)(C)O)CC1)c1ccc(F)cc1,,0.7817549387895159,2.82532328749679,True,True,True,False,False
4,OC(=NC4C2.c12ccc3cc1)O65.c15ccccc1.c14cccs1.C3(F)(F)F,OC(=NC4C2.c12ccc3cc1)O65.c15ccccc1.c14cccs1.C3(F)(F)F,,,decode_returned_none,,,False,,False,FC(F)F.c1ccccc1.c1ccsc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
5,CCCCC6.N16CCCCC1=5.C=5C(=O)CC4.c14ccc2c(c1)CCCC2,CCCCC6.N16CCCCC1=5.C=5C(=O)CC4.c14ccc2c(c1)CCCC2,,CCCCCN1CCCCC1=CC(=O)CCc1ccc2c(c1)CCCC2,,0.4459418468297363,2.6660294894636607,True,False,False,CCCCCN1CCCCC1=CC(=O)CCc1ccc2c(c1)CCCC2,CCCCCN1CCCCC1=CC(=O)CCc1ccc2c(c1)CCCC2,,0.4459418468297363,2.6660294894636607,True,False,False,False,False
6,CN1CCN4c2ccc(Cl)cc2C(=NCC45C1.c15nncn1C.C14CCCCC1,CN1CCN4c2ccc(Cl)cc2C(=NCC45C1.c15nncn1C.C14CCCCC1,,,decode_returned_none,,,False,,False,C1CCCCC1.Cn1cnnc1,Cn1cnnc1,,0.43513659491629303,3.5417287383314093,True,False,False,True,True
7,CCCC2C.S25.c15nnnn13.c13ncc4s1.C4(C)(C)C,CCCC2C.S25.c15nnnn13.c13ncc4s1.C4(C)(C)C,,CCCC(C)Sc1nnnn1-c1ncc(C(C)(C)C)s1,,0.7880935096775533,3.4938059991779298,True,True,True,CCCC(C)Sc1nnnn1-c1ncc(C(C)(C)C)s1,CCCC(C)Sc1nnnn1-c1ncc(C(C)(C)C)s1,,0.7880935096775533,3.4938059991779298,True,True,True,False,False
8,O=C64.N67.c17cccc2c1CCCCC2.c14ccc5c(F)c1.N15CCN8CC1.c18cccc2c1CCN2,O=C64.N67.c17cccc2c1CCCCC2.c14ccc5c(F)c1.N15CCN8CC1.c18cccc2c1CCN2,,O=C(Nc1cccc2c1CCCCC2)c1ccc(N2CCN(c3cccc4c3CCN4)CC2)c(F)c1,,0.4706447401220125,2.552532871437176,True,False,False,O=C(Nc1cccc2c1CCCCC2)c1ccc(N2CCN(c3cccc4c3CCN4)CC2)c(F)c1,O=C(Nc1cccc2c1CCCCC2)c1ccc(N2CCN(c3cccc4c3CCN4)CC2)c(F)c1,,0.4706447401220125,2.552532871437176,True,False,False,False,False
9,CCC(C)(C)C4=O.O43.C35C.c15ccc2c(c1)OCCO2,CCC(C)(C)C4=O.O43.C35C.c15ccc2c(c1)OCCO2,,CCC(C)(C)C(=O)OC(C)c1ccc2c(c1)OCCO2,,0.7907071512202424,2.799741104073034,True,True,True,CCC(C)(C)C(=O)OC(C)c1ccc2c(c1)OCCO2,CCC(C)(C)C(=O)OC(C)c1ccc2c(c1)OCCO2,,0.7907071512202424,2.799741104073034,True,True,True,False,False
10,CC8.O87.C79.c19ccnc4n1.N4%11%10.c1%10cccc%11c1.O5C.C56=O.c16c(C)cccc1C,CC8.O87.C79.c19ccnc4n1.N4%11%10.c1%10cccc%11c1.O5C.C56=O.c16c(C)cccc1C,,CCOCc1ccnc(N2C3=CC=CC2=C3)n1.COC(=O)c1c(C)cccc1C,,0.7098071024907076,3.7145714618272496,True,True,True,CCOCc1ccnc(N2C3=CC=CC2=C3)n1.COC(=O)c1c(C)cccc1C,CCOCc1ccnc(N2C3=CC=CC2=C3)n1,,0.7897659284604215,3.994743703760088,True,True,True,False,True
11,CO3.c13ccc4cc1.C5C4.N15CCC6CC1.c16ccc(Cl)cc1,CO3.c13ccc4cc1.C5C4.N15CCC6CC1.c16ccc(Cl)cc1,,COc1ccc(CCN2CCC(c3ccc(Cl)cc3)CC2)cc1,,0.7830315536531383,1.7316254216535132,True,True,True,COc1ccc(CCN2CCC(c3ccc(Cl)cc3)CC2)cc1,COc1ccc(CCN2CCC(c3ccc(Cl)cc3)CC2)cc1,,0.7830315536531383,1.7316254216535132,True,True,True,False,False
12,Cc1ccc4o1.C54.N15CCN7CC1.C7C6.c16cccc(F)c1,Cc1ccc4o1.C54.N15CCN7CC1.C7C6.c16cccc(F)c1,,Cc1ccc(CN2CCN(CCc3cccc(F)c3)CC2)o1,,0.846026662268046,1.967878405263681,True,True,True,Cc1ccc(CN2CCN(CCc3cccc(F)c3)CC2)o1,Cc1ccc(CN2CCN(CCc3cccc(F)c3)CC2)o1,,0.846026662268046,1.967878405263681,True,True,True,False,False
13,C=CC4.N14CCC3C1.N73.C75=O.N56.c16ccc(Cl)cc1,C=CC4.N14CCC3C1.N73.C75=O.N56.c16ccc(Cl)cc1,,C=CCN1CCC(NC(=O)Nc2ccc(Cl)cc2)C1,,0.8325994826322021,2.4415212452131065,True,True,True,C=CCN1CCC(NC(=O)Nc2ccc(Cl)cc2)C1,C=CCN1CCC(NC(=O)Nc2ccc(Cl)cc2)C1,,0.8325994826322021,2.4415212452131065,True,True,True,False,False
14,CC5.c15oc2cc(C)ccc2c1N=C(O)N4C.C43=O.c13ccccc1,CC5.c15oc2cc(C)ccc2c1N=C(O)N4C.C43=O.c13ccccc1,,CCc1oc2cc(C)ccc2c1N=C(O)N(C)C(=O)c1ccccc1,,0.5603680146837379,2.8185358515612577,True,False,False,CCc1oc2cc(C)ccc2c1N=C(O)N(C)C(=O)c1ccccc1,CCc1oc2cc(C)ccc2c1N=C(O)N(C)C(=O)c1ccccc1,,0.5603680146837379,2.8185358515612577,True,False,False,False,False
15,CCCC2.c12c(C(=N)O)c5c4n13.C5(C)(C)C.c14ccc(Cl)c(Cl)c1.N673.C6(C)C.C7C,CCCC2.c12c(C(=N)O)c5c4n13.C5(C)(C)C.c14ccc(Cl)c(Cl)c1.N673.C6(C)C.C7C,,CCCCc1c(C(=N)O)c(C(C)(C)C)c(-c2ccc(Cl)c(Cl)c2)n1N(CC)C(C)C,,0.3249316961055109,3.34419944656487,True,False,False,CCCCc1c(C(=N)O)c(C(C)(C)C)c(-c2ccc(Cl)c(Cl)c2)n1N(CC)C(C)C,CCCCc1c(C(=N)O)c(C(C)(C)C)c(-c2ccc(Cl)c(Cl)c2)n1N(CC)C(C)C,,0.3249316961055109,3.34419944656487,True,False,False,False,False
16,CCC(O)=NC5=O.N15CCCC(C4C1.c14ccc2c(c1)OCO2,CCC(O)=NC5=O.N15CCCC(C4C1.c14ccc2c(c1)OCO2,,,decode_returned_none,,,False,,False,CCC(O)=NC=O.c1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,,0.5176682759164258,1.5241767251742733,True,False,False,True,True
17,CO6.C6(=O)C7C(O)=Nc1ccccc13.N75.c15cc4[nH]n1.c14ccccc1.c13ccccc1,CO6.C6(=O)C7C(O)=Nc1ccccc13.N75.c15cc4[nH]n1.c14ccccc1.c13ccccc1,,COC(=O)C(Nc1cc(-c2ccccc2)[nH]n1)C(O)=Nc1ccccc1-c1ccccc1,,0.21972968068540863,3.148184912570879,True,False,False,COC(=O)C(Nc1cc(-c2ccccc2)[nH]n1)C(O)=Nc1ccccc1-c1ccccc1,COC(=O)C(Nc1cc(-c2ccccc2)[nH]n1)C(O)=Nc1ccccc1-c1ccccc1,,0.21972968068540863,3.148184912570879,True,False,False,False,False
18,CCC3.O35.c15ccccc12.C2(=O)C46.c16ccccc1.O4C,CCC3.O35.c15ccccc12.C2(=O)C46.c16ccccc1.O4C,,CCCOc1ccccc1C(=O)C(OC)c1ccccc1,,0.7196104686727256,2.3573974605822965,True,True,True,CCCOc1ccccc1C(=O)C(OC)c1ccccc1,CCCOc1ccccc1C(=O)C(OC)c1ccccc1,,0.7196104686727256,2.3573974605822965,True,True,True,False,False
19,CC(C)(CCN)CN=C(O)N1CCN3CC1.C32.c12ccccc1,CC(C)(CCN)CN=C(O)N1CCN3CC1.C32.c12ccccc1,,CC(C)(CCN)CN=C(O)N1CCN(Cc2ccccc2)CC1,,0.6225715983819005,2.6379137374708765,True,True,True,CC(C)(CCN)CN=C(O)N1CCN(Cc2ccccc2)CC1,CC(C)(CCN)CN=C(O)N1CCN(Cc2ccccc2)CC1,,0.6225715983819005,2.6379137374708765,True,True,True,False,False
20,CCCC5.O53.C13CCN6C1.C6C(O)=NCCCC4=O.c14cccc(F)c1F,CCCC5.O53.C13CCN6C1.C6C(O)=NCCCC4=O.c14cccc(F)c1F,,CCCCOC1CCN(CC(O)=NCCCC(=O)c2cccc(F)c2F)C1,,0.27385633905859497,3.156431259478028,True,False,False,CCCCOC1CCN(CC(O)=NCCCC(=O)c2cccc(F)c2F)C1,CCCCOC1CCN(CC(O)=NCCCC(=O)c2cccc(F)c2F)C1,,0.27385633905859497,3.156431259478028,True,False,False,False,False
21,CC3.O37.c17ccccc14.O84.C8C5.N15CCCC16.c16ccccc1,CC3.O37.c17ccccc14.O84.C8C5.N15CCCC16.c16ccccc1,,CCOc1ccccc1OCCN1CCCC1c1ccccc1,,0.7606888363599502,2.2613688619927395,True,True,True,CCOc1ccccc1OCCN1CCCC1c1ccccc1,CCOc1ccccc1OCCN1CCCC1c1ccccc1,,0.7606888363599502,2.2613688619927395,True,True,True,False,False
22,CO4.c14ccc7cc16.C79(C)C.N95.C15CCN8CC1.c18ccc(Cl)nn1.O6C,CO4.c14ccc7cc16.C79(C)C.N95.C15CCN8CC1.c18ccc(Cl)nn1.O6C,,COc1ccc(C(C)(C)NC2CCN(c3ccc(Cl)nn3)CC2)cc1OC,,0.8120982767711202,2.485570901109277,True,True,True,COc1ccc(C(C)(C)NC2CCN(c3ccc(Cl)nn3)CC2)cc1OC,COc1ccc(C(C)(C)NC2CCN(c3ccc(Cl)nn3)CC2)cc1OC,,0.8120982767711202,2.485570901109277,True,True,True,False,False
23,Cc1nc2ccccc2c4c1C.C45.c15ccc2oc(=O)oc2c1,Cc1nc2ccccc2c4c1C.C45.c15ccc2oc(=O)oc2c1,,Cc1nc2ccccc2c(Cc2ccc3oc(=O)oc3c2)c1C,,0.5582170404364685,2.579657255491316,True,False,False,Cc1nc2ccccc2c(Cc2ccc3oc(=O)oc3c2)c1C,Cc1nc2ccccc2c(Cc2ccc3oc(=O)oc3c2)c1C,,0.5582170404364685,2.579657255491316,True,False,False,False,False
24,Cc1ccn2cc4cc2c1.C54=O.N15CCN6CC1.C6C(F)F,Cc1ccn2cc4cc2c1.C54=O.N15CCN6CC1.C6C(F)F,,Cc1ccn2cc(C(=O)N3CCN(CC(F)F)CC3)cc2c1,,0.8699583390738621,2.627837252968394,True,True,True,Cc1ccn2cc(C(=O)N3CCN(CC(F)F)CC3)cc2c1,Cc1ccn2cc(C(=O)N3CCN(CC(F)F)CC3)cc2c1,,0.8699583390738621,2.627837252968394,True,True,True,False,False
25,Cc1ccc7cc13.O7C.N43.C4(=O)C6=O.N65.c15cccc(Cl)c1C,Cc1ccc7cc13.O7C.N43.C4(=O)C6=O.N65.c15cccc(Cl)c1C,,COc1ccc(C)c(NC(=O)C(=O)Nc2cccc(Cl)c2C)c1,,0.8446704572705926,1.8246320806661416,True,True,True,COc1ccc(C)c(NC(=O)C(=O)Nc2cccc(Cl)c2C)c1,COc1ccc(C)c(NC(=O)C(=O)Nc2cccc(Cl)c2C)c1,,0.8446704572705926,1.8246320806661416,True,True,True,False,False
26,CC(O)=N[C@@H]4N=C(O)C(C)(C)C.c14ccc2ccccc2c1.O=C(C)N=C(O)N5.c15ccccc1Cl,CC(O)=N[C@@H]4N=C(O)C(C)(C)C.c14ccc2ccccc2c1.O=C(C)N=C(O)N5.c15ccccc1Cl,,CC(=O)N=C(O)Nc1ccccc1Cl.CC(O)=N[C@H](N=C(O)C(C)(C)C)c1ccc2ccccc2c1,,0.22112756356829177,3.6581549998489082,True,False,False,CC(=O)N=C(O)Nc1ccccc1Cl.CC(O)=N[C@H](N=C(O)C(C)(C)C)c1ccc2ccccc2c1,CC(O)=N[C@H](N=C(O)C(C)(C)C)c1ccc2ccccc2c1,,0.6300694958702369,3.4040148896445777,True,True,True,False,True
27,OC(C3=NC45.c15ccccc1.c14cccc2ccccc12.c13ccccc1Cl,OC(C3=NC45.c15ccccc1.c14cccc2ccccc12.c13ccccc1Cl,,,decode_returned_none,,,False,,False,Clc1ccccc1.c1ccc2ccccc2c1.c1ccccc1,c1ccc2ccccc2c1,,0.5114311994891171,1.0,True,False,False,True,True
28,CC(C)C3N=C(O)c1ccccc1Cl.C13C(=NC2CCCCC2)C(=O)O1,CC(C)C3N=C(O)c1ccccc1Cl.C13C(=NC2CCCCC2)C(=O)O1,,CC(C)C(N=C(O)c1ccccc1Cl)C1OC(=O)C1=NC1CCCCC1,,0.47090598743082074,3.8905312056929926,True,False,False,CC(C)C(N=C(O)c1ccccc1Cl)C1OC(=O)C1=NC1CCCCC1,CC(C)C(N=C(O)c1ccccc1Cl)C1OC(=O)C1=NC1CCCCC1,,0.47090598743082074,3.8905312056929926,True,False,False,False,False
29,CC16CCC3C1.N43.C45=O.c15ccccc1.C6(F)(F)F,CC16CCC3C1.N43.C45=O.c15ccccc1.C6(F)(F)F,,CC1(C(F)(F)F)CCC(NC(=O)c2ccccc2)C1,,0.8754669175804208,3.0660854737280747,True,True,True,CC1(C(F)(F)F)CCC(NC(=O)c2ccccc2)C1,CC1(C(F)(F)F)CCC(NC(=O)c2ccccc2)C1,,0.8754669175804208,3.0660854737280747,True,True,True,False,False
30,CC4.c14nccs1.C3CN=C(O)C2.c12cc(C)cc(Cl)c1,CC4.c14nccs1.C3CN=C(O)C2.c12cc(C)cc(Cl)c1,,,decode_returned_none,,,False,,False,CCN=C(O)Cc1cc(C)cc(Cl)c1.CCc1nccs1,CCN=C(O)Cc1cc(C)cc(Cl)c1,,0.6047134308311806,2.6548688448014506,True,True,True,True,True
31,CO6.c16cc7cc5c1.O97.C9C8.N84.C43.c13cccc(C)c1C.C5(=O)O,CO6.c16cc7cc5c1.O97.C9C8.N84.C43.c13cccc(C)c1C.C5(=O)O,,COc1cc(OCCNCc2cccc(C)c2C)cc(C(=O)O)c1,,0.7281752698522211,2.035269313748916,True,True,True,COc1cc(OCCNCc2cccc(C)c2C)cc(C(=O)O)c1,COc1cc(OCCNCc2cccc(C)c2C)cc(C(=O)O)c1,,0.7281752698522211,2.035269313748916,True,True,True,False,False
32,CO3.c13ccccc12.C2C(O)=N[C@@H]1CCCN15.C54=O.c14ccco1,CO3.c13ccccc12.C2C(O)=N[C@@H]1CCCN15.C54=O.c14ccco1,,COc1ccccc1CC(O)=N[C@@H]1CCCN1C(=O)c1ccco1,,0.6759728397712511,3.116833533772253,True,True,True,COc1ccccc1CC(O)=N[C@@H]1CCCN1C(=O)c1ccco1,COc1ccccc1CC(O)=N[C@@H]1CCCN1C(=O)c1ccco1,,0.6759728397712511,3.116833533772253,True,True,True,False,False
33,Cc1ccccc1C(O)=NCC2.S23.C3C(O)=Nc1ccccc1Cl,Cc1ccccc1C(O)=NCC2.S23.C3C(O)=Nc1ccccc1Cl,,Cc1ccccc1C(O)=NCCSCC(O)=Nc1ccccc1Cl,,0.41468732863121505,2.7720199080624166,True,False,False,Cc1ccccc1C(O)=NCCSCC(O)=Nc1ccccc1Cl,Cc1ccccc1C(O)=NCCSCC(O)=Nc1ccccc1Cl,,0.41468732863121505,2.7720199080624166,True,False,False,False,False
34,CC5.N54C.C43.c13nc2c(=N)nc(C)cc(=N)[nH]c2[nH]1,CC5.N54C.C43.c13nc2c(=N)nc(C)cc(=N)[nH]c2[nH]1,,,decode_returned_none,,,False,,False,CCN(C)C,CCN(C)C,,0.43830841291192973,1.8536941165540988,True,False,False,True,False
