row_type,contrast_id,control_config,treatment_config,temperature,branch,metric,status,seed,control_status,treatment_status,requested_samples,control_quality_count,treatment_quality_count,control_value,treatment_value,difference,defined_seed_count,expected_seed_count,mean_difference,sample_sd
seed,primary,ct_t100,ce_t100,1.0,released_comparable,validity,completed,1600,completed,completed,100,,,0.99,0.99,0.0,,,,
seed,primary,ct_t100,ce_t100,1.0,released_comparable,validity,completed,1601,completed,completed,100,,,0.96,0.97,0.01,,,,
summary,primary,ct_t100,ce_t100,1.0,released_comparable,validity,completed,,,,,,,,,,2,2,0.005,0.007071067811865475
seed,primary,ct_t100,ce_t100,1.0,released_comparable,uniqueness,completed,1600,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,primary,ct_t100,ce_t100,1.0,released_comparable,uniqueness,completed,1601,completed,completed,100,,,0.9895833333333334,0.9896907216494846,0.0001073883161512,,,,
summary,primary,ct_t100,ce_t100,1.0,released_comparable,uniqueness,completed,,,,,,,,,,2,2,5.36941580756e-05,7.593500657071836e-05
seed,primary,ct_t100,ce_t100,1.0,released_comparable,quality,completed,1600,completed,completed,100,51,44,0.51,0.44,-0.07,,,,
seed,primary,ct_t100,ce_t100,1.0,released_comparable,quality,completed,1601,completed,completed,100,42,38,0.42,0.38,-0.04,,,,
summary,primary,ct_t100,ce_t100,1.0,released_comparable,quality,completed,,,,,,,,,,2,2,-0.055,0.021213203435596427
seed,primary,ct_t100,ce_t100,1.0,released_comparable,diversity,completed,1600,completed,completed,100,,,0.909109357554778,0.9000102464069775,-0.0090991111478005,,,,
seed,primary,ct_t100,ce_t100,1.0,released_comparable,diversity,completed,1601,completed,completed,100,,,0.908897251211124,0.905074375967845,-0.003822875243279,,,,
summary,primary,ct_t100,ce_t100,1.0,released_comparable,diversity,completed,,,,,,,,,,2,2,-0.00646099319553975,0.00373086218722709
seed,primary,ct_t100,ce_t100,1.0,strict,validity,completed,1600,completed,completed,100,,,0.43,0.7,0.27,,,,
seed,primary,ct_t100,ce_t100,1.0,strict,validity,completed,1601,completed,completed,100,,,0.35,0.59,0.24,,,,
summary,primary,ct_t100,ce_t100,1.0,strict,validity,completed,,,,,,,,,,2,2,0.255,0.021213203435596427
