sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,Cc1ccc5cc1C.[C@]165Cc2cc(N=[N+]=[N-])n(C)c2C1.O64.C4(C)(C)C,Cc1ccc5cc1C.[C@]165Cc2cc(N=[N+]=[N-])n(C)c2C1.O64.C4(C)(C)C,,Cc1ccc([C@]2(OC(C)(C)C)Cc3cc(N=[N+]=[N-])n(C)c3C2)cc1C,,0.42004994743588614,4.08740023469781,True,False,False,Cc1ccc([C@]2(OC(C)(C)C)Cc3cc(N=[N+]=[N-])n(C)c3C2)cc1C,Cc1ccc([C@]2(OC(C)(C)C)Cc3cc(N=[N+]=[N-])n(C)c3C2)cc1C,,0.42004994743588614,4.08740023469781,True,False,False,False,False
1,CO4.c14ccc7cc1.C87.N68.C65=O.c15cc(O)c2ccccc2[nH+]c1O,CO4.c14ccc7cc1.C87.N68.C65=O.c15cc(O)c2ccccc2[nH+]c1O,,,decode_returned_none,,,False,,False,COc1ccc(CNC=O)cc1,COc1ccc(CNC=O)cc1,,0.6741675039141793,1.8039764030367973,True,True,True,True,False
2,CC2(C)C.N324.C3(=O)NNc1cccc(NN=O)n1.c14cccc(F)c1,CC2(C)C.N324.C3(=O)NNc1cccc(NN=O)n1.c14cccc(F)c1,,CC(C)(C)N(C(=O)NNc1cccc(NN=O)n1)c1cccc(F)c1,,0.5667745449064283,3.0134666207920286,True,False,False,CC(C)(C)N(C(=O)NNc1cccc(NN=O)n1)c1cccc(F)c1,CC(C)(C)N(C(=O)NNc1cccc(NN=O)n1)c1cccc(F)c1,,0.5667745449064283,3.0134666207920286,True,False,False,False,False
3,CO6.c16ccc(Cl)cc14.N24.C2C3.N13CCCCCC15.C5Br,CO6.c16ccc(Cl)cc14.N24.C2C3.N13CCCCCC15.C5Br,,COc1ccc(Cl)cc1NCCN1CCCCCC1CBr,,0.745831468147166,2.721782075966912,True,True,True,COc1ccc(Cl)cc1NCCN1CCCCCC1CBr,COc1ccc(Cl)cc1NCCN1CCCCCC1CBr,,0.745831468147166,2.721782075966912,True,True,True,False,False
4,CC(O)=N[C@@H]3C(O)=NC4.O3C.c14ccc2cc1.C2(=O)O,CC(O)=N[C@@H]3C(O)=NC4.O3C.c14ccc2cc1.C2(=O)O,,CO[C@H](N=C(C)O)C(O)=NCc1ccc(C(=O)O)cc1,,0.5429774511568245,3.5065265586184875,True,False,False,CO[C@H](N=C(C)O)C(O)=NCc1ccc(C(=O)O)cc1,CO[C@H](N=C(C)O)C(O)=NCc1ccc(C(=O)O)cc1,,0.5429774511568245,3.5065265586184875,True,False,False,False,False
5,CC1=NN(C(O)=NC4C5=O)CC1.N15CCC2(C2CC2)C1.c14ccncc1,CC1=NN(C(O)=NC4C5=O)CC1.N15CCC2(C2CC2)C1.c14ccncc1,,,decode_returned_none,,,False,,False,CC1=NN(C(O)=NC(C=O)c2ccncc2)CC1,CC1=NN(C(O)=NC(C=O)c2ccncc2)CC1,,0.49533329583408836,4.001118496911274,True,False,False,True,False
6,Fc1ccc7cc1.C7CCC6.N64.C4C3.O35.c15ccccc1,Fc1ccc7cc1.C7CCC6.N64.C4C3.O35.c15ccccc1,,Fc1ccc(CCCCNCCOc2ccccc2)cc1,,0.707987930613941,1.6493944889185226,True,True,True,Fc1ccc(CCCCNCCOc2ccccc2)cc1,Fc1ccc(CCCCNCCOc2ccccc2)cc1,,0.707987930613941,1.6493944889185226,True,True,True,False,False
7,O=C5[O-].c15cc2ncc(N=C(O)C6cc2nc14.N16CCOCC1.c14ccccc1,O=C5[O-].c15cc2ncc(N=C(O)C6cc2nc14.N16CCOCC1.c14ccccc1,,,decode_returned_none,,,False,,False,C1COCCN1.O=C[O-].c1ccccc1,c1ccccc1,,0.4426283718993647,1.0,True,False,False,True,True
8,CC54.N5CC.c14ccc2[nH]cc(Br)c2c1C.c13ccc(F)cc1,CC54.N5CC.c14ccc2[nH]cc(Br)c2c1C.c13ccc(F)cc1,,,decode_returned_none,,,False,,False,CCNC(C)c1ccc2[nH]cc(Br)c2c1C.Fc1ccccc1,CCNC(C)c1ccc2[nH]cc(Br)c2c1C,,0.8767395178912707,3.1445417560579,True,True,True,True,True
9,CO8.c18ccc5cc1.C65=O.N67.C7C(O)=NCC4=O.N14C[C@H]2CCCC[C@@H]2C)C1,CO8.c18ccc5cc1.C65=O.N67.C7C(O)=NCC4=O.N14C[C@H]2CCCC[C@@H]2C)C1,,,decode_returned_none,,,False,,False,COc1ccc(C(=O)NCC(O)=NCC=O)cc1,COc1ccc(C(=O)NCC(O)=NCC=O)cc1,,0.43892566374575764,2.487132964453453,True,False,False,True,False
