sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
0,CO4.C45=O.[C@H]15CCC[C@@H]18.O87.c17nn(C)c6o1.C69O.c19ccco1,CO4.C45=O.[C@H]15CCC[C@@H]18.O87.c17nn(C)c6o1.C69O.c19ccco1,,,decode_returned_none,,,False,,False,COC(=O)[C@H]1CCC[C@@H]1O.OCc1ccco1,COC(=O)[C@H]1CCC[C@@H]1O,,0.5389762326253945,2.9523911039796626,True,False,False,True,True
1,CO4.c14cccc7c15.C37CC1.C36=O.c16ccc(C)cc1.C5(C)=O,CO4.c14cccc7c15.C37CC1.C36=O.c16ccc(C)cc1.C5(C)=O,,,decode_returned_none,,,False,,False,,,decode_returned_none,,,False,,False,False,False
2,C[C@@H](C5=O.c12ccc4cc1.N34.C3C(O)=Nc1ccccc1.O5C(=O)[O-],C[C@@H](C5=O.c12ccc4cc1.N34.C3C(O)=Nc1ccccc1.O5C(=O)[O-],,,decode_returned_none,,,False,,False,O=C([O-])O.OC(CNc1ccccc1)=Nc1ccccc1,OC(CNc1ccccc1)=Nc1ccccc1,,0.6196612456470091,2.0774982741482493,True,True,True,True,True
3,CC(=O)CC2.c12cc(Cl)c(Cl)c(F)c1F.c13cccc(Cl)c1,CC(=O)CC2.c12cc(Cl)c(Cl)c(F)c1F.c13cccc(Cl)c1,,,decode_returned_none,,,False,,False,CC(=O)CCc1cc(Cl)c(Cl)c(F)c1F.Clc1ccccc1,CC(=O)CCc1cc(Cl)c(Cl)c(F)c1F,,0.5911528549500101,2.5175307519400114,True,False,False,True,True
4,C[C@@H](C)C5.N54.c14nsc2ccc(F)c3c12.C3(F)(F)F,C[C@@H](C)C5.N54.c14nsc2ccc(F)c3c12.C3(F)(F)F,,CC(C)CNc1nsc2ccc(F)c(C(F)(F)F)c12,,0.8411494149741934,2.9311874050629783,True,True,True,CC(C)CNc1nsc2ccc(F)c(C(F)(F)F)c12,CC(C)CNc1nsc2ccc(F)c(C(F)(F)F)c12,,0.8411494149741934,2.9311874050629783,True,True,True,False,False
5,CC3=O.N345.C3C4CN=C(O)CCN=C(O)C2.O2C(C)C.c15ccccc1,CC3=O.N345.C3C4CN=C(O)CCN=C(O)C2.O2C(C)C.c15ccccc1,,,decode_returned_none,,,False,,False,CC(=O)N(c1ccccc1)C(C)CN=C(O)CCN=C(O)COC(C)C,CC(=O)N(c1ccccc1)C(C)CN=C(O)CCN=C(O)COC(C)C,,0.49300872354839625,3.7009832646083716,True,False,False,True,False
6,C[C@@H]2N=C(O)C(F)(F)F.O24.c14ccc3cc1.O3C(F)F,C[C@@H]2N=C(O)C(F)(F)F.O24.c14ccc3cc1.O3C(F)F,,C[C@H](N=C(O)C(F)(F)F)Oc1ccc(OC(F)F)cc1,,0.5138555102940722,3.2306690840176167,True,False,False,C[C@H](N=C(O)C(F)(F)F)Oc1ccc(OC(F)F)cc1,C[C@H](N=C(O)C(F)(F)F)Oc1ccc(OC(F)F)cc1,,0.5138555102940722,3.2306690840176167,True,False,False,False,False
7,[N-]=C(N)N3.c13ccccc12.C2CC4C(O)=NC1CCCCC1.N14CCOCC1.[Na+],[N-]=C(N)N3.c13ccccc12.C2CC4C(O)=NC1CCCCC1.N14CCOCC1.[Na+],,[N-]=C(N)Nc1ccccc1CCC(C(O)=NC1CCCCC1)N1CCOCC1.[Na+],,0.33162732072412104,3.674304765423698,True,False,False,[N-]=C(N)Nc1ccccc1CCC(C(O)=NC1CCCCC1)N1CCOCC1.[Na+],[N-]=C(N)Nc1ccccc1CCC(C(O)=NC1CCCCC1)N1CCOCC1,,0.493497766463036,3.556968735240141,True,False,False,False,True
8,Cc1ccc4o1.[C@H]14CCCN13.S3(=O)(=O)c1ccc(F)cc1,Cc1ccc4o1.[C@H]14CCCN13.S3(=O)(=O)c1ccc(F)cc1,,Cc1ccc([C@H]2CCCN2S(=O)(=O)c2ccc(F)cc2)o1,,0.8742234074048547,2.5930160524988555,True,True,True,Cc1ccc([C@H]2CCCN2S(=O)(=O)c2ccc(F)cc2)o1,Cc1ccc([C@H]2CCCN2S(=O)(=O)c2ccc(F)cc2)o1,,0.8742234074048547,2.5930160524988555,True,True,True,False,False
9,CO6.c16ccc5c2c1cc5c(=O)n27.[C@H]74C.O5C.[C@@H]14O[C@@H](O)[C@@H](C)[C@@H](O)[C@H]1O,CO6.c16ccc5c2c1cc5c(=O)n27.[C@H]74C.O5C.[C@@H]14O[C@@H](O)[C@@H](C)[C@@H](O)[C@H]1O,,,decode_returned_none,,,False,,False,CO.COc1ccc2c3c1C=C2C(=O)N3[C@H](C)[C@@H]1O[C@@H](O)[C@@H](C)[C@@H](O)[C@H]1O,COc1ccc2c3c1C=C2C(=O)N3[C@H](C)[C@@H]1O[C@@H](O)[C@@H](C)[C@@H](O)[C@H]1O,,0.7301211359300456,5.715573279485168,True,False,False,True,True
10,Cc1ccccc15.O45.C4C2.O23.C13CCS((S)(=O)=O)=NC1.C6(N)=O,Cc1ccccc15.O45.C4C2.O23.C13CCS((S)(=O)=O)=NC1.C6(N)=O,,,decode_returned_none,,,False,,False,Cc1ccccc1OCCO.NC=O,Cc1ccccc1OCCO,,0.7083426151290528,1.4898147283567837,True,True,True,True,True
11,CC4.c14cccc(C)(/C(C)=N/O6c1O.c16cc7c2ccnn2Cc1.O75.c15ncccc1O,CC4.c14cccc(C)(/C(C)=N/O6c1O.c16cc7c2ccnn2Cc1.O75.c15ncccc1O,,,decode_returned_none,,,False,,False,CC.Oc1cccnc1OC1=CC=CCn2nccc21,Oc1cccnc1OC1=CC=CCn2nccc21,,0.8728354565096778,3.3170090399251517,True,True,True,True,True
12,Cc1ccc3cc1.C13=CNC2=CC4=C21.c14ccc(Cl)cc16.O56.C5(=O)C(C==CO)C(C)C,Cc1ccc3cc1.C13=CNC2=CC4=C21.c14ccc(Cl)cc16.O56.C5(=O)C(C==CO)C(C)C,,,decode_returned_none,,,False,,False,Cc1ccc(-c2c[nH]c3c2=C(c2ccc(Cl)cc2O)C=3)cc1,Cc1ccc(-c2c[nH]c3c2=C(c2ccc(Cl)cc2O)C=3)cc1,,0.7482193055446575,2.776991489054888,True,True,True,True,False
13,Cc1cc2nc6[nH]c3cc7c(C)cc2o1.c16ccc4cc1.O57.C5(F)(F)F,Cc1cc2nc6[nH]c3cc7c(C)cc2o1.c16ccc4cc1.O57.C5(F)(F)F,,,decode_returned_none,,,False,,False,OC(F)(F)F.c1ccccc1,OC(F)(F)F,,0.45469437514912286,2.4684960745960556,True,False,False,True,True
14,CC1C7CC2(C)C.C37.N364.C15CCCO1.C6(=O)CBr.C4CC(=O)O,CC1C7CC2(C)C.C37.N364.C15CCCO1.C6(=O)CBr.C4CC(=O)O,,,decode_returned_none,,,False,,False,CC(C)CC(CN(CCC(=O)O)C(=O)CBr)C(C)CCCCO,CC(C)CC(CN(CCC(=O)O)C(=O)CBr)C(C)CCCCO,,0.3716857621324293,3.564962897415434,True,False,False,True,False
15,CN4.C43.c13[nH]nc5c1C.C5C2.c12cc(F)c(F)cc1F,CN4.C43.c13[nH]nc5c1C.C5C2.c12cc(F)c(F)cc1F,,CNCc1[nH]nc(CCc2cc(F)c(F)cc2F)c1C,,0.8282244672155822,2.828431599587242,True,True,True,CNCc1[nH]nc(CCc2cc(F)c(F)cc2F)c1C,CNCc1[nH]nc(CCc2cc(F)c(F)cc2F)c1C,,0.8282244672155822,2.828431599587242,True,True,True,False,False
16,CO3.c13ccc5cc1.C5C(=O)CC4.c14cc(Cl)c(Br)cn1,CO3.c13ccc5cc1.C5C(=O)CC4.c14cc(Cl)c(Br)cn1,,COc1ccc(CC(=O)CCc2cc(Cl)c(Br)cn2)cc1,,0.764916316653321,2.246461612609483,True,True,True,COc1ccc(CC(=O)CCc2cc(Cl)c(Br)cn2)cc1,COc1ccc(CC(=O)CCc2cc(Cl)c(Br)cn2)cc1,,0.764916316653321,2.246461612609483,True,True,True,False,False
17,CC16CCC1.C6N=C4O.N14C[C@H]2CCN5C[C@@H]21.C57=O.c17cccc2cccnc12,CC16CCC1.C6N=C4O.N14C[C@H]2CCN5C[C@@H]21.C57=O.c17cccc2cccnc12,,CC1(CN=C(O)N2C[C@H]3CCN(C(=O)c4cccc5cccnc45)C[C@@H]32)CCC1,,0.6413202199253727,3.738697316842055,True,True,True,CC1(CN=C(O)N2C[C@H]3CCN(C(=O)c4cccc5cccnc45)C[C@@H]32)CCC1,CC1(CN=C(O)N2C[C@H]3CCN(C(=O)c4cccc5cccnc45)C[C@@H]32)CCC1,,0.6413202199253727,3.738697316842055,True,True,True,False,False
18,CN3C4.N46.c16ccncc1.C37=O.N17CCN5CC1.C58.c18nnc(I)s1,CN3C4.N46.c16ccncc1.C37=O.N17CCN5CC1.C58.c18nnc(I)s1,,CN(CNc1ccncc1)C(=O)N1CCN(Cc2nnc(I)s2)CC1,,0.5273243580126439,2.982682005407412,True,False,False,CN(CNc1ccncc1)C(=O)N1CCN(Cc2nnc(I)s2)CC1,CN(CNc1ccncc1)C(=O)N1CCN(Cc2nnc(I)s2)CC1,,0.5273243580126439,2.982682005407412,True,False,False,False,False
19,CC4.C14C(C)[CH][C@]2(OC5[C@H]1ON1C)c1c6nc7cc2O2.C5C.C6C.C7C.C7C,CC4.C14C(C)[CH][C@]2(OC5[C@H]1ON1C)c1c6nc7cc2O2.C5C.C6C.C7C.C7C,,,decode_returned_none,,,False,,False,CC.CCC1=NC(CC)=C2N(C)O[C@@H]3C(CC)O[C@]2([CH]C(C)C3CC)C(O)=C1,CCC1=NC(CC)=C2N(C)O[C@@H]3C(CC)O[C@]2([CH]C(C)C3CC)C(O)=C1,,0.7965276201749046,6.573680839388463,True,False,False,True,True
20,CN4.C4CCCCN=C(O)O2.c12ccccc16.C56=O.N53.C37.C17CC1,CN4.C4CCCCN=C(O)O2.c12ccccc16.C56=O.N53.C37.C17CC1,,CNCCCCCN=C(O)Oc1ccccc1C(=O)NCC1CC1,,0.34894964034961035,2.509134387700426,True,False,False,CNCCCCCN=C(O)Oc1ccccc1C(=O)NCC1CC1,CNCCCCCN=C(O)Oc1ccccc1C(=O)NCC1CC1,,0.34894964034961035,2.509134387700426,True,False,False,False,False
21,CCC(CC)C(O)CCCCCCC1=O.O13.C3C(N)C4.N4(C)C,CCC(CC)C(O)CCCCCCC1=O.O13.C3C(N)C4.N4(C)C,,CCC(CC)C(O)CCCCCCC(=O)OCC(N)CN(C)C,,0.3780442331608315,3.3530853316179323,True,False,False,CCC(CC)C(O)CCCCCCC(=O)OCC(N)CN(C)C,CCC(CC)C(O)CCCCCCC(=O)OCC(N)CN(C)C,,0.3780442331608315,3.3530853316179323,True,False,False,False,False
22,Cc1nc6no1.C6C(O)CN=C(O)C4.N34C.C35.c15ccccc1,Cc1nc6no1.C6C(O)CN=C(O)C4.N34C.C35.c15ccccc1,,Cc1nc(CC(O)CN=C(O)CN(C)Cc2ccccc2)no1,,0.5636942402417894,3.2399093527689313,True,False,False,Cc1nc(CC(O)CN=C(O)CN(C)Cc2ccccc2)no1,Cc1nc(CC(O)CN=C(O)CN(C)Cc2ccccc2)no1,,0.5636942402417894,3.2399093527689313,True,False,False,False,False
23,N#CC(C4=O.N14CCc2c5ccnc21.O53.C3C(F)(F)F,N#CC(C4=O.N14CCc2c5ccnc21.O53.C3C(F)(F)F,,,decode_returned_none,,,False,,False,FC(F)(F)COc1ccnc2c1CCN2,FC(F)(F)COc1ccnc2c1CCN2,,0.82377858124203,2.7132243275951247,True,True,True,True,False
24,OC(=NCC6.c1ccc7cc1.C85=O.N86.c15cccc2c1CN4C2.c14ccccc1,OC(=NCC6.c1ccc7cc1.C85=O.N86.c15cccc2c1CN4C2.c14ccccc1,,,decode_returned_none,,,False,,False,NC(=O)c1cccc2c1CN(c1ccccc1)C2.c1ccccc1,NC(=O)c1cccc2c1CN(c1ccccc1)C2,,0.8722456536058592,1.9490849526191347,True,True,True,True,True
25,CN57.c17cc(F)c2ncccc2n1.C5(=O)C8.N84C.[C@@H]14CCOC[C@@H]16.c16nc[nH]n1,CN57.c17cc(F)c2ncccc2n1.C5(=O)C8.N84C.[C@@H]14CCOC[C@@H]16.c16nc[nH]n1,,CN(C(=O)CN(C)[C@@H]1CCOC[C@@H]1c1nc[nH]n1)c1cc(F)c2ncccc2n1,,0.6912613974165713,4.2860808200858,True,False,False,CN(C(=O)CN(C)[C@@H]1CCOC[C@@H]1c1nc[nH]n1)c1cc(F)c2ncccc2n1,CN(C(=O)CN(C)[C@@H]1CCOC[C@@H]1c1nc[nH]n1)c1cc(F)c2ncccc2n1,,0.6912613974165713,4.2860808200858,True,False,False,False,False
26,CC6.N66C.c17ncccc%10c1.[C@H]1%10CNCC[C@@H]19.C5C(O)=NC%11.c1%11ccccc1C.O89.C8(C)C,CC6.N66C.c17ncccc%10c1.[C@H]1%10CNCC[C@@H]19.C5C(O)=NC%11.c1%11ccccc1C.O89.C8(C)C,,,decode_returned_none,,,False,,False,CC.CC(C)OC1CCNCC1.CC(O)=NCc1ccccc1C,CC(O)=NCc1ccccc1C,,0.5268893428713088,2.347446456512733,True,False,False,True,True
