lambda,time,seed,group,ce_mean,ce_sum,correct_top1,mean_unreduced_ce_logit_gradient_l2,tokens,top1_accuracy,one_token_tv_to_absorbing
0.9,0.1,2400,all_content,0.3564011752605438,290.1105651855469,736,0.14944638311862946,814,0.9041769041769042,0.00998999893723404
0.9,0.1,2400,changed_nonmask,0.14737488329410553,0.8842493295669556,6,0.11387879401445389,6,1.0,0.00998999893723404
0.9,0.1,2400,currently_mask,0.2885521948337555,19.91010093688965,63,0.1545945107936859,69,0.9130434782608695,0.00998999893723404
0.9,0.1,2400,unchanged,0.36443331837654114,269.31622314453125,667,0.14925448596477509,739,0.9025710419485792,0.00998999893723404
0.9,0.5,2401,all_content,1.3887823820114136,1130.4688720703125,585,0.41088446974754333,814,0.7186732186732187,0.0499499946861702
0.9,0.5,2401,changed_nonmask,3.0210444927215576,126.88387298583984,16,0.7837446928024292,42,0.38095238095238093,0.0499499946861702
0.9,0.5,2401,currently_mask,1.9929991960525513,751.3607177734375,237,0.5294017195701599,377,0.6286472148541115,0.0499499946861702
0.9,0.5,2401,unchanged,0.6385428309440613,252.22442626953125,332,0.2581220865249634,395,0.8405063291139241,0.0499499946861702
0.9,0.9,2402,all_content,3.67021107673645,2987.5517578125,210,0.9346025586128235,814,0.257985257985258,0.08990999043510635
0.9,0.9,2402,changed_nonmask,5.538057804107666,398.74017333984375,2,1.1769071817398071,72,0.027777777777777776,0.08990999043510635
0.9,0.9,2402,currently_mask,3.8310842514038086,2501.697998046875,135,0.9847666621208191,653,0.20673813169984687,0.08990999043510635
0.9,0.9,2402,unchanged,0.9788028001785278,87.11344909667969,73,0.3705236315727234,89,0.8202247191011236,0.08990999043510635
0.99,0.1,2400,all_content,0.34595513343811035,281.60748291015625,737,0.14887383580207825,814,0.9054054054054054,0.0009989998937234052
0.99,0.1,2400,changed_nonmask,,0.0,0,,0,,0.0009989998937234052
0.99,0.1,2400,currently_mask,0.2829633057117462,21.78817367553711,69,0.15883202850818634,77,0.8961038961038961,0.0009989998937234052
0.99,0.1,2400,unchanged,0.3525363802909851,259.8193054199219,668,0.1478334218263626,737,0.9063772048846676,0.0009989998937234052
0.99,0.5,2401,all_content,1.1534202098846436,938.8840942382812,619,0.35207390785217285,814,0.7604422604422605,0.004994999468617025
0.99,0.5,2401,changed_nonmask,4.755871295928955,14.267614364624023,1,0.8474159836769104,3,0.3333333333333333,0.004994999468617025
0.99,0.5,2401,currently_mask,1.7478944063186646,730.619873046875,272,0.47954240441322327,418,0.6507177033492823,0.004994999468617025
0.99,0.5,2401,unchanged,0.49362999200820923,193.99658203125,346,0.21271547675132751,393,0.8804071246819338,0.004994999468617025
0.99,0.9,2402,all_content,2.857184886932373,2325.74853515625,259,0.8559890389442444,814,0.3181818181818182,0.008990999043510646
0.99,0.9,2402,changed_nonmask,4.180102825164795,41.801029205322266,1,1.1482162475585938,10,0.1,0.008990999043510646
0.99,0.9,2402,currently_mask,3.10007905960083,2228.956787109375,184,0.9146007895469666,719,0.25591098748261476,0.008990999043510646
0.99,0.9,2402,unchanged,0.6469511389732361,54.9908447265625,74,0.3258228898048401,85,0.8705882352941177,0.008990999043510646
0.999,0.1,2400,all_content,0.34595513343811035,281.60748291015625,737,0.14887383580207825,814,0.9054054054054054,9.989998937234052e-05
0.999,0.1,2400,changed_nonmask,,0.0,0,,0,,9.989998937234052e-05
0.999,0.1,2400,currently_mask,0.2829633057117462,21.78817367553711,69,0.15883202850818634,77,0.8961038961038961,9.989998937234052e-05
0.999,0.1,2400,unchanged,0.3525363802909851,259.8193054199219,668,0.1478334218263626,737,0.9063772048846676,9.989998937234052e-05
0.999,0.5,2401,all_content,1.0468167066574097,852.1087646484375,631,0.3364000618457794,814,0.7751842751842751,0.0004994999468617026
0.999,0.5,2401,changed_nonmask,,0.0,0,,0,,0.0004994999468617026
0.999,0.5,2401,currently_mask,1.5763835906982422,666.8102416992188,285,0.4536817967891693,423,0.6737588652482269,0.0004994999468617026
0.999,0.5,2401,unchanged,0.47390925884246826,185.29852294921875,346,0.20951983332633972,391,0.8849104859335039,0.0004994999468617026
0.999,0.9,2402,all_content,2.5452823638916016,2071.85986328125,260,0.8347377777099609,814,0.3194103194103194,0.0008990999043510645
0.999,0.9,2402,changed_nonmask,2.305375099182129,2.305375099182129,0,0.986901581287384,1,0.0,0.0008990999043510645
0.999,0.9,2402,currently_mask,2.77177095413208,2020.6209716796875,188,0.8941234350204468,729,0.2578875171467764,0.0008990999043510645
0.999,0.9,2402,unchanged,0.5825393199920654,48.93330383300781,72,0.317544162273407,84,0.8571428571428571,0.0008990999043510645
0.9999,0.1,2400,all_content,0.34595513343811035,281.60748291015625,737,0.14887383580207825,814,0.9054054054054054,9.989998937232942e-06
0.9999,0.1,2400,changed_nonmask,,0.0,0,,0,,9.989998937232942e-06
0.9999,0.1,2400,currently_mask,0.2829633057117462,21.78817367553711,69,0.15883202850818634,77,0.8961038961038961,9.989998937232942e-06
0.9999,0.1,2400,unchanged,0.3525363802909851,259.8193054199219,668,0.1478334218263626,737,0.9063772048846676,9.989998937232942e-06
0.9999,0.5,2401,all_content,1.0468167066574097,852.1087646484375,631,0.3364000618457794,814,0.7751842751842751,4.994999468616471e-05
0.9999,0.5,2401,changed_nonmask,,0.0,0,,0,,4.994999468616471e-05
0.9999,0.5,2401,currently_mask,1.5763835906982422,666.8102416992188,285,0.4536817967891693,423,0.6737588652482269,4.994999468616471e-05
0.9999,0.5,2401,unchanged,0.47390925884246826,185.29852294921875,346,0.20951983332633972,391,0.8849104859335039,4.994999468616471e-05
0.9999,0.9,2402,all_content,2.5362846851348877,2064.53564453125,267,0.8336862325668335,814,0.32800982800982803,8.990999043509648e-05
0.9999,0.9,2402,changed_nonmask,,0.0,0,,0,,8.990999043509648e-05
0.9999,0.9,2402,currently_mask,2.760871171951294,2015.4359130859375,195,0.8928932547569275,730,0.2671232876712329,8.990999043509648e-05
0.9999,0.9,2402,unchanged,0.5845198631286621,49.09967041015625,72,0.31914976239204407,84,0.8571428571428571,8.990999043509648e-05
